ability	{'способности', 'правоспособност', 'умение', 'кадърност_ло́вкост', 'вещина́', 'способността', 'пригодност', 'способност'}
tree	{'kruskal_дърво_теорема', 'дърво_-_структура_от_данни', 'корени_дърво', 'herbert_beerbohm_tree', 'майка_възел', 'поддърво', 'краен_възел', 'свещено_дърво', 'charlotte_bronté', 'интериор_възел', 'фиданка', 'коренът', 'дървовидна_структура', 'дървото', 'листа_възел', 'дърво', 'вътрешен_възел', 'родителски_възел', 'шарлот_бронте', 'гора', 'сър_хърбърт_beerbohm_tree', 'дърво_поклонение', 'дървовидната_диаграма', 'дървета'}
trial	{'трима', 'правен_спор', 'иск', 'причинна_връзка', 'каузални', 'случай', 'причинност', 'проба', 'граматично_число', 'terzetto', 'съд', 'броя', 'причинно-следствена_връзка', 'число', 'тройка', 'съдебни_дела', 'наказателно_дело', 'съдебно_дело', 'съди', 'кауза', 'изпитание', 'причинно-следствената_връзка', 'причинно-следствена', 'досъдебното', 'съдебен_процес', 'iii', 'гражданско_дело', 'номер_на_договора', 'правосъдие', 'изпробване', 'тристишие', 'граждански_съд', 'ternion', 'каузално', 'причина', 'три', 'дело', 'експеримент', 'пробен_пуск', 'тест', 'каузалност', 'страните', '3', 'причината_система', 'трикомпонентен', 'paucal', 'процес', 'съден', 'граматически_номер', 'двойка-ace'}
tried	{'процес', 'наказателно_дело', 'правосъдие', 'съд', 'съден'}
turn	{'режим_на_игра', 'украса', 'механика_игра', 'прегъвам', 'украшение', 'развалям_се', 'завой', 'кръг_ъгъл', 'стругувам', 'perigon', 'групето', 'огъна', 'пирует', 'сгъвам', 'ачакатура', 'форшлаг', 'кръгла_завой', 'превръщам_се', 'огъвам', 'сгъна', 'акценти_за_дизайн', 'своя_страна', 'волта', 'превърна_се', 'анулирам_промени', 'стана', 'ставам', 'прокисвам', 'орнаменти', 'прегъна', 'превивам', 'мордент', 'appoggiatura', 'обръщам', 'превърне', 'обърна', 'развой_на_събитията', 'оборот', 'благодат_бележка', 'acciaccatura', 'игра_механик', 'извивка', 'добър_ред', 'въртя_се', 'рационално_тригонометрията', 'превия'}
two	{'succeeder', 'двама', 'презрамки', '2', 'ii', 'achiever', 'двойка', 'two', 'два', 'ձ', 'две'}
typical	{'типичен'}
unaware	{'наясно'}
usable	{'функциониращ', 'лесен_за_употреба', 'действащ', 'лекота_на_използване', 'ползваемост', 'usability'}
useless	{'безполезен', 'useless'}
vacation	{'ваканция', 'вака́нция', 'почивка', 'отпуска', 'отпуск', 'празник'}
vomit	{'повърнатото', 'регургитация', 'повръ̀щам', 'barf', 'средство_за_повръщане', 'nauseant', 'повръщане', 'повръщаш', 'disgorgement', 'повръща', 'vomitive', 'бълва́м'}
walk	{'живот_на_ръба', 'раван', 'вървя', 'paseo', 'граф', 'бази_на_топки', 'пешеходна_пътека', 'яздя', 'отивам', 'walk', 'the_walk:_живот_на_ръба', 'ходя', 'база_на_топки', 'възел_на_граф', 'графиката', 'начина_на_ходене', 'кон_походка', 'неориентиран_граф', 'пътеки', 'ходене', 'поприще', 'проста_графика'}
war	{'ares', 'waray-waray_език', 'война', 'победи_над_замяна', 'военен_конфликт', 'war', 'the_war', 'война_и_мир', 'войни', 'варайски_език', 'all_or_nothing', 'въоръжени_конфликти', 'военен', 'конфликт', 'състояние_на_война', 'въоръжен_конфликт'}
warm	{'нежен', 'любящ', 'топло', 'топла', 'сърдечен', 'топъл'}
wash	{'миене', 'the_wash', 'навлажнявам', 'дрехи_за_пране', 'пране', 'lost_dogs', 'пера', 'мия', 'мыць', 'китайски_пране', 'перачка', 'памыць', 'lavation', 'аройо', 'пра́не', 'въздушната_струя', 'buried', 'scan', 'измивам', 'измийте_рисуване', 'washables', 'измия', 'отмиване', 'попътна_струя', 'химическо_измийте', 'unearthed', 'измиване'}
water	{'ангелски_прах', 'воден_басейн', 'органите_на_вода', 'урина', 'азотни_отпадъци', 'h₂o', 'h2o', 'водоснабдителна_система', 'водна_пара', 'молекула_вода', 'промишлена_вода', 'пикня', 'водоснабдяване', 'водни_басейни', 'водни_пари', 'вода', 'лед', 'водните_ресурси', 'доставка_на_вода', 'quoins', 'вода_в_течно_състояние', 'ури́на', 'weewee', 'вода́', 'пилея_си_времето', 'blood_red_shoes', 'фенциклидин_хидрохлорид', 'клин', 'води', 'природни_води', 'тялото_на_вода', 'пара', 'фенциклидин', 'водоразпределеителна_система', 'water', 'водопроводи', 'урината', 'хидрол', 'спад_ограда', 'водата', 'пикоч'}
we	{'ԝ', 'shinhwa', 'ние_телевизия', 'polycephaly', 'ние', 'wé'}
weak	{'слаб', 'слабост', 'мускулна_слабост', 'безсилие', 'the_sea'}
wear	{'подходящ_за_носене', 'дамска', 'екипировка', 'носят', 'wear', 'счупвам_се', 'строшавам_се', 'дре́хи', 'облекло́', 'одежда', 'облекло', 'оде́жда', 'износване', 'устойчивост_на_износване', 'счупя_се', 'дрехи', 'строша_се', 'подигравка', 'нося', 'статия_на_облекло', 'облекла', 'дреха'}
weather	{'атмосферни_условия', 'издържам', 'метеорологичните_условия', 'времето', 'изтрайвам', 'изтрая', 'метеорологични_условия', 'време', 'издържа', 'прогноза_за_времето', 'време_перспектива', 'метеорологично_време', 'търпя'}
wet	{'мокър', 'wet', 'ангелски_прах', 'мо́кър', 'фенциклидин', 'влажен', 'измокрен', 'намокрен', 'фенциклидин_хидрохлорид', 'влага'}
what	set()
when	{'кога', 'diamonds_for_breakfast'}
where	{'где', 'къде', 'къде́', 'накъдето', 'накъде'}
white	{'бели', 'овалбумин', 'planeswalker', 'patrick_white', 'бяла_раса', 'белите_хора', 'патрик_виктор_мартиндейл_уайт', 'white_river', 'едуард_г._уайт', 'black', 'бялото_на_яйцето', 'патрик_уайт', 'уайт', 'едуард_дъглас_уайт_младши', 'европеидна_раса', 'caucasoid', 'е._б._уайт', 'бели_хора', 'андрю_г._уайт', 'magic:_the_gathering', 'elwyn_брукс_уайт', 'кавказката_раса', 'white_airways', 'бяла_река', 'цвят_на_кожата', 'pieris', 'бял_цвят', 'латино', 'испанци', 'от_кавказката_раса', 'светлокремав', 'меджик_дъ_гедъринг', 'caucasoids', 'белтък', 'албумин', 'теодор_харолд_white', 'белтъка', 'magic_the_gathering', 'андрю_диксън_уайт', 'бял', 'бяло', 'яйчен_белтък', 'пигментацията_на_кожата', 'празен', 'т._х._уайт', 'едуард_уайт', 'други_раси', 'бял_човек', 'бялата_раса', 'caucasoid_раса', 'andrew_dickson_white', 'бяла', 'blackface', 'цвета_на_кожата', 'уайт_ривър', 'delias', 'станфорд_уайт', 'слонова_кост'}
who	{'международната_здравна_организация', 'световна_здравна_организация', 'световната_здравна_организация', 'jim_neidhart', 'зейн_малик', 'сзо', 'who', 'дъ_ху', 'world_health_organization', 'the_who', 'ху'}
wide	{'широк', 'широ́к'}
wife	{'омъжена_жена', 'съпруга', 'жена'}
willingly	set()
wind	{'поверителна_информация', 'вятър', 'malarkey', 'газове', 'навия', 'въ̀здух', 'намотка', 'потенциален_клиент', 'уинд', 'духови_инструменти', 'malarky', 'счупи_вятър', 'пориви_на_вятъра', 'въздушен_поток', 'перспективно_лице', 'пръдня', 'сведение', 'празни_приказки', 'пърдят', 'wind', 'akeboshi', 'камбана', 'уинд_телекомуникациони', 'wind_telecomunicazioni', 'електромагнитна_бобина', 'поток_на_въздух', 'потенциален_клиент_за_продажби', 'навивам', 'ветрове', 'духов_инструмент'}
wing	{'вътрешната_страна_центъра', 'приложение', 'крилото', 'хвръкна', 'крила', 'tighthead_предложение', 'крило', 'зад_кулисите', 'съпътстващи', 'swingman', 'пристро́йка', 'пристройка', 'ляв_флангова', 'криле', 'муха_половината', 'gone_again', 'hindwing', 'калник', 'насекоми_полет', 'планери', 'литна', 'сляпо-1/2', 'предложение_напред', 'флангова_маневра', 'лети', 'хвърча', 'извън_центъра', 'flyhalf', 'броня', 'колело_и', 'фланг', 'летя', 'wing', 'спойлер'}
wipe	{'избърсвам', 'изтрие', 'изтрия', 'избърша', 'избършете', 'изтриване', 'бърша', 'трия', 'изтривам'}
with	set()
woman	{'женска', 'klaatu', 'женски', 'nancy_benoit', 'момиче', 'жените', 'възрастна_женска', 'жена', 'жени', 'приходяща_чистачка', 'самка', 'женски_пол', 'charlady', 'чистачка', 'нежният_пол', 'woman', 'жена́'}
word	{'писанията', 'дискусия', 'обещание', 'свещеното_писание', 'библейски', 'библии', 'син', 'вест', 'дължина_на_думата', 'bible', 'християнските_писания', 'съобщение', 'свещен_текст', 'свето_писание', 'свещената_книга', 'дума', 'формулирам', 'светото_писание', 'разискване', 'религиозен_текст', 'машинна_дума', 'християнската_библия', 'думи', 'синове', 'религиозни_текстове', 'библията', 'библия', 'пароли', 'логос', 'писанието', 'обсъждане', 'свещените_текстове', 'общ_увод_в_библията', 'честна_дума', 'парола', 'новини', 'новина', 'microsoft_word', 'слово', 'ms_word'}
worm	{'сгърчвам_се', 'компютърен_червей', 'извия_се', 'гърча_се', 'извивам_се', 'червей', 'червеи', 'worm', 'мръсотия_топка', 'сгърча_се'}
year	{'аномалното_година', 'календарна_година', 'орбитален_период', 'години', 'годишно', 'слънчева_година', 'ма', 'тропическа_година', 'год', 'равноденствен_година', 'слънчевата_година', 'григорианския_година', 'юлианска_година', 'възраст', 'астрономическа_година', 'дълго_време', 'годи́на', 'година', 'тропическата_година', 'ера', 'средната_тропическа_година'}
yellow	{'руса', 'хуанг_хе', 'hong_jin-ho', 'hwang_хо', 'yellow', 'жълто', 'жълт', 'жълта_река', 'страхлив', 'eiko_shimamiya', 'блондинка', 'huang_he', 'хуанхъ', 'жълт_цвят', 'zebrahead', 'жълтина', 'жълтата_река', 'руса_коса'}
you	{'ейми_лин_лий', 'you', 'no_control', 'ейми_лий', 'fly', 'monster', 'amy_lee', 'твой', 'pablo_honey', 'ти', 'the_real_testament', 'janne_da_arc', 'вие'}
