ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
relationship	{'cunoaștere', 'relaţii_interpersonale', 'raport', 'interacțiunea_umană', 'relația_umană', 'legătură', 'relație', 'rudă', 'relațiederudenie', 'companie', 'interacțiune_umană', 'interpersonale', 'rudenie', 'conexiune', 'relație_pe_termen_lung', 'relațiile_umane', 'înrudire', 'relațiile_interpersonale', 'relații_interpersonale', 'cunoștință', 'rudenie_și_coborâre', 'acquaintanceship', 'relația', 'familia_relație'}
religious	{'cucernic', 'cuvios', 'cleric', 'călugăr', 'religioase', 'religios', 'smerit', 'evlavios', 'pios', 'preacredincios'}
residence	{'residencia', 'locuințe', 'domiciliere', 'ședere', 'dinastie', 'sălaș', 'locul', 'rezidenţă', 'locuire', 'locuitori', 'conac', 'rezidență', 'locuință_de_lux', 'locuitoare', 'curte', 'vile', 'domiciliu', 'reședință', 'locuință', 'palat', 'casă', 'reședință_privată', 'locuitor', 'conac_de_lux', 'familie_dinastică', 'acasă'}
right	{'corectă', 'mână_dreaptă', 'dreptlegal', 'stangaci', '|se|_corecta', 'nimerit', 'drept_legal', 'potrivit', 'îndrepta', 'drepturi', 'young_americans', 'stângaci', 'imediat', 'legitimitatea', 'sistem_etic', 'îndreptățire', 'corect_și_greșit', '|se|_corija', 'drepturi_fizice_și_juridice', 'dreapta_politică', 'dreptul', '|se|_rectifica', 'filosofia_morală', 'justificare', 'direct', 'dreptul_legal', 'dreptate', 'privilegiu', 'bun', 'etică', 'corect', 'în_mod_corect', 'drept', 'așa', 'de_dreapta', 'politică_de_dreapta', 'dreapta', 'dreptaci', 'dreapta_extremă', 'extremădreaptă', 'etic', 'direcție_relativă', 'drepturi_naturale', 'drepturi_inalienabile', 'mâna_dreaptă', 'îndată', '[se]_îndrepta', 'dreapta,_doctrină_politică', 'rightism', 'inalienabil', 'chiar', 'lipsit_de_etică', 'în_mod_corespunzător', 'corecta', 'drept_inalienabil', 'înbunăstare', 'etica', 'filosof_moral', 'da', 'politica_de_dreapta', 'standarde_etice', 'etice', 'aripădreaptă', 'reacționar', 'morală', 'dreaptă', '[se]_redresa', 'mână', 'bine', 'teoria_etică', 'just', 'fix', 'trebui', 'legitimitate', 'exact', 'neutralitate', 'partedreaptă', 'drepturile_fizice_și_juridice', '|se|_îndrepta'}
river	{'watermark', 'curs_de_apa_temporar', 'riurile', 'albie', 'curs_de_apa', 'sestao_river_club', 'vad', 'apă_curgătoare', 'rauri', 'riveran', 'ruisseau', 'pârâu', 'fluviu', 'curs', 'parau', 'râuri', 'river', 'curs_de_apă', 'potok', 'matcă', 'râu', 'ape_curgătoare'}
road	{'rutieră_joc', 'construcția_de_drumuri', 'șosea', 'cale', 'the_road', 'new', 'drum', 'causeways', 'oaspeți_joc'}
root	{'superuser', 'radacina', 'râma', 'tulpina', 'proveni', 'răsădi', 'păr_uman', 'păr', 'copac_rădăcini', 'firele_de_păr', 'etimon', '[se]_statornici', 'obârșie', 'superutilizator', 'a_origina', 'pădure', 'rădăcini_adventive', 'copac', 'arbore', 'strămoș', 'prinderădăcini', '[se]_trage', 'funcția_radical', 'utilizatorul_root', 'operații_cu_radicali', 'rădăcina_pătrată', '[se]_înrădăcina', 'planta', 'radical', 'interval_muzical', 'centru_tonal', 'sursă', 'rădăcina_cuvântului', 'păros', 'ascendentul', 'zero', 'antecedentul', 'început', 'părul', '[se]_așeza', '[se]_stabili', 'poziția_de_rădăcină', 'intervalul_muzical', 'intervale_muzicale', 'acces_root', 'coardă_tonic', 'antecedent', 'sursa', 'dinte_rădăcină', 'blană', '0', 'nota_root', 'origine', 'root', 'rădăcină', 'predecesor', 'stem', 'konoha', 'tonic', 'scurma', '[se]_instala', 'rădăcini', 'rădăcina', 'ascendent', 'etimonul', 'interval', 'tipuri_de_radacini', 'înrădăcinare'}
rope	{'rophy', 'rope', 'frânghie', 'ropemaker', 'funie', 'roofy', 'sfoară', 'r-2', 'mexican_valium', 'uita-mă_de_droguri', 'prindeculasoul'}
rotten	{'nasol', 'putred', 'șubred', 'putrezit'}
round	{'fructe', 'stypsis', 'boxului', 'lupta_premiu', 'luptător_premiu', 'carcasa', 'ataca', 'rundă', 'ropotdeaplauze', 'cifra_cea_mai_semnificativă', 'cifră_semnificativă', 'circulare', 'bareknuckle', 'box', 'rotund', 'labializa', 'runda_de_golf', 'cartuș', 'round', '[se]_rotunji', 'rând', 'zi_cu_zi_a_rundă', 'pugilism', 'cifre_semnificative', 'luaîngreutate', '[se]_îngrășa', 'reprizădeaplauze', 'finisa', 'astringență', 'pugilistică', 'șlefui', 'circular', 'pugilat', 'unitate_de_muniție', 'rond', 'cartuş', 'minerality', 'asalta', 'rotunji', 'pugilist', 'precizie_aritmetică', 'o_singură_lovitură', 'cele_mai_importante_cifre', 'runda_de_băuturi', 'cerc', 'activitatedezicuzi', '[se]_împlini', 'echilibrul', 'prizefighting', 'vizită', 'încărcător', 'ciclu', 'patron', 'carcasa_coajă', 'semnificativă_cifră'}
rub	{'hop', 'rublă_rusească', 'rubla_rusă', 'șterge', 'freca', 'rubla_rusească', 'frecuș', 'mânca', 'rubla_rusa', 'piedică', 'impas', 'ruble_rusești', 'scărpina', 'rublă_rusă', 'terminologie_wrestling', 'ștergere'}
sad	{'sad,_dnipropetrovsk', 'mâhnire', 'amărăciune', 'tristețe', 'lost_dogs', 'sad,_ucraina', 'abătută', 'tristeţe', 'sad', 'tulburari_afective_sezoniere', 'întristător', 'jalnic', 'trist', 'lamentabil', 'divizia_pentru_activități_speciale', 'sad,_raionul_sînelnîkove,_regiunea_dnipropetrovsk', 'trist_tristă', 'nenorocit', 'deplorabil', 'sadhe', 'mizerabil', 'abătut', 'sad,_sînelnîkove'}
salt	{'salt', 'sarea', 'sare', 'salt_ii', 'salt_i', 'tratativele_pentru_limitarea_armelor_strategice_salt', 'sărăriță', 'nacl', 'gustsărat', 'henry_salt', 'sare_ionic', 'producția_de_sare', 'presăra', 'anima', 'sare_de_bucătărie', 'însufleți', 'pivniță_de_sare', 'săra', 'sare_comună', 'saltcellar', 'sare_de_sodiu', 'salinitate', 'clorură_de_sodiu', 'cheryl_james', 'clorurădesodiu', 'amar', 'strategice_limitarea_înarmării_convorbiri', 'salt-n-pepa', 'dasavoare', 'săruri', 'sare_de_masă', 'sare_de_potasiu', 'sărat', 'strategic_arms_limitation_talks', 'solniță'}
sand	{'george_sand', 'schonenberg-kubelberg', 'schönenberg-kübelberg', 'georges_sand', 'șmirghelui', 'comuna_sand,_ungaria', 'comuna_sand', 'sand,_rogaland', 'amandine_lucie_aurore_dupin_de_francneil', 'sabla', 'amandineauroreluciedupin', 'moxie', 'nisip', 'sand,_ungaria', 'sand', 'inimă', 'suflet', 'amandine_lucille_aurore_dupin,_baroană_de_dudevant', 'nisipiu', 'sand_am_main', 'amandine_aurore_dupin_lucie', 'sand,_zala', 'georgesand', 'comuna_sand,_zala', 'baroneasa_dudevant', 'curaj', 'sand,_bas-rhin', 'burtă'}
say	{'spunecuvocetare', 'jean-baptiste_say', '[se]_citi', 'comunica', 'say', 'porunci', 'afirma', 'osakis', 'in_blue', 'articula', 'say,_niger', 'thomas_say', 'admite', 'pronunța', 'presupune', 'arăta', 'spune', 'cuvânt', 'ordona', 'spun', 'zice', 'declara', 'rosti'}
science	{'științific', 'science_channel', 'ştiinţific', 'știința', 'disciplină_științifică', 'științei_empirice', 'științe', 'stiinta_oficiala', 'stiinta', 'discovery_science', 'măiestrie', 'știință', 'ştiinţa', 'științifice_disciplina', 'dibăcie', 'științifice', 'pricepere', 'disciplină', 'iscusință', 'ştiinţă', 'science'}
scratch	{'handicap', 'indurație', 'liniedeplecare', 'leziuni_ale_pielii', 'uruială', 'macule', 'leziune_a_pielii', 'rade', 'handicap_de_golf', 'mâzgăli', 'îndoitură', 'înscrie', 'marcă', 'linia_zero', 'gelt', 'mălai', 'punebanpeban', 'hoge', 'tăia', 'para', 'start', 'dermatoze', 'peter_gabriel', 'mâzgălire', 'gologan', 'cicatrice', 'lichenificare', 'semn', 'grava', 'zgâria', 'sicli', 'inscripționa', 'excoriații', 'incizie', 'vezicula', 'abraziune', 'cacography', 'ochiul_dracului', 'zgârietură', 'boli_de_piele', 'linia_de_start', 'rating_curs', 'contramanda', 'tăietură', 'bornă', 'moluște_comestibile', 'zgârierea', 'scârțâială', 'afecțiune_a_pielii', 'pustule', 'răzui', 'chior', 'scărpina', 'urluială', 'scratch', 'scârțâit', 'leziunilor_cutanate', 'zgarieturi', 'scoici', 'mânca', 'dinero', 'crestătură', 'simoleons', 'scârțâitură'}
sea	{'ocean', 'oceane', 'mare_lunară', 'maria_lunar', 'mare', 'iapă_lunar', 'ocean_planetar', 'oceanul_global', 'oceanul_planetar', 'oc._planetar', 'oceanul', 'mediul_marin', 'sea', 'hulă', 'oceanul_mondial'}
seafood	{'fructe_de_mare', 'fructedemare'}
see	{'pricepe', 'auzi', 'văz', 'vizuală_percepția', 'scopolamină', 'a_întâlni', '[se]_vedea', 'tâlcui', 'trece', 'vedere', 'considera', 'afla', 'vizualiza', 'închipui', 'imagina', 'descoperi', 'socoti', 'hioscina', 'a_vedea', 'examina', 'aveaorelație', 'sesiza', 'realiza', 'tălmăci', 'înțelege', 'arhiepiscopală_a_se_vedea', 'consulta', 'percepțievizuală', 'văzând', 'scaunul_episcopal', 'ști', 'prevedea', 'primi', 'a_se_ocupa_de', 'da_peste', '[se]_uita', '[se]_asigura', 'scopolaminei', 'văd', 'privi', 'tycho', 'reprezenta', 'petrece', 'controla', 'avea_grijă', 'scopolamina', 'see', 'trăi', 'interpreta', 'cerceta', 'văzul', 'întâlni', 'studia', 'viziona', 'hioscină', 'verifica', 'găsi', 'percepția_vizuală', 'conduce', 'simțul_văzului', 'vizita', 'însoți', 'percepție_vizuală', 'asigura', 'înfățișa', 'întrevedea', '[se]_ocupa', 'aveagrijă', 'vedea'}
seed	{'veni', 'sublime', 'sferturi_de_finala', 'exclama', 'singur_turneu_de_eliminare', 'dasămânță', 'seeded_jucător', 'final_fantasy_viii', 'semință', 'izvor', 'semifinale', 'sămânţă', 'sursa', 'însămânța', 'semi-finale', 'semăna', 'simplă_eliminare', 'spermă', 'sămânță', 'seed', 'ultimul_trimestru', 'semifinala', 'seminal_lichid', 'material_seminal', 'semifinalist', 'lichidseminal', 'planta', 'sfert_de_finala', 'valoare_inițială', 'semifinală', 'semințe', 'sursă', 'lichidul_seminal', 'santi', 'turneu_de_eliminare_singur', 'semi-finala', 'sămînţă', 'sămînță', 'sperma'}
sell	{'comerț', 'vânzare', '[se]_vinde', 'sell', 'comert', 'trăda', 'desface', 'prinde', 'cere', 'plasa', 'terminologie_wrestling', 'comerţ', 'căuta', 'vinde'}
sew	{'coase', 'cusute', 'stitchery', 'cusut', 'coasere', 'cusătură'}
sexy	{'sexy', 'afrodiziac', 'elephunk', 'afrodisiac'}
shape	{'shape', 'înfățișare', 'siluetă', 'comandantul_suprem_aliat_din_europa', 'profil', 'fasona', 'formaţie', 'comandamentul_suprem_al_puterilor_aliate_din_europa', 'anatomia_umană', 'carne', 'comandamentul_aliat_pentru_operații', 'modela', 'forma', 'bod', 'formă', 'formație', 'corpului_uman', 'configurație', 'fizionomie', '4-3-3', 'stare', 'formă_muzicală', 'concretizare', 'cifra', 'tonul_pielii', 'primitive', 'formarea_wm', 'determina', 'pigmentare_a_pielii', 'materialul_corpului', 'conformație', 'modelul', 'corpomenesc', 'organismul_fizic', 'influența', 'corpul_uman', 'aranjament', 'aspect'}
sharp	{'tăios', 'skinheads_against_racial_prejudice', 'clar', 'ascuțit', 'iscusit', 'incisiv', 'diez', 'brusc', 'isteț', 'acut', 'penetrant', 'strident', 'abil', 'adaven', 'sharp', 'prăpăstios', 'abrupt', 'fin', 'rapid', 'sharp_corporation', 'pătrunzător', 'accelerat', 'precis'}
ship	{'[se]_îmbarca', '|se|_îmbarca', 'nava', 'trimite', 'navă', 'vas', 'navă_maritimă', 'vapor', 'nave', 'corabie', 'încărcalabord', 'faceocroazieră', 'transporta'}
short	{'uituc', 'shortstops', 'film_scurt', 'subiecte_scurte', 'instantaneu', 'scurt_de_vânzare', 'scurta_oprire', 'subit', 'scurtcircuita', 'scurtmetraj', 'shortstop', 'film_de_scurt-metraj', 'scurt-circuit', 'short-selling', 'scund', 'pitic', 'scurt_subiect', 'abrupt', 'vânzarea_în_lipsă', 'scurt_vânzare', 'scurt_circuit', 'film_de_scurt_metraj', 'short', 'poziție_scurtă', 'scurt_circuit__electric', 'fărăviziune', 'vânzareînabsență', 'scurte', 'prinsurprindere', 'deodată', 'vânzareshort', 'scurtcircuit', 'scurt-metraj', 'brusc', 'mic', 'scurtă_oprire', 'înșelalarest', 'filme_de_scurt_metraj', 'prăpăstios', 'scurt_metraj', 'insuficient', 'scurt', 'repede', 'scurtcircuitarea', 'pantaloni_scurți_animate'}
show	{'jocuri', 'adeveri', 'spectacol', 'stabili', 'arată', 'evidenția', 'pariuri', 'reprezentație', 'prezenta', 'show', '|se|_arăta', 'joc_de_noroc', 'apărea', 'înregistra', 'exterioriza', 'dalaiveală', 'dovedi', 'confirma', 'demonstra', 'susține', 'proba', 'arăta', 'exprima', 'ieșilaiveală', 'aparență', 'demonstreze', 'expoziție', 'arăta\u200e', 'jocuri_de_noroc', 'atesta', 'înfățișa', 'lăsasăvadă', 'plasa', 'jocdenoroc', 'jocdecărți', 'declara', 'prezinte', 'târguri_județene', 'indica'}
sign	{'semnalul', 'facesemn', 'scala_mulliken', 'semnzodiacal', 'electropozitiv', 'ratifica', 'grafem', 'semna', 'semnalizare_comerciale', 'planetar_casa', 'piază', 'semn_astrologic', 'zodie', 'semiotica', 'semn_medical', 'binecuvânta', 'semnat', 'polaritatea', 'prevestire', 'grapheme', 'semn_clinic', 'semn', 'semnalizare', 'brown_eyed_girls', 'electronegativ', 'firmă', '|se|_însărcina', 'semnul_astrologic', 'semn_zodiacal', 'semnaliza', 'semnul_stea', 'semne_clinice', 'blagoslovi', 'electronegativitate', 'scala_pauling', 'gestual', 'semiologie', 'subscrie', 'out-of-band_semnalizare', 'auspiciile', 'stele_semn', 'preindication', 'literă', 'simbolgrafic', 'număr_pozitiv', 'non-negativ', 'semiotică', '|se|_obliga', 'semnal', 'zodia', 'simbolul_grafic', 'semnal_de_control', 'nenegativ', 'panou', 'electronegativitatea', 'subsemna', 'graphemes', 'semneze', 'polaritate', 'iscăli', '|se|_angaja', 'casa'}
silly	{'lent', 'stupid', 'nonsensicality', 'tont', 'zăpăcit', 'prost-crescut', 'neinteligent', 'năucit', 'buimăcit', 'absurditate', 'prost', 'amețit', 'ilogism', 'necugetat', 'năuc', 'nonsens', 'tâmpit', 'ridicol', 'molâu', 'fără_sens', 'jalnic', 'silly', 'lamentabil', 'nesăbuit', 'prăpădit', 'hokum', 'încet', 'nenorocit', 'nebunesc', 'nerod', 'deplorabil', 'buimac', 'prostii'}
sin	{'sinhaleza', 'aeroportul_internaţional_changi', 'păcătoșenia', 'shin', 'faceboacănă', 'sinhala', 'aeroportul_internațional_changi', 'nanna', 'păcătos', 'funcția_sinus', 'wsss', 'limba_sinhaleză', 'aeroportul_internaţional_singapore', 'păcat', 'sinus', 'păcătui', 'aeroportul_singapore', 'facegafă', 'greși', 'sinhaleză', 'sin', 'păcătuiască', 'păcătoase', 'ispită', 'păcatele', 'aeroportul_singapore_changi', 'păcătoșii', 'limba_singaleză', 'limba_sinhala', 'păcatului', 'aeroportul_internațional_singapore'}
sing	{'voce_curate', 'armonie_vocala', 'cântăreț', 'cânte', 'cântare', 'luagurapedinainte', 'voce_de_sex_feminin', 'intona', 'cântând', 'cântăreți', 'sing', 'cântat', 'ciripi', 'turna', 'vocalisti', 'cânta', 'vocalizând', 'trăncăni', 'șuiera', 'voce', 'leisure'}
sit	{'ședea', '|se|_așeza', 'poza', 'fiaruncat', 'staaruncat', 'stai_jos', '[se]_așeza', 'călări', 'așeza', 'stajos', 'sta', 'așezare', 'îngrijicopii', 'se_așeza', 'stea'}
skin	{'pcb', 'plugin', 'celulelor_pielii', 'burduf', 'tegumentului', 'înveliș', 'mentale_spital', 'cablaj_imprimat', 'add-in', 'coji', 'decoji', 'fațetă', 'plug-in-', 'almost_human', 'cutanate', 'circuit_imprimat', 'blender', 'plugin-uri', 'tegument', 'planul_de_alimentare', 'pielea', 'pieliță', 'plug-in', 'printed_circuit_board', 'placa_de_circuit_imprimat', 'ray_of_light', 'skin', 'dermă', 'zgâria', 'azil_de_nebuni', '[se]_cățăra', 'circuite', 'insert', 'coajă', 'placădecircuit', 'day_for_night', 'circuit_carte', 'mentale_instituție', 'supernatural', '|se|_răni', 'cu_posibilitatea_de_personalizare', 'blană', 'r._kelly', 'ospiciu', 'spitalul_de_psihiatrie', 'placă', 'mentale_acasă', 'piele', 'rudenie_aboriginal_australian', 'adauga-in-', 'coaja', 'jupui'}
sky	{'sky_airlines', 'azur', 'atmosfera_pământului', 'safir', 'stacey_king', 'lazuline', 'чер', 'team_sky', 'atmosfera_terrei', 'credo', 'cer', 'cerulean', 'thatgamecompany', 'atmosfera_pamantului', 'albastru_ca_cerul', 'winx', 'atmosfera_terestră', 'firmament', 'boltăcerească', 'aer', 'boltă', 'văzduh', 'heterosphere', 'albastru', 'winx_club', 'sky', 'cerul_planetar', 'atmosfera_terestra'}
sleep	{'lovitură_de_grație', 'culca', 'repaus_hibrid', 'somn', 'hibernare', 'the_black_parade', 'stare_de_repaus', 'sleep', 'odihni', 'dormi', 'sopor', 'hipersomnie', 'veșnică_odihnă', 'modul_de_a_º_teptare', 'odihnă', 'somndeveci', 'veșnică_somn', 'adormit', 'odihnăveșnică'}
small	{'modest', 'neînsemnat', 'minimalizat', 'redus', 'small', 'john_kunkel_small', 'lombare', 'mărginit', 'mici', 'măsurămică', 'fin', 'scăzut', 'limitat', 'umil', 'mic'}
smart	{'s.m.a.r.t._–_tehnologia_care_te_anunţă_că_hardisk-ul_tău_se_va_defecta_curând', 'deștept', 'agil', 'ager', 'usturime', 's.m.a.r.t.', 'terminologie_wrestling', 'impertinent', 'inteligenţă', 'capacitatea_mentală', 'isteț', 'smart', 'neobrăzat', 'iute', 'sprinten', 'îndrăzneț', 'dotat', 'durea', 'inteligență', 'usturător', 'vioi', 'pricepere', 'minte', 'obiective_smart', 'șic', 'repede', 'inteligenta', 'inteligent', 'tehnologie_de_auto-monitorizare,_analiză_și_raportare'}
smell	{'presimți', 'mirosul', 'olfactiv_proprietate', 'olfaction', 'simți', 'hidroxid_de_bor', 'ton', 'puți', 'olfactiv_percepția', 'inodor', 'olfactiv', 'perceperea_mirosului', 'olfactiv_modalitatea', 'miros', 'simțul_mirosului', 'mireasmă', 'olfactiv_senzație', 'mirositor', 'atmosferă', 'sentimentul', 'spiritul', 'sistemului_olfactiv_accesoriu', 'miros_neplăcut', 'mirosiurât', 'duhni', 'olfacție', 'mirosi'}
smiling	{'surâs', 'zâmbet', 'zâmbind', 'rânjet', 'rânjit', 'zâmbitor'}
smoke	{'fastball', 'muc', 'tabac', 'chiștoc', 'nicotiana', 'fum', 'smoke', 'efect_magneto-optic_kerr', 'țigări', 'fumat', 'verde_zeita', 'sess', 'ţigară', 'fumuriu', 'țigaretă', 'rulou_de_tutun', 'tutunul', 'plante_de_tutun', 'sicriul_unghiilor', 'maria_ioana', 'cigaret', 'șut', 'tutun', 'ţigaretă', 'scoatefum', 'țigarete', 'yin_yang_yo!', 'fumători', 'țigară', 'fuma', 'fumegară', 'iarbă', 'mary_jane', 'fumătoare', 'afumate', 'verdeață', 'sens', 'magneto-optic_kerr_efect', 'fumega', 'bombă', 'fumător', 'consumul_de_tutun'}
smooth	{'fructe', 'stypsis', 'fățuit', 'minerality', 'calm', 'subtil', 'fățuire', 'lin', 'lustrui', 'gerald_albright', 'liniștit', 'domol', 'neted', 'netezire', 'buna', 'abil', 'echilibrul', 'netezi', 'fățuială', 'fin', 'astringență', 'drept', 'legato', 'smooth'}
snake	{'şerpe', 'râul_snake', 'ah-1_cobra', 'hydra', 'serpi', 'pericol_ascuns', 'cod_gray', 'snake_jailbird', 'bell_ah-1_huey_cobra', 'snake_river', 'codul_gray', 'serpentes', 'şarpe', 'şerpi', 'ophidian', 'șarpe', 'râulsnake', 'solid_snake', 'hidra', 'șerpi', 'snake', 'șerpe', 'ofidian'}
snow	{'ducedenas', 'ninsoare', 'nea', 'cădere_de_zăpadă', 'charles_percy_zăpadă', 'zăpada', 'baron_de_zăpadă_de_leicester', 'c.p.snow', 'c._p._zăpadă', 'nas_bomboane', 'tragepesfoară', 'ivoriu', 'omăt', 'stratul_de_zăpadă', 'ffmpeg', 'baronsnowofleicester', 'alburiu', 'zăpadă', 'a_ninge', 'off-alb', 'charlespercysnow', 'snow', 'aruncaprafînochi', 'fildeș', 'ninge', 'fildeșiu', 'alb-ivoriu'}
solution	{'soluţie', 'substanțelor_dizolvate', 'răspuns', 'soluție', 'rădăcină', 'rezultatul', 'răspunsul', 'soluții', 'solutii', 'ecuația_rezolvarea', 'rezolvaredeprobleme', 'solution', 'rezolvare', 'rezolvarea_ecuațiilor', 'rezultat', 'dezlegare', 'rezolvare_a_problemelor', 'soluționare'}
some	{'aproximativ', 'mai_mult_sau_puțin', 'unele', 'cam', 'aproape', 'vreo', 'ceva', 'sau_cam_asa_ceva', 'circa'}
soul	{'plinatatii_de_suflet', 'individ', 'soul_music', 'aiúa', 'muritor', 'singur', 'muzica_soul', 'suflet', 'persoană_fizică', 'despre_suflet', 'om', 'întruchipare', 'personificare', 'soul', 'muzică_soul', 'sufletul_nemuritor', 'unic', 'sufletul', 'cineva', 'persoană', 'persoană_juridică'}
sound	{'semnalsonor', 'undăacustică', 'val_de_sunet', 'discurs_de_sunet', 'auditiv_senzație', 'audio', 'sigur', 'sănătos', 'brațdemare', 'sunete', 'temeinic', 'tecnocumbia', 'răsunet', 'strâmtoare', 'greu', 'undele_sonore', 'legal', 'bun', 'vocaliza', 'senzațieauditivă', 'sunetului', 'suna', 'undă_sonoră', 'strașnic', 'nevătămat', 'solid', 'zdravăn', 'adânc', 'sonor', 'cu_undă_acustică', 'undăsonoră', 'undă_acustică', 'sonda', 'sunetul', 'telefon', 'profund', 'întemeiat', 'just', 'teafăr', 'sunet', 'daglas', 'face'}
spit	{'ponegri', 'proțap', 'frigare', 'ieșindalțărmului', 'scuipat_de_nisip', 'saliva', 'punepefrigare', 'expectoratie', 'picura', 'limbă', 'ocărî', 'punepegrătar', 'salivă', 'rotisor', 'scuipătură', 'defăima', 'spit', 'scuipa', 'limbădepământ', 'scuipat'}
split	{'heterozigoției', 'diviza', 'divizat', 'split,_croatia', 'izbucni', 'împrăștia', 'răspândi', 'zigozitatea', 'heterozigot', 'scindat', 'despica', 'desface', 'birds_of_prey', 'frângere', 'split', 'scindare', 'sfâșiere', 'homozigozității', 'homozigote', 'homozigońii', 'parte', 'despărți', '(12512)_split', 'fragmentat', 'heterozigozitate', 'separație', 'separa', 'fracționa', 'secționa', 'divizare', 'fracționare', 'spinteca', 'separare', 'risipi', 'diferențiere', 'homozigozitate', 'sparge', 'divide', 'sfâșietură', 'stoc_divizat', 'spintecare', 'șpagat', 'împărți', 'heterozigoți', 'fracționat', 'sticlădejumătate', 'despărțit', 'split,_split-dalmația', 'rupere', 'hemizygous', 'scinda', 'split,_croația', 'ruptură', 'subdivizare', 'fandare', 'sticlămică', '12512_split', 'spargere', 'spagat', 'homozigotă', 'homozigotism', 'dezvolta'}
spoke	{'limbă_vorbită', 'fuscel', 'limbajul_oral', 'vorbire', 'comunicareorală', 'discursul_de_comunicare', 'spoke', 'comunicații_de_voce', 'vorbite_de_comunicare', 'spițele', 'comunicare_orală', 'limba_vorbită', 'comunicare_discurs', 'spiță', 'treaptă', 'vorbirii_umane', 'orală_de_comunicare', 'au_intervenit_roata', 'limbaj', 'discursul', 'rundle'}
squeeze	{'turti', 'apropia_degetele', 'răsucire', 'criza_creditelor', 'contracta', 'îmbrățișarea', 'criza_de_lichiditate', 'zdrobi', 'forța', 'îmbrățișa', '|se|_îmbrățișa', '|se|_strecura', 'extorca', 'strânsoare', 'strânge', 'jocdeputere', 'îmbrățișare', 'sili', 'constrânge', 'îngrămădire', 'squeeze', 'criză_de_lichiditate', 'pișca', 'strivi', 'stoarce', 'înghesuire', 'stoarcere', 'obliga', 'face', 'gagic', 'restrângere', 'îndesa', 'zugzwang', 'ciupi'}
stab	{'scream_2', 'înjunghiere', 'tăia', 'înfige', 'a_da_o_lovitură_de_cuțit', 'îmboldi', 'crampă', 'împunge', 'străpunge', 'râvnă', 'zel', 'cuțit_împingere', 'înjunghia_corn', 'vârî', 'spasm', 'împlânta', 'junghi', 'înjunghia'}
stand	{'soclu', '|se|_menținepepoziție', 'parteneriat', 'fundament', 'stagnare', 'podium', 'plantații_de_zahăr', 'răbda', 'stau', 'păți', 'punctul', 'perspectivă', 'trage', 'piedestal', 'puneînpicioare', 'sta_în_picioare', 'livezi', 'împotrivire', 'lua', 'tribună', 'rezista', '|se|_situa', 'punct', 'oprire', 'rămâne', 'livada', 'în_aer_liber_etapă', 'livadă', 'orchardist', '[se]_situa', 'tolera', 'sta', '[se]_găsi', 'the_stand', 'woodlet', 'plantație_de_cauciuc', 'raft', 'staînpicioare', 'suporta', 'ridica', 'îndura', 'suferi', 'vânzări_cabina', 'rezistență', '|se|_așeza', 'escală', 'suport', 'măsuță', 'opoziție', 'fibundeprăsilă', 'punct_de_vedere', 'rămâneneclintit', 'plantație', 'virus_mortal', 'estradă', 'plantaţie', 'plantație_de_bumbac', 'locaș', 'livada_de_fructe', 'chioșc', 'postament', 'bază', 'îngădui', 'avea', 'susan_ashton', 'stea', '|se|_pune', 'chioșcdeziare', 'pomet', 'unghi', 'stand', 'pâlc', 'punctdevedere', 'plantație_de_cafea', 'stație'}
star	{'superstar', 'topologie_stea', 'stelele', 'chefal', 'rating_stele', 'virtuoz', 'bâzâit', 'steadecinema', 'expertule', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'mavin', 'personalitate_tv', 'celebrități', 'principal', 'ilean_almaguer', 'tar', 'erou', 'adept', 'gudron', 'personajprincipal', 'vedetă', 'încearcă', 'maven', 'puneasterisc', 'cap_de_afis', 'wiz', 'asterisc', 'matrice_boston', 'geniu', 'părtaș', 'actor_principal', 'steluță', 'celebru_persoană', 'celebritate', 'vedetădecinema', 'personalitate_mass-media', 'protagonist', 'popstar', 'prim', 'stea', 'poligon_stele', 'hotel_de_cinci_stele', '*', 'stea_de_cinema', 'stele', 'star', 'jucaînrolprincipal', 'steluţa', 'xerox_star', 'estelle', 'tar.gz', 'as', 'star_de_cinema'}
