ability	{'aptitude', 'förmåga'}
play	{'svärdkamp', 'teaterpjäs', 'kördes', 'teaterföreställning', 'skimmer', 'versdrama', 'period_lek', 'play_store', 'android_market', 'spela_under', 'slå_vad', 'agera', 'satsa', 'dramatiskt', 'dramer', 'kasinospel', 'dramatisk_lek', 'scenkonst', 'gambling', 'anna_sundstrand', 'glädjesprång', 'vadslagning', 'google_play', 'lekar', 'dramatik', 'drama', 'lekkamrat', 'teaterstycke', 'upptåg', 'hasardspel', 'dramagenre', 'dramatisk_konst', 'stageplay', 'pjäsförfattare', 'gaming', 'lek', 'google_play_store', 'spel_och_dobbel', 'spela', 'glapp', 'play', 'pjäs', 'fäktning', 'teaterpjäser', 'skådespelen', 'sällskapslek', 'teaterstycken', 'fria_tyglar', 'skådespel', 'manöver', 'tur', 'spel', 'dramatiken', 'pjäsen', 'psykologiskt_drama', 'dramat', 'pjäser', 'spelare', 'christopher_martin', 'leka'}
pleasure	{'glädje', 'njutning', 'pleasure_p', 'lerche', 'fredrik_ball', 'lerche,_sondre', 'sondre_lerche', 'njuta', 'semisomic', 'semisonic', 'nöje'}
poor	{'armod', 'fattigdom', 'låg_inkomst', 'relativ_fattigdom', 'fattig', 'löfte_av_fattigdom', 'arm', 'den_globala_fattigdomen', 'utblottade', 'fattighjon', 'fattiga_människor', 'absolut_fattigdom', 'utarmning', 'fattiga', 'pauperism', 'frivillig_fattigdom'}
prison	{'kriminalvårdsanstalt', 'tom_robinson', 'jailhouse', 'ffängelsestraff', 'minsta_säkerhet', 'pokey', 'robinson', 'anstalt', 'fängelser', 'sector_27', 'medelhög_säkerhet', 'robinson,_tom', 'fängelset', 'fängslad', 'glad_to_be_gay', 'tom_robinson_band', 'fängsla', 'fängelsesystemet', 'poky', 'fängelsen', 'länet_fängelse', 'sluten_anstalt', 'fängelse'}
professional	{'professionell_idrott', 'experter', 'sakkunnig', 'heltidsproffs', 'professionell_fotboll', 'proffs', 'professionella', 'professionella_idrottare', 'professionellt', 'expert', 'yrkesverksam_person', 'halvtidsproffs', 'fackman', 'deltidsproffs', 'halvproffs', 'helproffs', 'som_ger_ett_professionellt_intryck', 'hockeyproffs', 'mästare', 'professionell_idrottsman', 'professionell', 'fulltidsproffs', 'professionalism'}
protection	{'protection', 'anquan', 'regi', 'trygghet', 'skyddskåpa', 'säkerhet', '安全', 'skydd', 'resesäkerhet', 'egenskapsuttryck', 'anquan_xiang', '安全乡', 'beskydd', 'handelspolitiska_skyddsåtgärder'}
pull	{'dra', 'bloss', 'vadd', 'ryck', 'släpa', 'attrahera', 'benet_blick', 'locka', 'utvinna', 'dragkraft', 'pull', 'attraktion', 'pull_skott', 'batsmen'}
push	{'precious', 'dierickx,_mike', 'ryck', 'stack', 'mike_dierickx', 'putta', 'push', 'knapp', 'black_and_white_america', 'trycka', 'confessions_on_a_dance_floor', 'driva', 'sorry', 'dierickx', 'precious:_based_on_the_novel_"push"_by_sapphire', 'get-up-and-go', 'krysta', 'tryckknapp', 'skjuta_på', 'annonsera', 'knuffa', 'knappen'}
quality	{'karaktär', 'timbre', 'klanger', 'tonen', 'timbral', 'stånd', 'kvalité', 'klang', 'klangfärg', 'kvalitet', 'kvalitativ', 'utbytet', 'hög_rang', 'quality', 'egenskap'}
rain	{'hällregn', 'regn_storm', 'regnskurar', 'regndroppe', 'simone_battle', 'regnvatten', 'regnstorm', 'regna', 'regnskur', 'rain', 'rain_am_lech', 'duggregn', 'heavy_rain:_the_origami_killer', 'ösregn', 'regn', 'rhain', 'kasta', '⛆', 'heavy_rain', 'in_blue', 'nederbörd', 'jung_ji-hoon', 'john_colton', 'regnet', 'bonnie_maxon'}
reaction	{'svar', 'kemisk_produkt', 'kemisk_reaktion', 'reaktionsprodukt', 'kemiskt', 'reaction', 'kemiska_reaktioner', 'reaktion', 'kemiska_reaktionen'}
read	{'läsande', 'läsning', 'nördning', 'ta', 'read', 'högläsning', 'studera', 'läsa', 'läser', 'läs', 'katharine_read', 'tar'}
red	{'day_&_age', 'bolsjevikpartiet', 'bolsjevism', 'boljsevikerna', 'förlust', 'jim_krebs', 'bolsjevikerna', 'bolshevik', 'red', 'angry_birds', 'red_(taylor_swift_album', 'after_school', 'rött', 'bolsjeviker', 'sanningen_om_rödluvan', 'болшевик', 'granatröd', 'röda', 'bolsjevismen', 'mörkröd', 'rødt', 'ik', 'karmosinröd', 'kardinalröd', 'rött_ljus', 'rött_bläck', 'körsbärsfärgad', 'red_river', 'rodnad', 'röd', 'bolshie', 'raudt', 'anil_kapoor', 'don_goldstein', 'bolsjevik', 'bolshy', 'dyrk3'}
relationship	{'slägt', 'adoptivson', 'fosterson', 'social_relation', 'relationer', 'adoptivdotter', 'socialt_umgänge', 'släktskapsrelationer', 'mormor', 'adoptivförälder', 'moster', 'mellanmänskligt_förhållande', 'ättling', 'bekant', 'brorson', 'trassling', 'förhållande', 'mänsklig_interaktion', 'systerdotter', 'matertera', 'släktsamband', 'bekantskap', 'farbror', 'släkt', 'niece', 'nevö_och_niece', 'mänskliga_relationer', 'sjumänning', 'faster', 'sexmänning', 'systerson', 'farmor', 'kognatisk_härstamning', 'relation_mellan_personer', 'fosterdotter', 'kontakt', 'fränka', 'släktskapsrelation', 'släktingar', 'mellanmänsklig_relation', 'släktled', 'skyldemän', 'släktskapstermer', 'relation', 'släkting', 'brorsdotter', 'femmänning', 'frände', 'härkomst_grupp', 'morfar', 'mellanmänskliga_relationer', 'släktskap', 'sällskap', 'farfar', 'ätter', 'umgänge', 'långsiktig_relation', 'släktskap_och_härkomst', 'släkter', 'sociala_relationer', 'morbror', 'nevö', 'nièce'}
religious	{'kerikalinstitut', 'religiös', 'klerikalinstitut', 'gudfruktig', 'klerk', 'religiösa'}
residence	{'bostad', 'boning', 'boplats', 'bostäder', 'dweller', 'uppehållstillstånd', 'hus', 'vistelse', 'bostäder_i_sverige', 'privat_bostad', 'hemvist', 'bostadshus', 'residens', 'invånare', 'hem', 'boställe', 'platsen', 'herrgårdar', 'privatbostad', 'boende', 'herrgård', 'residencia', 'habitant', 'hem_/_hemma'}
right	{'moralfilosofi', 'oförytterlig_rättighet', 'høgre', 'handedness', 'ethik', 'proper', 'högeranhängare', 'politiska_höger', 'oetisk', 'höyre', 'politisk_höger', 'höger-', 'korrigera', 'young_americans', 'högerhänt', 'omistliga', 'rättighet', 'etiska', 'laglig_rätt', 'rätt', 'moralisk_filosof', 'praktisk_filosofi', 'oförytterliga_rätt', 'naturliga_rättigheter', 'felfri', 'lämplig', 'vänsterhänt', 'etiklära', 'rätt_och_fel', 'högerkanten', 'högra', 'högerpolitiken', 'korrekta', 'höger_sida', 'lag', 'fysiska_och_juridiska_rättigheter', 'politiska_högern', 'högre', 'moralfilosofin', 'etiken', 'etiska_frågor', 'högern', 'oetiskt', 'norska_högern', 'rättigheter', 'rightwing', 'etisk_teori', 'höger', 'etiska_system', 'morallära', 'høyre', 'just', 'högerpolitik', 'riktig', 'högerparti', 'etisk', 'sedelära', 'hoyre', 'moralfilosof', 'affärsetik', 'höire', 'rätta', 'etiska_normer', 'oförytterliga_rättigheter', 'omistliga_rättigheter', 'räta_upp_sig', 'riktigt', 'korrekt', 'rättmätiga', 'rättstrygghet', 'högervridna', 'högerkvinna', 'precis', 'juridiska_rättigheter', 'moralfilosofer', 'högerman', 'högervridning', 'etik'}
river	{'bäck', 'check', 'utdragning', 'flodbädd', 'all_in', 'checka', 'älv', 'flod', 'pokertermer', 'kanal', 'sestao_river_club', 'pokerjargong', 'å', 'ström', 'all-in', 'floden', 'floder', 'longhanded', 'flodbank', 'heads-up', 'bad_beat', 'älvar', 'flodens', 'pokeruttryck', 'lista_över_pokeruttryck', 'river', 'bäckar', 'watermark', 'vattendrag', 'intermittent_ström', 'lista_över_pokertermer', 'ruisseau', 'main_event'}
road	{'landsvägar', 'bortamatch', 'tvåfältsväg', 'vägen', 'landsvägstrafik', 'gångbanan', 'bortaplan', 'the_road', 'vägar', 'väg_spel', 'bilväg', 'vägbeläggning', 'new', 'väg', 'vägtrafik', 'landsväg', 'vägbyggen'}
root	{'lösningsmängd', 'n-te_roten', 'ascendenten', 'rot_av_ekvation', 'sidecut', 'ascendent', 'förfäder', 'stammen', '0', 'tillfälliga_rötter', 'upphov', 'dubbelrot', 'rot', 'grundton', 'n_te_roten', 'noll', 'rot_av_tal', 'hårväxt', 'orsak', 'etymon', 'babyloniska_metoden', 'tandroten', 'rot_till_ekvation', 'intervall', 'källa', 'huvudhår', 'musikaliska_intervall', 'böka', 'roten', 'rotat_träd', 'början', 'ordrot', 'föregångare_till', 'ordstam', 'tonic_ackord', 'nte_roten', 'fjun', 'uppspännande_träd', 'lösning', '∜', 'människohår', 'algoritm_för_beräkning_av_nte-roten', 'f0', 'hårig', 'rötter', 'hårstrå', 'lanugohår', 'skog', 'rothår', 'hår', 'root', '؇', 'kroppsbehåring', 'superanvändare', 'huvudet_hår', 'rotade_träd', 'märkt_träd', 'kroppshår', 'root-access', 'förfader', 'nollställe', 'rotsystem', 'stam', 'föregångare', 'hårvård', 'rotordet', 'musikalisk_intervall', 'rotanvändare', 'tonic', 'ursprung', 'surdtal', 'konohagakure', 'tonalt_centrum', 'träd'}
rope	{'repslagare', 'tågvirke', 'mexikansk_valium', 'rep', 'repet', 'märling', 'hyssing', 'glöm_mig_drog', 'rophy', 'roofy', 'rope', 'garn', 'repslagning', 'r-2', 'ropemaker'}
rotten	{'rutten', 'urusel'}
round	{'ett_skott', 'stypsis', 'tvärslå', 'aritmetiska_precision', 'frukt', 'omgång', 'bareknuckle', 'signifikanta_siffran', 'balansen', 'pugilism', 'pris_kamp', 'varv', 'patron', 'patronhylsa', 'kropp', 'boxning', 'avrundad', 'cirkulär', 'rond', 'rund', 'boxing', 'mineralitet', 'slagsmål', 'nakna_knoge_boxning', 'enhetspatron', 'signifikanta_siffror', 'ringformad', 'enhetspatroner', 'gällande_siffra', 'avrunda', 'skal_hölje', 'proffsboxning', 'torra', 'golfrunda', 'tungviktsboxning', 'dagliga_rundan', 'pugilist', 'precision', 'minst_signifikanta_siffran', 'enhet_av_ammunition', 'värdesiffror', 'boxare', 'hölje', 'bouquet', 'runda', 'pris_kämpe', 'round', 'mest_signifikanta_siffran', 'salva', 'runda_av_drycker', 'signifikant_siffra', 'cirkelformad', 'balans', 'boxexercise', 'tomhylsa', 'värdesiffra'}
rub	{'ryska_rubel', 'gnida', 'ryska_rubler', 'gno', 'klia', '₽', 'stryka', 'torka', 'gnugga', 'ryska_rubeln', 'rub', 'spice_rub', 'rysk_rubel', 'sovjetisk_rubel'}
sad	{'årstidsbundna_depressioner', 'sadhe', 'mörkerdepression', 'sorg', 'sad', 'tsadi', 'øster-larskirke', 'sorgsen', 'vinterdepression', 'lost_dogs', 'sorgsenhet', 'årstidsrelaterad_affektiv_störning', 'österlars', 'østerlars', 'osterlars', 'årstidsrelaterad_depression', 'ledsen', 'surat_sad', 'höst-_och_vinterdepression', 'höstdepression', 'österlarsker', 'årstidsbunden_depression', 'seasonal_affective_disorder'}
salt	{'saltet', 'metallsalt', 'kaliumsalt', 'koksalt', 'salter', 'henry_salt', 'salt', 'av', 'salt_i', 'salt_ii-avtalet', 'bordsalt', 'strategiska_rustningsbegränsning_talks', 'natrium_och_klor_förenas_till_natriumklorid', 'joniskt_salt', 'salt_källare', 'saltkar', 'bordssalt', 'salt-n-pepa', 'flingsalt', 'jonförening', 'salta', 'nacl', 'vägsalt', 'vanligt_salt', 'cheryl_james', 'salt_ii', 'salt_produktion', 'jonisk_förening', 'strategic_arms_limitation_talks', 'salt-1', 'natriumsalt', 'salt_2', 'natriumklorid', 'jonföreningar'}
sand	{'sandpappra', 'sand,_bas-rhin', 'mellansand', 'grovsand', 'moxie', 'sand,_george', 'slipa', 'baroness_dudevant', 'amandine_aurore_lucie_dupin', 'sand', 'aurore_dupin', 'george_sand', 'tarmar', 'sand,_umeå_kommun', 'schönenberg-kübelberg', 'sand_am_main', 'aurore_dudevant'}
say	{'säga', 'prata', 'say', 'jean-baptiste_say', 'uttala', 'stå', 'berätta_för', 'osakis', 'say,_jean-baptiste', 'in_blue', 'säger', 'berätta', 'jean_baptiste_say', 'thomas_say', 'tala', 'förege'}
science	{'vetenskap', 'science_channel', 'skicklighet', 'vetenskapliga', 'grundforskning', 'tillämpad_forskning', 'discovery_science', 'vetenskaplig', 'vetenskapligt', 'empirisk_vetenskap', 'vetenskapen', 'science', 'etablerade_vetenskapen', 'vetenskaperna', 'vetenskaplig_disciplin'}
scratch	{'gravera', 'dinero', 'karva', 'siklar', 'klotter', 'induration', 'etsa', 'buckla', 'hudförändring', 'dålig_stil', 'deg', 'musslor', 'handicap', 'pelf', 'fotskav', 'ställa_in', 'nötning', 'hudsår', 'handicapsystemet', 'hudskador', 'peter_gabriel', 'pustler', 'scratch_linje', 'skrubbsår', 'ärr', 'repor', 'simdaler', 'gelt', 'lichenifikation', 'macules', 'klia', 'skrapa', 'hudsjukdomar', 'skav', 'stryka', 'exkoriation', 'vesikel', 'startlinjen', 'scratch', 'handikapp', 'golfhandicap', 'moolah', 'kurs_betyget', 'golfhandikapp', 'dermatoser', 'adventures_of_sonic_the_hedgehog', 'märke', 'kutan_tillstånd', 'skoskav', 'skavsår'}
sea	{'sea', 'slc25a1', 'havsmiljö', 'bentisk', 'havsvatten', 'månhav', 'lista_över_air-avsnitt', 'marina_miljön', 'bentiska_zonen', 'månens_hav', 'ocean', 'air', 'sjö', 'havet', 'världshavet', 'hav', 'paleohav', 'mare', 'hafið', 'månens_maria', 'lunar_sto', 'världshav'}
seafood	{'skaldjur', 'fisk_och_skaldjur'}
see	{'see_im_paznaun', 'åskåda', 'district_du_lac', 'ta_hand_om', 'se', 'seebezirk', 'see', 'förstå', 'lac', 'biskopssäte', 'synförmåga', 'skåda', 'höra', 'stiftsstäder', 'visa', 'messnerhaus', 'träffa', 'skådar', 'hälsa_på', 'upptäcka', 'råka', 'see_district', 'visuell_perception', 'undersöka', 'observera', 'föreställa_sig', 'ser', 'inse', 'träffas', 'syn', 'försäkra', 'hyoscin', 'anser', 'skopolamin', 'scopolamin', 'archiepiscopal_se', 'stiftsstad', 'tycho', 'stöta_på', 'besöka', 'uppleva', 'betrakta', 'ta_hand', 'lära_sig', 'träffa_på'}
seed	{'sädesceller', 'sädesvätska_sperma_sagge', 'santi', 'säd', 'fröet', 'squall_leonhart', 'frö', 'seedad', 'enda_eliminering_turnering', 'sädesvätska', 'ff8', 'sperma', 'sublime', 'källan', 'semifinal', 'seedning', 'cup', 'final_fantasy_viii', 'final_fantasy_8', 'seed', 'komma', 'cum', 'semifinalist', 'enda_eliminering', 'ejakulat', 'ejakulera', 'fröer', 'frön', 'kvartsfinalen', 'startvärde', 'semifinalen', 'utsäde', 'seeding', 'utslagsturnering', 'seedade_spelare', 'kvartsfinal', 'ffviii', 'så', 'utslagsspel', 'kärna'}
sell	{'kränga', 'inrikeshandel', 'förråda', 'idka_handel', 'maritima_handel', 'handeln', 'svika', 'handelns_historia', 'utrikeshandel', 'handel', 'erbjuda', 'realisera', 'sälja', 'nasa', 'sell', 'handlar', 'tillhandahålla', 'utbjuda'}
sew	{'sy', 'sömnad', 'stitchery'}
sexy	{'elephunk'}
shape	{'högsta_allierade_styrkorna_europa', 'överbefälhavare_för_de_allierade_commander_europa', 'fotbollsuppställning', 'spelsystem', '4-4-2', 'form', 'allied_command_operations', 'människokropp', 'tillstånd', 'monastrell', '4-2-3-1-uppställning', 'vers–refräng-form', 'kropp', 'primitiv', 'forma', 'definition', 'avgöra', '4-3-3', 'anatomiska_variation', 'bilda', 'mänskliga_kroppen', 'kött', 'humanfysiologi', 'hudpigmentering', 'wm_bildning', 'fysiska_kroppen', 'bod', 'människokroppen', 'musikalisk_form', 'mönstret', 'högkvarteret_allied_powers_europe', 'shape', 'människans_fysiologi', 'människans_anatomi', 'siffran', 'mänsklig_kropp', 'materiella_kroppen', 'supreme_headquarters_allied_powers_europe', 'anatomisk_variation'}
sharp	{'klyftig', 'vass', 'skarp', 'sharp', 'skarpsinnig', 'spen', 'gäll', '-iss', 'sharp_corporation', 'adaven', 'hayakawa', 'skinheads_against_racial_prejudice'}
ship	{'inpp5d', 'ship', 'skicka', 'fartyg', 'skepp', 'ship,_morena'}
short	{'kortslutning', 'två-reeler', 'kort_position', 'blankning', 'kort_stopp', 'kort_ämne', 'short', 'kortfilm', 'korta_ämnen', 'med_ens', 'animerade_kortfilmer', 'film_kort', 'shortstop', 'kortsluta', 'short,_mount', 'aktielån', 'kortfilmsdagen', 'shortstops', 'naken_blankning', 'kortfilmer', 'korta', 'kort', 'plötsligen', 'plötsligt'}
show	{'visar', 'hasardspel', 'ställa_ut', 'county_fair', 'uttrycka', 'kasinospel', 'föreställning', 'fastställa', 'lantbruksmöte', 'bevisa', 'vadslagning', 'vitsorda', 'spel_och_dobbel', 'uppvisning', 'gaming', 'demonstrera', 'länets_mässor', 'gambling', 'show', 'spelare', 'visa', 'spel'}
sign	{'semiologi', 'signalering', 'positivt_tal', 'skyltning', 'elektronegativitet', 'signal', 'omen', 'auspicia', 'preindication', 'tecken', 'brown_eyed_girls', 'semiotik', 'elektronegativ', 'underteckna', 'stjärntäcken', 'skriva_under', 'medicinsk_tecken', 'elektronegativa', 'planetariska_hus', 'skyltar', 'födelsetecken', 'auspicier', 'stjärntecken', 'signera', 'kliniska_tecken', 'skylt', 'paulingskalan', 'elektropositiv', 'kommersiella_skyltar', 'hus', 'semiotiker', 'astrologiska_tecken', 'bokstav', 'zodiaktecken', 'signum', 'järtecken', 'grafem', 'polaritet', 'teckensystem', 'nonnegative', 'semiotiska', 'fynd', 'semiology', 'icke-negativa', 'grafisk_symbol', 'ratificera', 'förbud'}
silly	{'nonsensicality', 'hokum', 'silly,_belgien', 'nonsens', 'dumma', 'meningslösa', 'löjlig', 'dumt', 'dåraktig', 'silly', 'dum', 'enfaldig', 'omtöcknad', 'meningslös'}
sin	{'singapore_changi_airport', 'sinuskurva', 'singapore_changi_flygplats', 'syndaren', 'sinhalesiska', 'nanna', 'syndfullhet', 'singalesisk_skrift', 'syndelse', 'sinusoidal', 'polr3e', 'synda', 'sinusfunktionen', 'syndare', 'siṃhala', 'synder', 'nannar', 'simhala', 'singalesiska', 'sin', 'sinus', 'synd', 'sinhala', 'singales', 'efs', 'singalesiska_språket', 'shin'}
sing	{'leisure', 'harmoni_sång', 'sång', 'kvinnlig_sång', 'vocalizing', 'sjunga', 'sångare', 'popsångerska', 'rena_sång', 'sing'}
sit	{'sitta', 'sitta_ner', 'rida', 'posera', 'sit1', 'sätta_sig', 'åka', 'sittande'}
skin	{'pied_piper_of_r&b', 'public_announcement', "fuck_y'all", 'the_r_in_r&b', 'robert_sylvester_kelly', 'nothing_really_matters', 'deborah_dyer', 'hy', 'the_r._in_r&b:_vol_1', 'kutan', 'psykiatriskt_sjukhus', 'hudcell', 'insticksprogram', 'r_kelly', 'tilläggsprogram', 'makt_plan', 'zest', 'skal', 'mental_hem', 'plugins', 'dårhus', 'australiensisk_aboriginal_släktskap', 'kelly', 'mönsterkortet', 'trapped_in_the_closet', 'r._kelly', 'insticksmodul', 'epic', 'kungen_av_r&b', 'effekt_plan', 'flerlagerkort', 'kelly,_r.', 'plug-in', 'day_for_night', 'skinn', 'plug-inprogram', 'zomba_records', 'huden', 'plugin-program', 'mentalsjukhus', '2_chainz', 'the_power_of_good-bye', 'tillägg', 'asyl', 'tryckta_kretskort', 'trapped_in_the_closet:_the_movie', 'skin', 's.k.i.n', 'blender', 'fjällning', 'printed_circuit', 'pluginprogram', 'skinnable', 'por', 'ray_of_light', 'trapped_in_the_closet:_the_book', 'breakout_board', 'plugin', 'the_r._in_r&b_collection,_vol_1', 'plugin-', 'mönsterkort', 'kretskort', 'cutis', 'king_of_r&b', 'skala', 'inneragnen', 'pied_piper', 'honey_love', 'plug-in_program', 'almost_human', 'hud', 'remix_city:_vol_1'}
sky	{'jordatmosfär', 'azurblå', 'sky_plc', 'homosfären', 'himlen', 'team_sky', 'tyro3', 'himmelen', 'heterosphere', 'azur', 'himmel', 'british_sky_broadcasting', 'kasta', 'premiere', 'jordens_atmosfär', 'winx_club', 'himmelsblå', 'sky', 'lazuline', 'thatgamecompany', 'sky_movies', 'credo', 'safirblå', 'slänga', 'luft', 'sky_deutschland', 'luften', 'premiere_ag', 'atmosfären_av_jorden', 'bskyb', 'stacey_king', 'azure', 'heterosfären', 'sky_airlines', 'coelinblått', 'cerulean'}
sleep	{'sover', 'evig_sömn', 'hypnogram', 'dormogram', 'sömn', 'dead!', 'slagga', 'strömsparläge', 'somnologi', 'the_black_parade_the_b-side', 'tupplur', 'sömnen', 'the_black_parade:_the_b-sides', 'mikrosömn', 'hybridströmsparläge', 'sova', 'sleep', 'unihemisfärisk_sömn', 'viloläge', 'sopor', 'the_black_parade', 'evig_vila', 'standby-läge', 'quietus', 'sömn_hos_djur', 'powernap', 'sömnforskning', 'slumra'}
small	{'small', 'ländrygg', 'småskalig', 'små', 'liten', 'ländryggen', 'john_kunkel_small', 'small,_mount'}
smart	{'smart_automobile', 'fräck', 'svidande', 'smart,_målformulering', 'näsvis', 'förstånd', 'smart', 'mental_kapacitet', 'oförskämd', 'intellekt', 'motorisk_kunskap', 'self-monitoring,_analysis_and_reporting_technology', 's.m.a.r.t.', 'skada', 'klyftig', 'begåfning', 'self-monitoring_analysis_and_reporting_technology', 'smarta', 'intelligent', 'intelligens', 'klok', 'intellektuellt', 'intelligensnivå', 'intelligensforskning', 'begåvning'}
smell	{'lukt', 'lukt_egendom', 'olfaktorisk', 'lukt_uppfattning', 'luktsinne', 'lukt_känsla', 'uppfatta', 'tonen', 'olfaction', 'lukta', 'odör', 'lukten', 'luktsinnet', 'doft', 'lukt_modalitet', 'obehaglig_lukt', 'stank', 'märka', 'känsla', 'luktsystemet', 'stämning', 'anda', 'dofter'}
smiling	{'leende', 'grin', 'ler', 'le', 'smil', 'flinade'}
smoke	{'tobaken', 'tobaksplanta', 'yin_yang_yo!', 'röka', 'rökt', 'magneto-optiska_kerr-effekten', 'stump', 'fastball', 'sess', 'tobaksplantan', 'cigaret', 'snabb_boll', 'mary_jane', 'fimp', 'cigg', 'gaser', 'tobaksbruk', 'röker', 'nicotiana', 'cigarett', 'rök', 'ryka', 'filtercigarett', 'tobaksrulle', 'tobak', 'rökning', 'cigarettmärke', 'cigarettmärken', 'yin_yang_yo', 'sängrökning', 'cigarettfimp', 'grön_gudinna', 'tobakens_historia', 'cigarretter', 'the_smoke', 'sens', 'tobaksspinneri', 'gräs', 'elektrisk_cigarett', 'tobaksvaror', 'inhalerandet_av_rök', 'cigaretter', 'råtobak', 'kista_spik', 'cigarrett', 'ciggaret', 'smoke'}
smooth	{'jämna', 'stypsis', 'frukt', 'gerald_albright', 'mineralitet', 'putsa', 'kropp', 'slät', 'smooth', 'torra', 'polera', 'bouquet', 'balansen', 'balans'}
snake	{'vattenormen', 'giftorm', 'långkuse', 'orm_i_gräset', 'snake_river', 'graykod', 'snake_jailbird', 'bell_ah-1_cobra', 'ophidian', 'orm', 'serpentes', 'solid_snake', 'gray-kod', 'ormars_huggtänder', 'snake', 'ah-1', 'ah-1_cobra', 'ormar'}
snow	{'snötäcke', 'snö', 'the_warriors', 'krigarna', 'baron_snow_of_leicester', 'c.p._snow', 'lappmögel', '❆', 'snöflinga', 'snöslask', 'slaskar', 'kola', 'benvit', 'snau', 'c._p._snow', 'myrkrig', 'snön', 'snow', 'c.p._snö', 'snöoväder', 'snöa', 'ffmpeg', 'off_white', 'myrornas_krig', 'isnål', 'diamantstoft', 'elfenben', 'näsa_godis', 'charles_percy_snow', 'snöstjärna', '❄', 'snow,_c.p.', 'snöfall', 'koks', 'isnålar', '❅', 'kornsnö', 'off-white', 'the_warriors_-_krigarna', 'snöby', 'cp_snow', 'snödriva'}
solution	{'hyperton', 'problemlösning', 'homogen_blandning', 'lösning', 'vattenlösligt', 'omättad_lösning', 'lika_löser_lika', 'resultat', 'övermättad_lösning', 'lösta_ämnen', 'hypoton', 'svar', 'mättnadspunkt', 'problemlösande', 'lösningar', 'solution', 'hypotonic', 'övermättad', 'mättad_lösning', 'ekvationslösning', 'resultatet', 'hypertonic', 'mättnad'}
some	{'ungefär', 'lite', 'eller_så', 'cirka', 'mer_eller_mindre', 'några', 'uppskattningsvis'}
soul	{'själen', 'individualitet', 'individer', 'person', 'själ', 'individ', 'soul', 'dödlig', 'aiúa', 'hebp2', 'själar', 'någon', 'soulmusik', 'själfullhet'}
sound	{'akustisk_våg', 'sund', 'ljud', 'låta', 'havssund', 'fon', 'kry', 'telefon', 'talljud', 'ljudvåg', 'nor', 'frisk', 'ljudvågor', 'auditiva_sensation', 'språkljud', 'ljudet', 'stomljud', 'ljudutbredning', 'foner', 'tecnocumbia'}
spit	{'spotta', 'shazui_jiedao', 'spett', 'spit', '沙嘴', 'spottloska', 'shazui', 'saliv', '沙嘴街道', 'spott', 'upphostningar'}
split	{'gothams_änglar', 'spagat', 'сплит', 'uppdelningen_lemma', 'skiljas', 'splittalbum', 'aktiesplit', 'hemizygot', 'homozygositet', 'heterozygot', 'spalatum', 'zygosity', 'split', 'brisera', 'homozygoter', 'homozygota', 'grad_split', 'spalato', 'klyva', 'överspagat', 'heterozygositet', 'spricka', 'split,_kroatien', 'söndra', 'dela_upp', 'spräcka', 'heterozygota', 'splitalbum', 'dela', 'flytta_isär', 'birds_of_prey', 'delad_album', 'schism', 'homozygot', 'heterozygoter', 'brista', 'splittra', 'spàlato', '12512_split', 'splitsingel', 'skilja', 'omvänd_split', 'avlänka'}
spoke	{'talspråk', 'talförmågan', 'hjul_talade', 'tungomål', 'eker', 'ekrarna', 'prata', 'spoke', 'språk', 'talsignal', 'prat', 'rundle', 'mänskligt_tal', 'muntlig_kommunikation', 'talkommunikation', 'talförmåga', 'talade', 'tal', 'talspråklig', 'talade_språket', 'röstkommunikation'}
squeeze	{'krama', 'dra_ihop', 'utpressa', 'mosa', 'squeeze', 'nypa', 'kreditkrisen', 'tvinga', 'likviditetskris', 'pressa', 'kramar', 'platta_till', 'zugzwang', 'dragtvång', 'kramis', 'klämma', 'vrida', 'kram', 'krossa'}
stab	{'sticka', 'hugg', 'horn_hugg', 'knivskära', 'stab', 'knivhugga', 'scream2', 'scream_2', 'kniv_dragkraft', 'stick'}
stand	{'kaffe_plantage', 'försäljning_monter', 'utomhusscen', 'le_bizzarre_avventure_di_giogio', 'ställa', 'stand', 'tolerera', 'ställning', 'bås', 'dunge', 'ta', 'lund', 'sockel', 'jojo_no_kimyo_na_boken', 'the_stand', 'plantager', 'jojo_no_kimyoo_na_booken', 'jojo_no_kimyou_na_bouken', 'fruktträdgårdar', 'står', 'ståndpunkt', 'stånd', 'sockerplantage', 'synpunkt', 'jojo_no_kimyō_na_bōken', 'plantagejordbruk', 'socker_plantage', 'position', 'fruktträdgård', 'kaffeplantage', 'fruktodling', 'företag', 'pestens_tid', 'firma', 'stå_ut', 'grund', 'orchardist', 'synvinkel', 'bomullsplantage', 'bandstand', 'stå_ut_med', 'träddunge', "jojo's_bizarre_adventure", 'stå', 'sockerplantager', 'frukt_fruktträdgård', 'plantage', 'susan_ashton', 'bära', 'uthärda', 'vittnesbås', 'jojo_no_kimyoh_na_bohken', 'partnerskap', "karā-han:_jojo's_bizarre_adventure", 'jojonium', 'gummiplantage', 'woodlet'}
