ability	{'talent', 'sposobnost', 'zmožnost', 'sposobnosti', 'zmogljivost', 'nadarjenost', 'bistrost'}
smart	{'inteligenca', 'pametna', 'nesramen', 'smarting', 'moder', 'inteligenten', 'obveščevalna_služba', 'eleganten', 'brihten', 'tehnologija_smart', 'boleti', 'predrzen', 'inteligenco', 'pameten', 'svež', 'smart'}
smell	{'dišeče', 'voh', 'vonjanje', 'dišava', 'vonj', 'njih_modalnosti', 'olfaction', 'ton', 'vohanje', 'občutek', 'vonja', 'okus', 'njih_nepremičnine', 'smrad', 'opremo_vohalne_sistema', 'duh', 'neprijeten_vonj', 'aroma', 'njih_senzacija', 'vzdušje', 'vonjava'}
smiling	{'cerenje', 'nasmejan', 'režal', 'smehljaj', 'nasmeh'}
smoke	{'kaditi', 'fastball', 'kajenje', 'nicotiana', 'yin_yang_yo!', 'dim', 'gandža', 'smoke', 'filterica', 'krsta_nohtov', 'magnetooptični_kerrov_pojav', 'mary_jane', 'magnetno-optični_učinek_kerr', 'rastline_tobaka', 'tobak_rastlina', 'zelena_boginja', 'sess', 'tobak', 'marihuana', 'trava', 'cigareto', 'rod_tobak', 'sens', 'cigareta', 'magnetno-optični_kerrov_pojav', 'zvitek_tobaka', 'čik', 'dìm', 'dima', 'cigaret'}
smooth	{'tih', 'stypsis', 'nemoten', 'suho', 'minerality', 'sadje', 'telo', 'nemoteno', 'vinska_cvetica', 'gerald_albright', 'gladek', 'spokojen', 'neoviran', 'mil', 'miren', 'blag', 'gladko', 'tekoč', 'krotek', 'smooth'}
snake	{'kače', 'ah-1', 'ophidian', 'bell_ah-1_cobra', 'solid_snake', 'kača', 'vodna_kača', 'snake_jailbird', 'snake', 'snake_river', 'kača_v_travi', 'serpentes'}
snow	{'koks', 'c._p._snow', 'belkaste', 'sneženje', 'baron_snow_v_leicestru', 'charles_percy_snow', 'snežíti', 'snežne_odeje', 'koka', 'sneg', 'snow', 'slonovine', 'ffmpeg', 'nos_sladkarije', 'bisernata_barva', 'snég', 'snežiti'}
solution	{'topljencev', 'reševanje_težav', 'rešitve', 'rešitev', 'rezultat_dobljen', 'solution', 'raztopina', 'reševanje_problemov', 'vodna_raztopina', 'rezultat', 'rešitev_enačbe', 'odgovor', 'enačba_reševanje'}
some	{'približno', 'bolj_ali_manj', 'skoraj', 'ali_tako', 'kak', 'en', 'okroglo', 'okoli', 'blizu'}
soul	{'duša', 'občutenje', 'posamezniki', 'nekdo', 'kdo', 'oseba', 'človek', 'soul', 'duše', 'o_duši', 'smrtnik', 'soulfulness', 'nekdó', 'posameznik', 'aiúa', 'občutek', 'dušo', 'posameznika', 'neumrljivo_dušo'}
sound	{'globok', 'zvočni_dražljaj', 'preliv', 'širjenje_zvoka', 'praven', 'biti', 'ožina', 'dobro_premišljen', 'utemeljen', 'zvok_valov', 'proizvesti_zvok', 'zvok', 'razumen', 'soden', 'upravičen', 'govor_zvok', 'zdrav', 'zdeti_se', 'morska_ožina', 'zakonski', 'tecnocumbia', 'morski_rokav', 'zveneti', 'zvočna_senzacija', 'iti', 'morski_preliv', 'rokav', 'govora_zvok', 'telefon', 'zvočne_valove', 'dober', 'glas', 'zvokom', 'inteligenten', 'zvoka', 'zvočnovalovne', 'zakonit', 'administrativen', 'izvabiti_zvok', 'slušna_zaznava'}
spit	{'nabosti', 'pljuvati', 'bruhati', 'izkašljevanje', 'ražnju', 'jezik', 'slina', 'saliva', 'pljuvačka', 'spit', 'rotisserie', 'pljuvanje'}
split	{'razcepiti', 'razpasti', 'razklati', 'špaga', 'delež', 'homozigoti', 'del', 'zygosity', 'birds_of_prey', 'heterozigoti', 'razkol', 'split', 'zaloge_po_delih', 'neenoten', 'razdeliti', 'razideta', 'homozigotnosti', 'heterozigotnost', 'delitev_delnic', 'po_delih', 'presekati', 'shizma', 'razrezati', 'luknja', 'razcep', 'split_album', 'odcepiti', 'needin', 'počiti', 'se_ločiti', 'homozigota', 'raztrganje', 'razvezati', 'ločiti', 'preklati', 'cepiti', 'raztreščiti_se', 'razdeliti_se', 'ločiti_se', 'razdvojen', 'razpočiti_se', 'prerezati', 'hemizigotnih', 'heterozigotnosti', 'deliti', 'raziti_se'}
spoke	{'ustno_sporazumevanje', 'prečka', 'govor', 'sporočilu_govora', 'spoke', 'ustno_sporočilo', 'govorni_jezik', 'govorna_komunikacija', 'govorijo_sporočilo', 'napera', 'glasovno_komunikacijo', 'govorno_sporazumevanje', 'govorno_komunikacijo', 'človeškega_govora', 'ustna_komunikacija', 'govora', 'govoril', 'napere', 'govorne_komunikacije', 'govorili_kolo', 'jêzik', 'govorjeni_jezik', 'rundle', 'špica'}
squeeze	{'objema', 'siliti', 'suniti', 'likvidnostne_krize', 'mečkati', 'stiskati', 'kreditnega_krča', 'kreditne_krize', 'stiskanje', 'ščipati', 'povleči_skupaj', 'stisnite', 'stisniti', 'objemati', 'prisiliti', 'pritisniti', 'tlačiti', 'stlačiti', 'poriniti', 'objem', 'squeeze', 'kreditni_krč', 'ožemanje', 'potisniti', 'zmečkati', 'objeti', 'krčiti', 'izžemati', 'ožiti', 'izsiliti', 'zugzwang', 'stisk'}
stab	{'scream_2', 'zbodljaj', 'suniti', 'poskus', 'krik_2', 'poriniti', 'nož_potisk', 'rog_zabodel'}
stand	{'nositi', 'stališče', 'stojišče', 'vzeti', 'postanek', 'sladkorja_nasada', 'nasprotovati', 'zastoj', 'obdelati', 'pomagati', 'plantažo_kavčuka', 'stojalo', 'biti_nameščen', 'stojijo', 'trpeti', 'ustrašiti_se', 'orchardist', 'vidik', 'upor', 'partnerstvo', 'temelj', 'vztrajati', 'woodlet', 'podstava', 'dopustiti', 'podstavek', 'podjetje', 'biti', 'sadovnjak', 'nosi', 'plantaža', 'prebivati', 'stati', 'firma', 'prodaja_stojnica', 'podpreti', 'tolerirati', 'vzdržati', 'pustiti', 'podijum', 'zunanja_faza', 'prenesti', 'vidika', 'susan_ashton', 'prenašati', 'pretrpeti', 'stand', 'nasad', 'podpirati', 'jemati'}
star	{'mojster', 'zvezdni_poligon', 'zvezda_topologije', 'slaven', 'topologija_zvezde', 'virtuoz', 'bradač', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'napihnjenec', 'mavin', 'glavne_igralke', 'genij', 'zvezda', 'ilean_almaguer', 'tar', 'adept', 'spretni', 'filmska_zvezda', 'maven', 'žvižg', 'zvezdica', 'zaigrala', 'as', 'vodilen', 'zvezdico', 'hotel_s_petimi_zvezdicami', 'popstar', 'čarov', 'šampion', 'zvezdasta_topologija', 'zvezdni_mnogokotnik', 'znana_oseba', 'star', 'zvezdnik', 'xerox_star', 'estelle', 'zvezd', 'prvak', 'tv_osebnost', 'tar.gz', 'glavni_igralec'}
stick	{'marihuana_cigaret', 'dobiti', 'pendrek', 'zmesti', 'sinhronizacijo', 'gumijevka', 'prevarati', 'deponirati', 'zatič', 'spliff', 'vložiti', 'billy_klub', 'ascii', 'palica', 'šiba', 'igralna_palica', 'nadzor_palico', 'palico_premik', 'zbegati', 'džoint', 'biti', 'sinhronizirane', 'prilepiti', 'joystick', 'sprehajalne_palice', 'igralne_palice', 'ostati', 'standard_prenos', 'hladilnica', 'ročni_menjalnik', 'razumeti', 'palico', 'osupiti', 'billystick', 'sprehajalna_palica', 'clapstick', 'lepiti_se', 'premagati', 'ameriški_standardni_nabor_za_izmenjavo_informacij', 'gumijevko', 'krača', 'jeziti', 'držati_se'}
stone	{'skalne', 'drag_kamen', 'poldragih_kamnov', 'oliver_stone', 'kamnitim', 'kamenine', 'kamnati', 'picul', 'izidor_feinstein_stone', 'endokarp', 'kamna', 'i._f._stone', 'poldragi_kamen', 'harlan_fiske_stone', 'edward_durell_stone', 'kamenina', 'gemstone', 'robert_stone', 'pečka', 'kamen', 'lucy_stone', 'dragi_kamen', 'kamnine', 'poldragih', 'harlan_f._stone', 'harlan_fisk_stone', 'skala', 'stone', 'henry_stone', 'dragulj', 'razkoščičiti', 'dragih_kamnov', 'edward_stone_durell', 'kamnina', 'harlan_stone', 'koščica'}
straight	{'gladek', 'neposredno', 'naravnost', 'heteroseksualna_oseba', 'heterosexualism', 'ravne', 'heteroseksualnost', 'heteroseksualci', 'pokončen', 'naravnost_oseba', 'kvadraten', 'takoj', 'pravi', 'heteroatomi', 'neposreden', 'heteroseksualni'}
student	{'prvega_letnika', 'pisatelj', 'knjigotrštvo', 'knjigarnar', 'študentka', 'william_sealy_gosset', 'študenti', 'študent', 'educatee', 'učenjak', 'knjigarn', 'znanstveni_oseba', 'učenec', 'dijak'}
stupid	{'butec', 'butast', 'glúp', 'omamljen', 'butelj', 'stupe', 'kreten', 'bedast', 'neumna_oseba', 'puding_glavo', 'neumnosti', 'teleban', 'pudden_glava', 'dolt', 'raven-symone', 'neumen', 'tepec', 'slaba_ribe', 'bebec', 'tele', 'bedak', 'neumna', 'neumnost', 'omejen', 'trapast'}
successful	{'successful', 'uspešen', 'izbran'}
suck	{'sesati', 'vsesati', 'dojiti', 'vsrkati', 'sesanje', 'zanič', 'sesanju', 'črpanje', 'piti', 'negovati'}
sugar	{'sladkorja', 'prečiščenimi', 'ogljikovi_hidrati', 'ogljikov_hidrat', 'šekelov', 'gelt', 'rafiniran_sladkor', 'cvenk', 'ravni_sladkorja', 'školjke', 'plenk', 'sladkor', 'mamon', 'fičnik', 'moolah', 'sladilo', 'karbohidrati', 'batman_forever', 'sladkorjev', 'sugar', 'penki_penki', 'žvenk', 'glassheart', 'pelf', 'sladkorji', 'ficek', 'ogljikovih_hidratov', 'keš', 'penez', 'pinke_ponke', 'belič', 'krajcar', 'sladkorja_v_vinu', 'beli_sladkor', 'sladkati', 'dinero', 'simoleons', 'rafiniranega_sladkorja', 'kocki_sladkorja'}
sun	{'jupiter', 'sónce', 'cun', 'ne_znak', 'gospodov_dan', 'seon', 'the_sun', 'fiksnih_zvezd', 'sigrid_raabe', 'insolacija', 'dan_gospodov', 'sončiti', 'sun_microsystems', 'luno', 'dominicus', 'utug', 'mars', 'merkur', 'sun_television', 'fiksna_zvezda', 'nedeljo', 'ne', 'utu', 'sončnega_spektra', 'sončno_sevanje', 'sončni_žarki', 'nedelja', 'sončno_svetlobo', 'sončna_svetloba', 'sonce', 'luna', 'venera', 'sun'}
suspect	{'obtoženka', 'osumljencev', 'toženi', 'tožena', 'zatoženec', 'toženec', 'ne_zaupati', 'nezaupanje', 'nezaupljiv', 'obtožena', 'obdolženec', 'obtoženec', 'sumljiv', 'sumiti', 'robert_crais', 'tožena_stranka', 'sum', 'storilec', 'domnevati', 'čudaški', 'obtoženi', 'osumljenca'}
swell	{'kicoš', 'clotheshorse', 'po_modi', 'dandies', 'gizdalin', 'eleganten', 'povečati_se', 'sijajen', 'mrtvi_valovi', 'nenavaden', 'fop', 'prima', 'dandy', 'izbočiti_se', 'crestless_val', 'swell', 'oteči', 'nabrekne', 'nabrekniti', 'velik', 'prvovrsten'}
swim	{'kopanje', 'lebdeti', 'plavati', 'ray_of_light', 'tekmovalnim_plavanjem', 'plavanje'}
table	{'zmanjšati', 'planota', 'look-up_tabelo', 'lookup', 'resonančno_dno', 'tabeli', 'tabelarični', 'soundboard', 'odložiti', 'razpredelnica', 'miza', 'preložiti', 'html_element', 'zavlačevati', 'tabelarični_niz', 'odlašati', 'odgoditi', 'iskanje', 'tabela', 'mizo', 'iframe', 'mesas', 'mesa', 'planote', 'razvidnica', 'hrana', 'oznaka_html'}
tail	{'bazalni', 'dorsolateral', 'zasledovalec', 'po_delu', 'tailender', 'glutealno_regiji', 'trebušne', 'preganjati', 'zadnjica', 'igralna_da', 'prat', 'keister', 'rep', 'aboral', 'pih', 'shadower', 'sedalo', 'krma', 'tooshie', 'goniti', 'repna', 'ske', 'zasledovati', 'posteriorno', 'empennage', 'zadnji_del', 'krmi', 'caudally', 'tail', 'hind_konec', 'guza', 'odpiranje_batsman', 'rit', 'apical', 'zadnja_plat', 'rita', 'plantarna', 'ventrolateral', 'midclavicular_linijo', 'empenaža', 'rep_montažo', 'loviti', 'žemljice', 'ipsilateralni', 'zadaj', 'cifra', 'pogoji_za_anatomske_lokacije', 'repa_ender', 'poditi', 'rep_koncu', 'dorsoventral', 'transom', 'derriere'}
taste	{'pokušina_vin', 'okušanje', 'ojačevalec_okusa', 'poskusiti', 'preizkusiti', 'okus_senzacija', 'okusa', 'kratka_izkušnja', 'preferenca', 'draž', 'okusna_modalnosti', 'okusna_zaznavanje', 'zalogaj', 'okus_dojemanje', 'arome', 'degustacija', 'degustacijski', 'nagnjenj', 'umetne_arome', 'taste', 'okus', 'naravne_arome', 'nowhere', 'slepi_degustaciji', 'aroma', 'okusna', 'okusna_senzacija', 'osnovni_okus', 'grižljaj'}
team	{'glasbena_skupina', 'rock_skupin', 'rock_bend', 'skupina', 'solo_projekt', 'rock_skupina', 'tim', 'vokalno-instrumentalna_zasedba', 'moštveni_športi', 'solo_umetnik', 'band', 'moštvo', 'instrumentalni_ansambel', 'pop_rock_skupine', 'bend', 'pop_rock_skupina', 'pop_skupina', 'kolektiv', 'ekipa', 'moštveni_šport', 'skupinski_šport', 'ekipni_šport', 'team', 'ansambel'}
texture	{'teksturo', 'struktura', 'mouthfeel', 'tekstura', 'granulacija', 'makrostrukture', 'občutek_v_ustih', 'preslikava_tekstur'}
that	{'thaat', 'tako', 'that'}
there	{'tjá', 'obstaja', 'tam', 'tja'}
they	{'xe', 'they', 'atomsko_število_54', 'ksenon', 'xenon'}
thick	{'globok', 'tršat', 'debel', 'debela', 'neumen', 'sredina', 'góst', 'čokat', 'sredi', 'med', 'prijateljski'}
thin	{'tanek', 'tanko', 'znižati', 'razredčiti', 'droben', 'tanjšati_se', 'majhen', 'shujšati', 'fin', 'rahel', 'tanke', 'maloštevilen', 'razredčiti_se', 'zmanjšati_se', 'zmanjšati'}
think	{'razmišljanja', 'misel', 'meniti', 'zbrati_se', 'mísliti', 'priklicati_si_v_spomin', 'imeti_za', 'nameravati', 'premišljati', 'spomniti_se', 'razglabljati', 'koncentrirati_se', 'osredotočiti_se', 'preudarjanje', 'razmisliti', 'hoteti', 'imeti', 'razmišljati', 'spominjati_se', 'domnevati', 'premišljevanje', 'pomeniti', 'poimanje', 'biti', 'misli', 'smatrati', 'premišljati_se', 'kaniti', 'mislim', 'nameniti', 'biti_mnenja', 'misliti', 'pomisliti', 'da', 'razglabljanje', 'pomniti', 'zanositi', 'premišljevati', 'miselni_proces', 'biti_prepričan', 'zamisliti', 'janja', 'razmišljanje', 'cerebration', 'spominjati', 'think', 'biti_mišljenja', 'mozganje'}
this	{'ta', 'thinis', 'this'}
three	{'bob_sinclar', 'eneagram', 'ternion', 'tercet', 'trojka', '3', 'santana', 'prong', 'achiever', 'uspešnež', 'three', 'succeeder', 'terzetto', 'deuce-ace', 'santana_iii', 'trivrstični', 'iii', 'seventeen_seconds', 'trikotnik', 'christophe_le_friant', 'trojstvo', 'mt._egypt', 'ternarna', 'trojica', 'tri'}
throw	{'odda', 'zrušiti_se', 'dajati', 'dati', 'medenina_instrument', 'trobilo', 'zalučati', 'oblikovati', 'cam_kap', 'zmesti', 'vrgel', 'ogoliti_se', 'zmešati', 'z_goljufivim', 'met', 'imeti', 'prekiniti', 'zabrisati', 'presenetiti', 'vsebovati', 'odreči_se', 'zbegati', 'biti', 'vreči', 'stiskanja_kap', 'medenine', 'prelivati', 'prestaviti', 'podaja', 'zamenjati', 'sprostiti_se', 'odvreči', 'hod_bata', 'otresti_se', 'načrtovati', 'metati', 'trobila', 'pasti', 'dal', 'posvečati_se', 'zagnati', 'znebiti_se'}
tie	{'linkup', 'vez', 'ligatura', 'povezati', 'člen', 'tie-', 'združiti', 'tie_žarek', 'kravate', 'združenje', 'vratu_kravato', 'prag', 'zbližati_se', 'seznaniti', 'poročiti', 'ovratnica', 'vezati', 'priključiti', 'crosstie', 'zveza', 'kravato', 'kravata', 'navezati_se', 'železnica_kravata', 'tir_na_ploščah', 'oženiti', 'navezati', 'samoveznica', 'zvezati', 'biti'}
time	{'time', 'tiktakanje', 'in_my_own_words', 'čas_podpis', '4/4', 'pacific_ocean_blue', 'časovne_podpise', 'anastacia', 'glagolski_čas', 'pravi_čas', 'zgodnjem_vesolju', 'ura', 'času_valček', 'zaporedja_dogodkov', 'zapora', 'pesniška_mera', 'hypnotica', 'napeto', 'trenutek', 'časov', 'zaporna_kazen', 'zaporna_doba', 'času_mešanicah', 'duple', 'časovnem_intervalu', 'polymeter', 'ure_ciklov', 'slovničnih_časov', "scatman's_world", 'četrta_dimenzija', '6/8_čas', '4/4_časa', 'pravi_trenutek', 'čàs', 'kraju_časa', 'meter', 'časa', 'krat', 'metrum', 'času', 'čas', 'glasbeni_čas_podpis', 'y_not', 'časovni_okvir', 'obdobje', '12/8', 'sistemski_čas', 'slovnični_čas', 'time,_norveška', 'taktu', '2/4_časa', 'ura_čas', 'smartstop'}
tongue	{'kembelj', 'glossolalia', 'jezikih', 'lingua', 'tongue', 'jezik', 'govor', 'naravnega_jezika', 'glossa', 'naravnih_jezikov', 'goveji_jezik', 'naravni_jezik', 'lengua', 'človeški_jezik', 'zubelj', 'mnek', 'jezika', 'govorjenje_v_različnih_jezikih'}
tool	{'orodje', 'inštrument', 'orodij_za_razvoj_programske_opreme', 'programsko_orodje', 'marioneta', 'razvoj_programske_opreme_orodje', 'sredstvo', 'lutka', 'instrument', 'orodja', 'programskih_orodij', 'razvojno_orodje', 'kurec', 'kurac', 'voziti_se', 'tič', 'orodja_za_razvoj_programske_opreme', 'tool', 'penis'}
tooth	{'zobje', 'kočnik', 'premolar', 'ličnik', 'molar', 'zobovje', 'zob', 'podočnik'}
toy	{'toyline', 'igrača', 'igrače_pes', 'toy', 'igralna', 'igrati_se', 'igrati', 'igrače', 'chatoyant', 'chatoyancy', 'igračkati_se', 'poigravati_se', 'yello', 'miniatura'}
tree	{'listno_vozlišče', 'matično_vozlišču', 'drevesa', 'drevo', 'sadike', 'otrok_vozlišča', 'gozd', 'sir_herbert_beerbohm_tree', 'čaščenja_dreves', 'dreves', 'drevo_podatkovna_struktura', 'nadrejeno_vozlišče', 'herbert_beerbohm_tree', 'charlotte_brontë', 'poddrevo', 'tree', 'charlotte_bronte', 'sveto_drevo', 'notranje_vozlišče', 'korensko_vozlišče', 'drevesni_diagram'}
trial	{'eksperiment', 'ternion', 'ednina', 'tercet', '3', 'trojka', 'ujemanje_v_številu', 'tožb', 'civilno_tožbo', 'pred_sojenjem', 'terzetto', 'poskusno_obratovanje', 'poskus', 'nadloga', 'pravni_spor', 'deuce-ace', 'preizkus', 'tožba', 'trivrstični', 'strank', 'iii', 'testiranje', 'trikotnik', 'trojstvo', 'ternarna', 'preizkušnja', 'trojica', 'sodni_proces', 'številka_sporazum', 'vzročnosti', 'število', 'sojenje', 'slovnično_število', 'sodi', 'stiske', 'paucal', 'proces', 'sodba', 'križ', 'causa', 'zadeva', 'vzrok', 'primer', 'predtekmovanje', 'tožil', 'sodna_obravnava', 'tri', 'preskus', 'tožbo'}
tried	{'sojenje', 'sodna_obravnava', 'sodi', 'sodni_proces', 'preizkušen'}
turn	{'okrogel_zavoj', 'nepotreben_okras', 'ornament', 'oblikovni_elementi', 'zasuk', 'okljuk', 'vrsta', 'dober_vrsti', 'kot_krog', 'biti_neodločen', 'nastop', 'način_igranja', 'povrniti_prejšnje_stanje_', 'ukras', 'stružiti_se', 'točka', 'obračanje', 'spremeniti_se', 'napad', 'višati_se', 'obrat', 'pregib', 'poteza', 'dekoracija', 'obračati_se', 'biti_čemern', 'volta', 'delovati', 'prevračati_se', 'ozaljšek', 'okrasek', 'biti', 'zateči_se', 'posrečiti_se', 'obrnite_dogodkov', 'zavoj', 'appoggiatura', 'mrščiti_se', 'preobrat', 'rasti', 'spremeniti', 'acciaccatura', 'igra_mehanik', 'okras', 'delati', 'ovinek', 'krasilo', 'vijuga', 'grace_note', 'obrniti_se', 'okrasje', 'raste', 'izpahniti', 'vrtljivi', 'obrniti', 'večati_se', 'izviniti', 'postati', 'perigon', 'izmena'}
two	{'eneagram', 'two', 'achiever', 'uspešnež', 'jim_cartwright', 'succeeder', 'ii', '2', 'dvojka', 'dve', 'dva'}
typical	{'značilen', 'tipičen', 'razločevalen'}
unaware	{'neuk', 'vedela'}
usable	{'delujoč', 'uporabljiv', 'na_voljo', 'razpoložljiv', 'uporabniku_prijazen', 'operativen', 'prijazen_do_uporabnika', 'funkcionalen', 'dostopen', 'enostavnost_uporabe', 'uporabnost'}
useless	{'nesmotrn', 'neporaben', 'nekoristen', 'brezuspešen', 'jalov', 'brezploden', 'neraben', 'neuporabljiv', 'useless', 'brezkoristen', 'brezsmotrn'}
vacation	{'praznik', 'dopust', 'prost_dan', 'počitnice'}
vomit	{'bruhanje', 'bljuvanje', 'izpraznitev', 'bruhati', 'kozlati', 'bruha', 'izbljuvati', 'nauseant', 'izbljuvka', 'vomitiv', 'emesis', 'vomitive', 'disgorgement', 'emeza', 'povračanje', 'bljuvalo', 'kozlanje', 'barf', 'povračati', 'bljuvati', 'regurgitacijo', 'puking'}
walk	{'sprehajanje', 'sprehoditi', 'iti_peš', 'način_hoje', 'hoja', 'slovar_izrazov_teorije_grafov', 'osnova_za_jajca', 'hoditi', 'poklic', 'graf', 'vozlišče_grafa', 'pešačenje', 'pešačiti', 'iti', 'walk', 'pešpoti', 'pešpot', 'paseo', 'steza', 'preprost_graf', 'povezava', 'hoditi_življenja', 'oditi', 'sprehod', 'ambulation'}
war	{'vojn', 'zmaga_nad_zamenjavo', 'ares', 'waray-waray_jeziku', 'vojno_stanje', 'vojskovanje', 'oboroženih_spopadih', 'boj', 'vojna', 'bojevanje', 'vojaški_spopad', 'war', 'all_or_nothing', 'the_war', 'vojne'}
warm	{'topel', 'hiter', 'nežen', 'ogreti', 'ljubkovalen', 'ljubeč', 'prisrčen', 'toplo', 'vroč', 'svež', 'blizek', 'ljubezniv'}
wash	{'umazano_perilo', 'washables', 'lost_dogs', 'suho_pranje', 'zavetrju', 'unearthed', 'slipstream', 'perilo', 'umivanje', 'izpiranje', 'izprati', 'ovlažiti', 'perica', 'biti_pralen', 'miti', 'navlažiti', 'arroyo', 'splakniti', 'kitajski_perila', 'buried', 'biti_prepričljiv', 'vlážiti', 'the_wash', 'prati', 'pranje', 'lavation', 'namočiti', 'scan', 'vlažiti', 'pranje_risanje', 'sprati'}
water	{'phencyclidine_klorid', 'lastnosti_vode', 'vode', 'vogel', 'vodna_para', 'dihidrogen_monoksid', 'properties_of_water', 'vodna_površina', 'industrijske_vode', 'tekoče_vode', 'ograje_padec', 'celinske_vode', 'para', 'napajati', 'scanje', 'vodovodov', 'napojiti', 'led', 'vodovodno_omrežje', 'namakati', 'vodovodni_sistem', 'vodovod', 'blood_red_shoes', 'weewee', 'h2o', 'voda', 'zaliti', 'piddle', 'oskrba_z_vodo', 'zalivati', 'sistem_oskrbe_z_vodo', 'vodni_vir', 'spusti_ograjo', 'urin', 'pojiti', 'seč', 'quoin', 'ledu', 'vodni_led', 'angel_prahu', 'zmočiti_se', 'ledeno_trgatev', 'vodnih_virov', 'h₂o', 'vogal', 'vodno_telo', 'séč', 'scalina', 'vodne_pare', 'ovlažiti_se', 'vodni_viri', 'molekule_vode', 'water', 'phencyclidine', 'vôda', 'quoins', 'vodnih_teles'}
we	{'shinhwa', 'polycephaly', 'wé', 'we_tv'}
weak	{'nemočen', 'moker', 'lahek', 'šíbek', 'slaboten', 'slabotnost', 'izčrpan', 'izpran', 'bolan', 'šibek', 'the_sea', 'ostarel', 'mišična_oslabelost', 'bolehen', 'mlahav', 'redek', 'nenaglašen', 'betežen', 'slàb', 'voden'}
wear	{'ženskih_oblačil', 'nositi', 'dajo_na', 'zdelati', 'utrujati', 'obleka', 'člen_oblačil', 'oblačilno_industrijo', 'sylvanus_wear', 'ločiti_se', 'habiliment', 'izčrpati', 'nosljivi', 'razpočiti_se', 'izžeti', 'imeti', 'wear', 'zlomiti', 'vleči_se', 'utruditi', 'ožeti', 'kroženje', 'oblačiti', 'oblačila', 'odevalo', 'obleko', 'izmučiti', 'obleči', 'obleke', 'odpornost_proti_obrabi', 'oblačilo', 'razbiti', 'razbiti_se', 'držati_se', 'biti', 'nadeti_si'}
weather	{'vremensko_napoved', 'atmosferski_pogoji', 'vremenske_razmere', 'vremenska_napoved', 'vreme'}
wet	{'vlaga', 'moker', 'phencyclidine_klorid', 'namočen', 'vlažnost', 'vlažen', 'razmočen', 'vinjen', 'razbit', 'nasekan', 'utrujen', 'angel_prahu', 'vlage', 'wet', 'vlago', 'okajen', 'phencyclidine', 'mokra', 'pijan', 'vlága'}
what	{'kakó', 'kákšen'}
when	{'diamonds_for_breakfast'}
where	{'odkód_qualifier', 'kám_qualifier', 'kje', 'kjé_qualifier', 'kam'}
white	{'magic_the_gathering', 'elwyn_brooks_bela', 'belkaste', 'jajčni_beljak', 'pobeliti', 'belci', 'kavkazijska_rasa', 'bela_dirka', 'barva_polti', 'čist', 'andrew_d._white', 'beljak', 'bela_oseba', 'beljakovina', 'andrew_dickson_bela', 'bel', 'slonovine', 'theodore_harold_bela', 'azijska', 'edward_white', 'mtg', 'white_river', 'snežen', 'osiveti', 'hispanic', 'planeswalker', 'white', 'belina', 'caucasoid', 'andrew_dickson_white', 'brezbarven', 'caucasoids', 'patrick_white', 'ubeliti', 'beliti', 'latino', 'steven_pelé', 'pieris', 'obeliti', 'bela_rasa', 'edward_d._white', 'barve_kože', 'e._b._bela', 'pobeliti_se', 'stanford_bela', 'magic', 'tonus_kože', 'edward_douglas_bela_jr', 't._h._white', 'pigmentacije_kože', 'barva_kože', 'bela', 'ovalbumin', 'e._b._white', 'patrick_victor_martindale_bela', 'bela_(kavkazijska)_rasa', 'belcev', 'beljakovine', 'white_airways', 'theodore_h._white', 'caucasoid_dirka', 'drugih_ras', 'bisernata_barva', 'blackface', 'magic:_the_gathering'}
who	{'kdo', 'svetovne_zdravstvene_organizacije', 'world_health_organization', 'zayn_malik', 'svetovna_zdravstvena_organizacija', 'the_who', 'szo', 'who', 'jim_neidhart'}
wide	{'poln', 'obsežen', 'popoln', 'prostoren', 'prostran', 'široka', 'širen', 'velik', 'širok'}
wife	{'soproga', 'družica', 'žena', 'poročena_ženska'}
willingly	{'rad', 'z_veseljem', 'rade_volje'}
wind	{'zaupna_informacija', 'sunek_vetra', 'sunki_vetra', 'dvigniti', 'prdi', 'mirujoči_besede', 'zasuk', 'vijugati_se', 'vetrovi', 'prdec', 'zračni_tok', 'veter', 'elektromagnetno_tuljavo', 'wind', 'flatus', 'obrat', 'pihalo', 'dvigati', 'omotavati_se', 'navijanje', 'veter_instrument', 'obračati_se', 'veter_podprto', 'prazne_marnje', 'malarkey', 'možni_kupec', 'zavijati', 'fart', 'zrak', 'vohati', 'morebitni_donator_ali_prostovoljec', 'marnje', 'tok_zraka', 'pihala', 'akeboshi', 'malarky', 'wind_instrument', 'viti_se', 'zavohati', 'naviti', 'brezvetrje', 'namig', 'spačiti_se', 'dih', 'skremžiti_se', 'vijugati', 'oviti_se', 'zaupnih_informacij', 'možna_stranka'}
wing	{'krilo', 'flyhalf', 'backstage', 'odra', 'ptičji_let', 'levi_spremljevalni', 'spremljevalni', 'prop_tighthead', 'izven_centra', 'gone_again', 'spremljevalni_manever', 'perutnička', 'blatnik', 'spojler', 'krilu', 'leteti', 'annexe', 'notranjost_centra', 'jadralna_letala', 'bok', 'center', 'tighthead_prop', 'zaodrje', 'lutka_pol', 'kolesa_ter_voznika', 'žuželčje_krilo', 'swingman', 'perut', 'policist_naprej', 'igralec_sredine', 'hindwing', 'priloga', 'prizidek', 'dozidek', 'wing'}
wipe	{'obrišite', 'obrisati', 'otreti'}
with	set()
