ability	{'zdolność', 'uzdolnienie'}
sand	{'piach', 'sand_am_main', 'piasku', 'aurore_dudevant', 'schoenenberg-kuebelberg', 'schönenberg-kübelberg', 'sand_a.main', 'wnętrzności', 'piasek_kwarcowy', 'amandine_aurore_lucie_dupin', 'george_sand', 'piasek', 'sha_wujing', 'sand', 'baroness_dudevant', 'sha_heshang', 'moxie'}
say	{'thomas_say', 'jean-baptiste_say', 'powiedzieć', 'stwierdzić', 'powiadać', 'in_blue', 'say', 'osakis', 'wymawiać_rzec', 'mówić', 'wymówić', 'wymawiać', 'jean_baptiste_say', 'port_lotniczy_siena-ampugnano', 'przypuszczam'}
science	{'dyscyplina_naukowa', 'dyscypliny_naukowej', 'discovery_sci-trek', 'umiejętności', 'science', 'nauki', 'discovery_science', 'science_channel', 'nauka', 'głównego_nurtu_nauki'}
scratch	{'scratch', 'peter_gabriel', 'kieszeń', 'ścieranie', 'handicap_golf', 'forsa', 'bogactwo', 'choroba_skórna', 'pęcherzyka', 'odwołać', 'zmian_skórnych', 'dinero', 'start', 'zgrzyt', 'naskórka', 'dermatoz', 'małże', 'stwardnienie', 'linia_scratch', 'adventures_of_sonic_the_hedgehog', 'kulfon', 'wgniecenie', 'cacography', 'skrobać', 'lichenifikacji', 'handicap', 'simoleons', 'zgrzytanie', 'stan_skóry', 'gelt', 'grudkowymi', 'moolah', 'szekli', 'draśnięcie', 'golf_handicap', 'drapanie', 'otarcie_naskórka', 'kentucky_wildcats', 'zadraśnięcie', 'starting_line', 'otarcie', 'krosty'}
sea	{'love_yourself:_her', 'wszechocean', 'księżycowego_maria', 'księżycowy_maria', 'sea', 'morze_księżycowe', 'oceany', 'środowisko_morskie', 'oceanosfera', 'morze', 'ocean_światowy', 'morza_księżycowe', 'air', 'typy_mórz', 'ocean'}
seafood	{'owoców_morza', 'frutti_di_mare', 'owoce_morza', 'mniam!'}
see	{'dostrzegać', 'percepcja_wzrokowa', 'odwiedzić', 'zajmować_się', 'zmysł_wzroku', 'natknąć_się_na', 'zobaczyć', 'skopolamina', 'zrozumieć', 'percepcji_wzrokowej', 'hioscyna', 'rozumieć', 'odwiedzać', 'stolicy_arcybiskupiej', 'widzenie', 'wzrok', 'oglądać', 'spotkać', 'patrzenie', 'tycho', 'patrzeniem', 'widzieć', 'ujrzeć', 'odkryć', 'dowiedzieć_się', 'natrafić', 'zobaczyć_miasto', 'see', 'usłyszeć'}
seed	{'pojedynczej_eliminacji', 'cum', 'półfinał', 'sperma', 'santi', 'wytrysku', 'półfinale', 'półfinalistą', 'rozstawiony_gracz', 'półfinalista', 'jednej_eliminacji', 'nasiona', 'nasion', 'system_pucharowy', 'ejakulat', 'początek', 'sublime', 'zalążek', 'źródłem', 'final_fantasy_viii', 'przyjść', 'ćwierćfinału', 'nasiono', 'ćwierćfinale', 'półfinału', 'nasienia', 'jednym_turnieju_eliminacyjnym', 'bank_spermy', 'seed', 'nasienie', 'nasionko', 'półfinałach', 'inicjator', 'płyn_nasienny', 'wykrzykiwać'}
sell	{'sprzedawać', 'lista_pojęć_związanych_z_wrestlingiem', 'handel', 'sell', 'wydać', 'handlu_morskiego', 'sprzedać', 'zdradzić', 'handlu', 'handelek'}
sew	{'stitchery', 'szycia', 'szyć', 'szycie'}
sexy	{'zmysłowy', 'sexy', 'seksowny', 'elephunk'}
shape	{'fizjologii_człowieka', 'prymitywne', 'ciała', 'forma', 'ciało_ludzkie', 'mourvèdre', 'prymityw', 'wygląd', 'kształt', 'shape', 'formy_muzycznej', 'soma', 'ciało_człowieka', 'materialne_ciało', 'ciało_fizyczne', 'anatomii_człowieka', 'formacji_wm', 'figura', 'określić', 'formować', 'fizjologia_człowieka', 'kształtować', 'forma_muzyczna', 'naczelnego_dowódcy_w_europie', '4-3-3', 'ludzkie_ciało', 'sylwetka', 'wzorzec_projektowy', 'wzór', 'bod', 'postać', 'pigmentacji_skóry', 'definicja', 'supreme_headquarters_allied_powers_europe', 'wzorzec', 'modelować', 'kondycja'}
sharp	{'urwisty', 'przenikliwy', 'sharp', 'ostry', 'podwójny_krzyżyk', 'skinheads_against_racial_prejudice', '♯', 'jazgotliwy', 'krzyżyk', 'adaven', 'sharp_corporation', 'iglasty'}
ship	{'statku', 'jednokadłubowiec', 'statków', 'wysłać', 'statek_wodny', 'statek', 'okręt'}
short	{'zwarcie_elektryczne', 'pozycji_krótkiej', 'zwarcia', 'konusowaty', 'shortstop', 'skruszały', 'gwałtownie', 'krótkometrażowy', 'krótkiej_sprzedaży', 'short', 'shortstops', 'filmów_krótkometrażowych', 'niedługi', 'krótki_metraż', 'krótkotrwały', 'krótka_sprzedaż', 'wstrzymywacz', 'nikczemnego_wzrostu', 'kurduplowaty', 'krótki', 'zwarcie', 'krótki_film', 'nagle', 'dwóch_reeler', 'krótkowzroczny', 'krótką_pozycję', 'krótkometrażówka', 'film_krótkometrażowy', 'animowanych_filmów_krótkometrażowych'}
show	{'festynach', 'gra_hazardowa', 'świadczyć', 'wykazać', 'pokazywać', 'koncert', 'pokazu', 'gry_hazardowe', 'patologiczny_hazard', 'county_fair', 'hazard', 'pokaz', 'przestawiać', 'zaświadczać', 'udowadniać', 'wyrazić', 'pokazać', 'show', 'udowodnić', 'odmalować', 'dowodzić', 'popis', 'zakłady', 'zeznawać', 'ustalić'}
sign	{'oznaka', 'sygnalizacja_telekomunikacyjna', 'podpisać', 'semiologii', 'auspicia', 'pismo_ideograficzne', 'elektroujemności', 'elektroujemność', 'znak_zodiaku', 'skala_paulinga', 'podpisane', 'wróżba', 'signage', 'omen', 'semiotyka', 'obraz_kliniczny', 'auspicjum', 'elektroujemny', 'symbol_matematyczny', 'grafem', 'znak', 'przepowiednia', 'brown_eyed_girls', 'auspicja', 'znak_językowy', 'zwiastun', 'nieujemne', 'symbol_graficzny', 'mig', 'sygnalizacja', 'cecha', 'semiotycznej', 'out-of-band_sygnalizacji', 'szyld', 'skala_mullikena', 'przeczucie', 'elektrododatnich', 'grafemy', 'semiologia', 'semiotyki', 'sygnał', 'auspicjami', 'planetarny_dom', 'domu', 'preindication', 'znak_matematyczny', 'wróżbą', 'skala_allreda', 'elektronegatywność'}
silly	{'silly', 'austriackie_gadanie', 'banialuka', 'głuptasek', 'głupota', 'bezsens', 'tępy', 'głupi', 'niemądry', 'bezsensowne', 'głupstwo', 'nierozumny', 'bezrozumny', 'brednia', 'androny', 'tępogłowy', 'nonsens', 'głupi_durny_tępy_tępogłowy_zakuty_durnowaty', 'hokum', 'głuptaś', 'nieinteligentny', 'bzdura', 'nonsensicality', 'głuptas'}
sin	{'język_syngaleski', 'sinhala', 'grzeszne', 'grzech', 'port_lotniczy_singapur-changi', 'lotnisko_changi', 'grzech_uczynkowy', 'języku_sinhala', 'grzechu', 'suen', 'singapore_changi_airport', 'występek', 'grzechy', 'nanna', 'grzeszność', 'sin', 'funkcji_sinus', 'przewina', 'port_lotniczy_changi', 'grzesznik', 'syngalezka', 'grzeszyć', 'syngalez', 'syngaleski_język', 'sinus', 'zgrzeszyć', 'shin'}
sing	{'wokal', 'wokalistów', 'wokalistka', 'piosenkarka_pop', 'vocalizing', 'piosenkarz', 'śpiewak', 'wokalista', 'czyste_wokale', 'leisure', 'śpiew_solowy', 'sing', 'kobiece_wokale', 'śpiewaczka', 'śpiewać', 'zaśpiewać', 'śpiew', 'śpiewaków'}
sit	{'siedzącej', 'siedzenie', 'posiedzenie', 'jeździć', 'usiąść', 'pojechać', 'jechać', 'przesiedzenie', 'siedzieć'}
skin	{'almost_human', 'deborah_dyer', 'obwód_drukowany', 'psychicznego_domu', 'karta', 'r._kelly', 'nakrywka', 'płytka_obwodu_drukowanego', 'skórki', 'dodatek', 'odkorowanie', 'day_for_night', 'płytka', 'łusek', 'skin', 'ray_of_light', 'komórek_skóry', 'plugin', 'australijskich_aborygenów_pokrewieństwa', 'psychiatrycznym', 'kompozycja', 'budowa_skóry', 'plug-in', 'robert_sylvester_kelly', 'the_world_of_skin', 'wtyczka', 'blender', 'skórka', 'wariatów', 'skóry', 'cutis', 'okorowanie', 'szpital_psychiatryczny', 'skóra', 'add-on', 'dom_wariatów', 'deborah_anne_dyer', 'dom_obłąkanych', 'skinnable', 'płytka_drukowana', 'wariatkowo', 'karta_układ'}
sky	{'sky_digital', 'ceruleum', 'bskyb', 'atmosfera_ziemi', 'heterosphere', 'cerulean', 'kolor_błękitny', 'thatgamecompany', 'firmament', 'winx', 'barwa_błękitna', 'błękit', 'lazuline', 'modry', 'niebo', 'atmosfera_ziemska', 'team_sky', 'british_sky_broadcasting', 'lazur', 'winx_club', 'sky', 'powietrza', 'atmosfery_ziemi', 'stacey_king', 'sky_airlines', 'błękitny', 'szafirowy', 'klub_winx', 'klub_winx_2', 'powietrze', 'sky_deutschland', 'sky_procycling', 'credo', 'premiere'}
sleep	{'śpi', 'the_black_parade', 'wieczny_sen', 'hibernacja', 'wieczny_odpoczynek', 'półśpiączka', 'tryb_uśpienia', 'sopor', 'uśpienie', 'sen', 'trybie_czuwania', 'stan_półśpiączki', 'fazy_snu', 'spoczynek', 'spać', 'pokwitowanie', 'uśpienie_hybrydowe', 'stan_wstrzymania', 'snu', 'sleep', 'hibernacji'}
small	{'small', 'mały', 'skromny', 'john_kunkel_small', 'nieduży', 'niedorosły', 'nieliczny', 'niewielki'}
smart	{'bezczelny', 'pojętny', 'zuchwały', 'mądry', 'pieczenie', 'inteligencji', 'elegancki', 'lotny', 'lista_pojęć_związanych_z_wrestlingiem', 'inteligencja', 'technologia_smart', 's.m.a.r.t.', 'inteligentny', 'smart'}
smell	{'aromat', 'węchowe_nieruchomości', 'bezwonny', 'węchu', 'węch', 'europejska_jednostka_zapachu', 'przeczuwać', 'receptor_węchowy', 'nieprzyjemny_zapach', 'odory', 'wąchanie', 'węchowe_modalność', 'zapach', 'pachnący', 'zapachu', 'percepcja_węchowa', 'powonienie', 'klasyfikacja_henninga', 'woń', 'węchowe_sensacja', 'węchowe'}
smiling	{'uśmiechając', 'uśmiech', 'uśmiechnięte', 'szeroki_uśmiech'}
smoke	{'pet', 'wędzone', 'tytoniu', 'rośliny_tytoniu', 'wyziewy', 'mary_jane', 'niedopałek', 'ziele', 'sesja', 'palenie_tytoniu', 'trawka', 'autodesk_media_and_entertainment', 'używania_tytoniu', 'dymić', 'miazmaty', 'marihuana', 'fastball', 'green_goddess', 'kopcić', 'palenie_papierosów', 'nicotiana', 'zioło', 'cigaret', 'trawa', 'dymu', 'tytoń_zrolowany', 'smoke', 'ridley_tsui_po_wah', 'nail_trumna', 'papieros', 'tytoń', 'yin_yang_yo!', 'marycha', 'opar', 'sens', 'papierosów', 'roślin_tytoniu', 'opary', 'papierosa', 'fajka', 'dym', 'palenie', 'magneto-optyczny_efekt_kerra', 'palić', 'gandzia', 'papierosy'}
smooth	{'bukiet', 'owoców', 'liczba_gładka', 'mineralności', 'legato', 'wygładzić', 'płynny', 'tamowanie_krwi', 'głaźny', 'gładki', 'miękki', 'ciała', 'smooth', 'polerować', 'gerald_albright', 'wygładzać'}
snake	{'gwiazdozbiór_hydry', 'węże', 'snake_jailbird', 'snake', 'ophidia', 'bazyliszek', 'kod_graya', 'bell_ah-1_cobra', 'serpentes', 'hya', 'węża', 'kod_refleksyjny', 'solid_snake', 'wąż', 'snake_river', 'ah-1_cobra', 'ophidian', 'wąż_w_trawie', 'ah-1'}
snow	{'ffmpeg', 'c.p._snow', 'snow', 'padać', 'koka', 'baron_śnieg_w_leicester', 'opad_śniegu', 'c._p._snow', 'śnieg', 'biały_proszek', 'śnieżek', 'arthur_owens', 'charles_percy_śniegu', 'biały_puch', 'koks', 'perłowość', 'kości_słoniowej', 'białawy', 'sypać', 'prószyć', 'wojownicy', 'c._p._śnieg', 'śniegu', 'płatek_śniegu', 'cukierek_nos'}
solution	{'rozwiązywanie_równań', 'wynik', 'mieszanina_jednorodna', 'odpowiedź', 'roztworu', 'solution', 'rozwiązywania_problemów', 'mieszaniny_jednorodne', 'rozwiązanie', 'roztwór'}
some	{'jako_tako', 'mniej_więcej', 'około', 'z_grubsza', 'mniej_lub_bardziej'}
soul	{'aiúa', 'śmiertelnik', 'śmiertelniczka', 'duchowość', 'osoba', 'wela', 'śmiertelny', 'serce', 'indywiduum', 'osoba_fizyczna', 'psychika', 'psyche', 'istota_rozumna', 'persona', 'nieśmiertelnej_duszy', 'uduchowienie', 'dusza', 'duszy', 'człowiek', 'przedmiot_jednostkowy', 'jednostka', 'ktoś', 'nerwy', 'soul', 'istota_ludzka', 'dusze', 'wele', 'duch'}
sound	{'dźwięk', 'odgłos', 'fale_dźwiękowe', 'dźwięk_mowy', 'barwa', 'słuchowe_wrażenie', 'dźwięki_słyszalne', 'głoski', 'głoska', 'cieśnina', 'fale_sprężyste', 'fala_dźwiękowa', 'dźwięku', 'moralny', 'fali_dźwiękowej', 'rozchodzenie_się_dźwięku', 'sensowny', 'fali_akustycznej', 'fala_akustyczna', 'fonia', 'telefon', 'fale_akustyczne', 'tecnocumbia', 'zasadny', 'ton', 'uzasadniony', 'głos', 'brzmienie'}
spit	{'odkrztuszanie', 'plwocina', 'spluwanie', 'rożnie', 'spit', 'mierzeja', 'ślina', 'plunąć', 'śliny', 'wybrzeże_mierzejowe', 'splunąć', 'przesyp', 'ślinka', 'pluć', 'plucie'}
split	{'odłączyć', 'pękać', 'hemizygotyczne', 'podzielić', 'zygotyczności', 'split', 'homozygot', 'rozbić', 'homozygotyczne', 'heterozygotyczność', 'heterozygota', 'birds_of_prey', 'rozszczepiać', 'split_album', 'heterozygotyczności', 'heterozygotą', 'rozejść_się', 'dzielić', 'heterozygot', 'heterozygotycznych', 'przedarcie', 'szpagat', 'spalato', 'homozygota', 'spalatum', 'homozygotyczność', 'split_akcji', 'podzielone', 'ptaki_nocy', 'podziału_akcji', 'homozygotyczności', 'homozygoty', 'rozsadzać', 'pęknąć', 'podział', 'rozdarcie'}
spoke	{'mowy_ludzkiej', 'komunikacja_ustna', 'mówiony_komunikacja', 'spoke', 'język_mówiony', 'szprycha', 'mowa', 'komunikacji_mowy', 'komunikacji_ustnej', 'językiem', 'koło_mówił', 'komunikacja_werbalna', 'mowy', 'ludzkiej_mowy', 'szprycha_rowerowa', 'gałka', 'mówił', 'mówienie', 'szczebel', 'język', 'komunikacji_głosowej', 'komunikacja_głosowa', 'szprychy'}
squeeze	{'uścisk', 'przytulić', 'uszczypnąć', 'kruszyć', 'miażdżyć', 'kryzysu_kredytowego', 'uciskanie', 'ściskając', 'objęcie', 'przytulenie', 'zmusić', 'wycisnąć', 'rozgniatać', 'zugzwang', 'kryzysu_płynności', 'ukręcić', 'przymus', 'kryzys_płynności', 'squeeze', 'zapaść_kredytowa', 'szczypać', 'credit_crunch', 'sympatia'}
stab	{'stab', 'pchnięcie', 'krzyk_2', 'scream_2', 'pchnięcie_nożem', 'stab_róg'}
stand	{'drzewostan', 'plantacji', 'stoisko_sprzedaży', "jojo's_bizarre_adventure", 'woodlet', 'orchardist', 'jojo’s_bizarre_adventure', 'sadów', 'z', 'jojo_no_kimyō_na_bōken', 'sadownictwo', 'estrada', 'outdoor_etap', 'susan_ashton', 'plantacji_kauczuku', 'perspektywa', 'spółka_partnerska', 'firma', 'trybuna', 'plantacje_cukru', 'podstawa', 'optyka', 'punktu_widzenia', 'stać', 'plantacji_cukru', 'stojak', 'spojrzenie', 'punkt_widzenia', 'znieść', 'widzenia', 'plantacji_kawy', 'plantacji_bawełny', 'stoją', 'stand', 'sadu_owocowego', 'sad', 'budka', 'plantacja', 'partnerstwa'}
star	{'*', 'wielokąt_gwiaździsty', 'mullet', 'topologia_gwiazd', 'ilean_almaguer', 'tarball', 'gwiazda', 'czarodziej', 'celebrities', 'celebryta', 'gwiazd', 'estelle', 'topologii_gwiazdy', 'mavin', 'estelle_swaray', 'sieci_star', 'superstar', 'pierwsza_gwiazdka', '★', 'gwiazdka', 'celebrytka', 'gwiazdy', 'asterysk', 'celebryci', 'macierz_bcg', 'gwiazda_filmowa', 'air', 'adept', 'star_tv', 'hotshot', 'pięciogwiazdkowy_hotel', 'sława', 'osobowość_telewizyjna', 'najwybitniejszej_aktorki', 'star', 'sławną_osobą', 'topologia_gwiazdy', 'wymiatacz', 'xerox_star', 'tar.gz', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'popstar', 'świst', 'tar', 'maven', 'celebryt', 'headliner', 'gwiazd_filmowych'}
stick	{'dżojstik', 'gałązka', 'drążek', 'clapstick', 'american_standard_code_dla_wymiany_informacji', 'papieros_marihuany', 'drążku', 'giczoł', 'krótkim_shifter', 'joint', 'skręt', 'oprawić', 'billystick', 'kopyto', 'drążek_sterowniczy', 'osełka', 'daredevil', 'patyk', 'standard_transmisji', 'baton', 'stick_shift', 'gira', 'dżoint', 'zsynchronizowane', 'goddess', 'clapstick_ironwood', 'papieros_z_marihuaną', 'lolek', 'dżojstyk', 'tablica_ascii', 'kij', 'drążek_sterujący', 'kulas', 'synchronizator', 'oprawiać', 'kulfon', 'buława', 'krótki_shifter', 'manipulator_drążkowy', 'billy_club', 'american_standard_code_for_information_interchange', 'joystick', 'pałka_policyjna', 'spliff', 'drążek_sterowy', 'blant', 'ascii', 'laska', 'lasek', 'manipulator_wychyłkowy', 'ręczna_skrzynia_biegów', 'pałka', 'manualna_skrzynia_biegów'}
stone	{'skała_sypka', 'harlan_kamień', 'owocni', 'perykarp', 'kamieni_szlachetnych', 'serce_z_kamienia', 'serce_jak_głaz', 'kamienie_półszlachetne', 'kamienne_serce', 'endokarp', 'kamieni', 'półszlachetnych_kamieni', 'harlan_fiske_stone', 'kamień', 'harlan_fiske_kamień', 'kamyk', 'kamienie_szlachetne', 'edward_durell_kamień', 'głaz', 'drylować', 'iskander', 'isidor_feinstein_kamień', 'skała_luźna', 'lucy_stone', 'lucy_kamień', 'skała', '9k720_iskander', 'harlan_fisk_kamień', 'picul', 'stone', 'pestka', 'oliver_stone', 'owocnia', 'klejnot', 'harlan_f._kamień', 'skała_lita', 'kamień_szlachetny', 'serce_jak_kamień', 'skała_zwięzła', 'i._kamień_f.'}
straight	{'hetero', 'prostej', 'strit', 'proste', 'prosto', 'bezpośrednio', 'krzyż', 'prosty', 'heteroseksualność', 'heteroseksualny', 'heteroseksualizm', 'domu_prosto', 'osoba_heteroseksualna', 'heterosexualism', 'heteroseksualista', 'heteroseksualizmu', 'od_razu', 'wyprostowany', 'heteroseksualistów', 'prosty_człowiek'}
student	{'student', 'christ_church_w_oksfordzie', 'księgarnia', 'uczonych', 'księgarz', 'scholar', 'studentów', 'uczony', 'uczony_człowiek', 'księgarzy', 'christ_church', 'uczeń', 'księgarni', 'educatee', 'księgarskiej', 'william_sealy_gosset', 'studentka', 'żak'}
stupid	{'przygłup', 'głupoty', 'baran', 'barania_łąka', 'bezmózgowiec', 'ptasi_móżdżek', 'okład_wilgotny_z_lekiem', 'kurzy_móżdżek', 'tępota', 'głupota', 'głąb_kapuściany', 'bezmózg', 'tępak', 'głupi', 'pustak', 'niemądry', 'tępy', 'idiotyzm', 'dureń', 'półgłupek', 'ograniczenie', 'bałwan', 'słaba_ryba', 'półgłówek', 'raven-symone', 'głowa_budyń', 'idiota', 'ćwok', 'kretynizm', 'pustogłów', 'pillock', 'pudden-head', 'tępogłowy', 'głupek', 'głupi_durny_tępy_tępogłowy_zakuty_durnowaty', 'kretyn', 'nieinteligentny', 'głupi_człowiek', 'ciemniak', 'nudziarz'}
successful	{'successful'}
suck	{'koszmar', 'ssać', 'karmić_piersią', 'ssanie', 'ssania'}
sugar	{'kieszeń', 'forsa', 'sugar', 'cukrów_w_winie', 'posłodzić', 'bogactwo', 'sacharyd', 'cukier', 'cukru', 'handlu_cukrem', 'batman_forever', 'cukier_spożywczy', 'cukry_jadalne', 'cukrowce', 'węglowodan', 'simoleons', 'gelt', 'poziom_cukru', 'cukry', 'glassheart', 'rafinowany_cukier', 'moolah', 'węglowodanów', 'małże', 'szekli', 'dinero', 'słodzić', 'kostki_cukru', 'sacharydy', 'cukier_jadalny', 'cukrów', 'węglowodany'}
sun	{'utug', 'słońca', 'mars', 'sun_television', 'gwiazdą_stałą', 'sun_kwon', 'dzień_pański', 'światło_słoneczne', 'dominicus', 'księżyca', 'jowisz', 'słońce', 'widma_słonecznego', 'utu', 'opalać_się', 'wzór_na_kąt_padania_promieni_słonecznych', 'port_lotniczy_friedman_memorial', 'maszkowski', 'sun_microsystems', 'wenus', 'gwiazda_stała', 'soul_of_the_ultimate_nation', 'cun', 'promieniowanie_słoneczne', 'niedziela', 'sun', 'gwiazdy_stałe', 'słońcu', 'seon', 'księżyc', 'stałej_gwiazdy', 'stałych', 'the_sun', 'the_distance_to_here', 'szamasz'}
suspect	{'podejrzana', 'podejrzanych', 'nieufności', 'nieufność', 'podejrzany', 'oskarżony', 'oskarżonych', 'pozwany', 'podejrzewać', 'podejrzanego', 'osoba_podejrzana', 'podejrzliwość', 'robert_crais'}
swell	{'wykwintniś', 'majestatyczny', 'goguś', 'kiściec_fala', 'dandyzm', 'elegantów', 'elegant', 'picuś_glancuś', 'bufon', 'fircyk', 'dandys', 'falowanie', 'piękniś', 'strojniś', 'martwa_fala', 'swell', 'rozkołys', 'wytworniś', 'modniś', 'fop', 'potężny', 'clotheshorse', 'elegancik', 'laluś'}
swim	{'ray_of_light', 'płynąć', 'pływacki', 'pływać', 'pływanie_sportowe', 'pływanie', 'wodnym_lokomocji'}
table	{'tepui', 'wyszukiwanie', 'tablica', 'stół', 'elementu_html', 'stole', 'diagram', 'arkusz_danych', 'iframe', 'tag_html', 'relacji', 'tabeli', 'góra_stołowa', 'tablicowanie', 'href', 'wyszukiwania', 'lookup', 'rezonansowa', 'tag', 'odroczyć', 'tabeli_bazy_danych', 'element_html', 'mesa', 'odnośnika', 'odroczenia', 'tabular_array', 'lookup_table', 'opóźnienie', 'odłożyć', 'mesas', 'tabela', 'stoliwo'}
tail	{'tail-end', 'warkocz_komety', 'reszka', 'ścigać', 'zadek', 'rzędne', 'dorsoventral', 'śledzić', 'keister', 'okolica_pośladkowa', 'kolejności_mrugnięcia', 'grzbietowo-bocznej', 'za', 'usterzenie_ogonowe', 'rufie', 'dureń', 'tush', 'terminy_anatomicznej_lokalizacji', 'ogon_montaż', 'tył', 'ogon', 'po_części', 'rufa', 'przeciwnej', 'tyłowi', 'opierzenie', 'łania_end', 'ogonowym', 'aboral', 'aby_mrugnięcia', 'tooshie', 'ventrolateral', 'shadower', 'pupa', 'pośladka', 'miles_"tails"_prower', 'warkocz_kometarny', 'linii_środkowoobojczykowej', 'podeszwowej', 'tyłek', 'tail-ender', 'miles_„tails”_prower', 'gnać', 'cztery_litery', 'pośladki', 'pośladek', 'skóra', 'ipsilateralnej', 'ogonowej_zabezpieczeń', 'anioł_stróż', 'gonić', 'tropić', 'buns', 'zad', 'derriere', 'brzusznej', 'tail', 'sempiterna', 'tailender', 'chwost', 'tails', 'tylnej', 'usterzenie'}
taste	{'zmysł_smaku', 'smakowe_sensacja', 'preferencji', 'czuć', 'smakowe', 'degustacji_wina', 'podniebienie', 'skłonność', 'smak', 'degustacja_wina', 'upodobanie', 'naturalne_aromaty', 'smakowe_modalność', 'próbować', 'degustacja', 'wzmacniacz_smaku', 'gust', 'smaki', 'kosztować', 'percepcja_smaku', 'ślepej_degustacji', 'nowhere', 'smaku', 'taste', 'środek_smakowy', 'smakowite', 'smakowe_percepcja', 'smakować', 'degustacje_wina', 'preferencja'}
team	{'ekipa', 'solowy_projekt', 'sport_zespołowy', 'sport_drużynowy', 'zespół_jazzowy', 'zespół_muzyczny', 'zaprzęg', 'drużyna_sportowa', 'zespołów_rockowych', 'artysta_solowy', 'komórka_robocza', 'zespół_rockowy_pop', 'formacja_muzyczna', 'team', 'grupa_rockowa', 'grupa', 'drużyny_sportowej', 'grupa_muzyczna', 'zespół', 'zaprząg', 'kapela', 'zespół,_sport', 'zespół_instrumentalny', 'rock_band'}
texture	{'makrostruktury', 'smakowe', 'tekstura_krystaliczna', 'teksturowanie', 'musical_tekstury', 'mapowania_tekstur', 'faktura_muzyczna', 'faktura', 'tekstury', 'faktura_dzieła_sztuki', 'tekstura_skały'}
that	{'thaat', 'that'}
there	{'dotamtąd', 'nie', 'tam'}
they	{'they', 'ksenon', 'xe', 'oni', 'liczba_atomowa_54', 'one', 'płcią_zaimek'}
thick	{'środek', 'zwalisty', 'gruby', 'gęsty', 'bełkotliwy'}
thin	{'zeszczupleć', 'cienki', 'rzadziutki', 'wodnisty', 'wolny', 'stracić_na_wadzę', 'rzadki', 'schudnąć', 'nieobfity', 'chudy', 'niegęsty', 'rzadziuchny', 'cienkie', 'luźny'}
think	{'cerebracja', 'dyskografia_adama_lamberta', 'wyobrazić', 'myślenia', 'myślący', 'przypomnieć', 'rozważać', 'myśl', 'intellection', 'przypominać', 'uznawać', 'myśli', 'myśleć', 'think', 'pomyśleć', 'zapamiętać', 'zastanawiać_się', 'myślenie', 'pivco', 'nie', 'pamiętać', 'opiniować', 'zamierzać', 'proces_myślowy', 'nania', 'wydawać_opinię', 'przypuszczam'}
this	{'tinis', 'this', 'thinis'}
three	{'iii', 'linia_3', 'bob_sinclair', 'tercet', 'potrójny', 'succeeder', 'trzy', 'ternion', 'achiever', 'santana_iii', 'om', 'trójka', 'ॐ', 'bobem_sinclar', 'seventeen_seconds', 'thr3e', 'christophe_lefriant', 'three', 'bob_sinclar', '3~', 'prong', 'tři', 'linia_3_metra_w_nowym_jorku', 'troisty', 'deuce-ace', '3', 'enneagram'}
throw	{'suwu_wydechu', 'cam_udaru', 'podrzut', 'rzut', 'suwu_sprężania', 'instrumenty_dęte_blaszane', 'rzucać', 'instrument_mosiądz', 'instrument_dęty_blaszany', 'instrumentów_dętych', 'dać', 'rzucić'}
tie	{'kojarzyć', 'podkład', 'crosstie', 'zwis_męski_ozdobny', 'krawatka', 'podkładów_kolejowych', 'linkup', 'skojarzyć', 'parować', 'połączyć', 'tie-in', 'railroad_tie', 'remis', 'łuk', 'możliwe_wyniki_w_krykiecie', 'krawaty', 'dołączyć', 'port_lotniczy_tippi', 'port_lotniczy_tiepi', 'krawat', 'wiązać', 'płyty_toru', 'łączyć', 'podkład_kolejowy', 'związać_wiązkę', 'podrozjazdnica', 'dzień_bez_krawata', 'zwis_męski'}
time	{'napięta', 'pora', 'chronologia_wszechświata', 'time', 'time_has_come_today', 'jednostka_metryczna', 'hypnotica', 'sekwencji_zdarzeń', 'xkcd_1190', 'anastacia', 'cykl_zegara', "scatman's_world", 'raz', 'czwarty_wymiar', 'napięty', '4/4', 'więzienie', 'cykli_zegara', 'chronometrować', 'cyklu_zegara', 'godzina', 'polymeter', 'wieki_ciemne', 'czasie_związku', 'metrum', '6/8_czasu', 'zegar_systemowy', 'czasu_t', 'time_magazine', 'y_not', '4/4_czasu', 'odsiadka', 'żarówki', '12/8', 'czasu_systemowego', 'timeless', 'wczesnym_wszechświecie', 'zegar', 'czasie_walca', 'czasu', 'prostym_czasie', 'czas_gramatyczny', 'musical_metrum', 'zegar_czasu', 'kolej', 'dwudzielny', 'impuls_zegarowy', 'gmina_time', 'czasów', '2/4_czasu', 'in_my_own_words', 'the_time', 'termin_więzienie', 'ojciec_czas', 'kosmologicznej_czasu', 'czas', 'taktowanie', 'smartstop', 'dead_ball', 'częstotliwość_cyklu_zegarowego', 'pacific_ocean_blue'}
tongue	{'lengua', 'język_wołowy', 'języki_w_zakonie_maltańskim', 'serce', 'języka', 'języka_naturalnego', 'tongue', 'języka_wołowiny', 'językami', 'lingua', 'ozór', 'glossa', 'mówienie_językami', 'ozorek', 'język_naturalny', 'mierzeja', 'ksenolalia', 'języków_naturalnych', 'glosolalia', 'przesyp', 'język', 'serce_dzwonu'}
