ability	{'evne', 'aptitude'}
tail	{'hale-ender', 'rompeballe', 'komethale', 'seteball', 'løpe', 'dorsoventral', 'keister', 'basal', 'hale_montering', 'akterende_akterspeil', 'dorsolaterale', 'bakdel', 'ventral', 'mynt', 'stjert', 'akterstavn', 'speil', 'tush', 'medioklavikularlinje', 'rauv', 'laterale', 'styv', 'hekk', 'caudally', 'distale', 'gluteusmaximus', 'rumpballer', 'halen-end', 'rumpeball', 'akterparti', 'ræv', 'vilkår_for_anatomisk_sted', 'hale', 'batting_rekkefølge', 'rumpe', 'baktil', 'rumpeballene', 'miles_«tails»_prower', 'aboral', 'akterende', 'akterspeil', 'etter_en_del', 'tooshie', 'forfølge', 'rompe', 'ventrolateral', 'shadower', 'rompeball', 'miles_"tails"_prower', 'kontralaterale', 'ipsilaterale', 'hale_stjert', 'åpning_batsman', 'prat', 'kupere', 'anatomiske_gjelder_plassering', 'jage_etter', 'boller', 'bakre', 'proksimale', 'plantar', 'sporden', 'derriere', 'anatomiske_form_av_plassering', 'tail', 'caudal', 'ende', 'apikale', 'bakenden', 'gluteal_regionen', 'tailender', 'bak', 'svans', 'empennage'}
taste	{'smakssansen', 'lukt', 'smakebit', 'smake', 'smakssans', 'smaksapparatetet', 'gustatory', 'gustation', 'prøve', 'grunnleggende_smak', 'smaksforsterker', 'gustatory_sensasjon', 'smak', 'savor', 'preferanse', 'aroma', 'naturlige_smaker', 'preferanser', 'blindtest', 'forkjærlighet', 'nowhere', 'vinsmaking', 'gustatory_oppfatning', 'smaksoppfatning', 'taste', 'kunstig_smakstilsetning', 'kulturell_smak', 'kunstig_smak', 'smakstilsetning', 'gustatory_modalitet', 'smaksløk', 'smak_sensasjon', 'smakssystem'}
team	{'musikk_gruppe', 'lagidretter', 'scandinavian_alliance_mission', 'lag', 'rockegruppen', 'the_evangelical_alliance_mission', 'lagsport', 'spann', 'band', 'rockeband', 'lagidrett', 'musikk_ensemble', 'team', 'instrumental_ensemble', 'musikalsk_band', 'the_scandinavian_alliance_mission', 'musikk_band', 'pop_band', 'arbeidscelle', 'idrettslag', 'pop_rock_band', 'gruppe', 'evangelical_alliance_mission', 'musikalsk_ensemble', 'bar_band', 'rock_band'}
texture	{'munnfølelse', 'tekstur_kart', 'tekstur', 'tekstur_deres', 'teksturtilordning', 'mouthfeel', 'macrotexture'}
that	{'thaat'}
there	{'there', 'dit', 'det', 'der'}
they	{'kjønnsnøytral_pronomen', 'kjønnsnøytralt_pronomen', 'xenon', 'atomnummer_54', 'they', 'xe', 'kjønnsspesifikk_pronomen', 'they_som_entall', 'hin', 'kjønnsspesifikke_pronomen'}
thick	{'tykk', 'midt'}
thin	{'tynne_ut', 'tynne', 'tynn'}
think	{'tankeprosessen', 'mentering', 'tanker', 'finne', 'intellection', 'think', 'tenkt', 'tankeprosess', 'fundere', 'tenke', 'synes', 'antar', 'pivco', 'cerebration', 'resonnere', 'huske', 'tenking', 'minnes', 'tenker', 'tenkning', 'mene', 'mener', 'husker', 'tror', 'tanke', 'vurdere'}
this	{'this', 'dette', 'thinis', 'meg'}
three	{'enneagrammet', 'iii', 'bob_sinclar', 'tercet', 'santana_iii', 'succeeder', 'ternion', 'prong', 'achiever', 'tre', 'linje_3', 'trine', 'seventeen_seconds', 'deuce-ace', 'three', '3', 'terzetto', 'trefoldig', 'enneagram'}
throw	{'har', 'messinginstrument', 'messing_instrument', 'messinginstrumenter', 'gi', 'messing', 'forvirre', 'kastet', 'eksos_hjerneslag', 'messingblåser', 'slaglengde', 'kaste', 'cam_stroke', 'messingblåseinstrument', 'stempelslag', 'kompresjonsslaget', 'takt', 'hornist', 'kaste_sjonglering', 'stemmebøyle', 'holde', 'hive', 'messingblåserne', 'messingblåseinstrumenter'}
tie	{'vie', 'crosstie', 'koble_sammen', 'uavgjort', 'pare', 'slips', 'jernbane_bånd', 'ektevie', 'linkup', 'slipsknute', 'tie-in', 'koble', 'bindbjelken', 'forbinde', 'jernbane_sovende', 'kobling', 'tilknytte', 'sville', 'jernbanesville', 'skive_spor', 'jernbane_tie'}
time	{'taktartsangivelse', 'periode', 'soningstid', 'time', 'enkel_tid', 'hypnotica', 'pacific_ocean_blue', 'klokke_syklus', 'tidlige_universet', 'tidsangivelse', 'meter', 'anastacia', "scatman's_world", 'grammatisk_spent', '2/4_takt', 'ta_tid', '4/4_takt', '4/4', 'forbindelse_tid', 'klokkeslett', 'timebu', 'polymeter', 'pære', 'systemklokke', 'tenses', 'universets_historie', 'dødball', 'titan_mare_explorer', 'musikalsk_tid_signatur', 'time_magazine', 'systemet_klokke', 'tidsregning', 'tidsintervall', 'tidtaking', '12/8', 'snorutløser', 'klokke_sykluser', 'tid_t', 'klokketid', 'grammatisk_tid', 'ta_tiden_på', 'takter', 'spent', 'vals_tid', 'tidsramme', '«time»', '6/8_tiden', 'time_kommune', 'tidsrom', 'fjerde_dimensjon', 'in_my_own_words', 'sekvens_av_hendelser', 'taktart', 'taktarter', 'tid_gang', 'kabel_utgivelse', 'takt', 'systemet_tid', 'tid', 'duple', 'y_not', 'tempus', 'fengsel', 'klokke', 'kosmologiske_tid'}
tongue	{'lengua', 'glossa', 'tunge', 'naturlig_språk', 'tungetale', 'naturlige_språk', 'språk', 'okse_tungen', 'tongue', 'tunger', 'genetikk', 'lingua', 'tungen'}
tool	{'verktøy', 'håndverktøy', 'marionett', 'utviklingsverktøy', 'kuk', 'programmeringsverktøy', 'kuk_kukk', 'tool', 'software_utviklingsverktøy', 'programvare_utviklingsverktøy', 'programvareutvikling_verktøy', 'nikkedukke', 'programvareverktøy', 'pikk', 'arbeidsredskap'}
tooth	{'tennene', 'tenner', 'plugg', 'takk', 'tann', 'dental_utrustning'}
toy	{'leketøy_leiketøy', 'sexhjelpemiddel', 'leiker', 'toyhund', 'chatoyancy', 'leketøy_leiketøy_leke_leike', 'toy', 'sexleketøy', 'sexleke', 'skjødehund', 'yello', 'sex_leketøy', 'chatoyant', 'miniatyrhund', 'sexhjelpemidler', 'leker', 'leke', 'leketing', 'leike', 'leketøy', 'leketøy_leiketøy_leke', 'toyline', 'leken_hund', 'leiketøy', 'toyhunder', 'miniatyrhunder'}
tree	{'charlotte_bronte', 'rotnoden', 'tre_datastruktur', 'tre_tilbedelse', 'overordnet_node', 'trevekst', 'sir_herbert_beerbohm_tre', 'tresort', 'tre', 'forelder_node', 'interiør_node', 'blad_node', 'charlotte_brontë', 'kruskal_er_tre_teorem', 'herbert_beerbohm_tree', 'subtre', 'intern_node', 'bladnode', 'trestruktur', 'undertre', 'skog', 'sapling', 'trær', 'hellig_tre', 'barn_node', 'søketre'}
trial	{'iii', 'paucal', 'litigants', 'nummer_avtale', 'testen', 'ternion', 'sivilt_søksmål', 'prøve', 'årsaken_system', 'numerus', 'causa', 'juridisk_sak', 'trengsel', 'terzetto', 'årsakssammenheng', 'antall', 'tall', 'eksperiment', 'trine', 'deuce-ace', 'sivil_domstol', '3', 'trefoldig', 'årsak', 'trialis', 'sak', 'prøvelse', 'pre-trial', 'tercet', 'saken', 'tre', 'prøvd', 'prøvetur', 'søksmålet', 'rettstvist', 'undersøkelse', 'entall', 'rettssak', 'test', 'sivil_sak', 'prøvde', 'søksmål', 'singularis', 'straffesak', 'rettergang', 'grammatisk_tall', 'saksøkt', 'kausalitet'}
tried	{'prøvde', 'rettergang', 'prøvd', 'søksmål', 'undersøkelse', 'rettssak', 'straffesak'}
turn	{'vending', 'snu', 'snurre', 'bli', 'slå', 'piruett', 'omdreining', 'slå_av_hendelser', 'bøye', 'vende', 'seierspoeng', 'spillmodus', 'runde_vinkel', 'rasjonell_trigonometri', 'dreie', 'ornamentering', 'acciaccatura', 'tørne', 'tur', 'ornamentikk', 'ornament', 'volta', 'svinge', 'spillmekanikk', 'perigon', 'nåde_notat', 'god_tur', 'vokse', 'vridning', 'runde_sving', 'ornamenter', 'dreining', 'rulle_tilbake', 'sving', 'appoggiatura', 'utformingsuthevinger'}
two	{'enneagram', 'two', 'toer', 'jim_cartwright', 'to', 'achiever', 'succeeder', 'enneagrammet', '2', 'ii', 'spenne'}
typical	{'typisk'}
unaware	{'uvitende_om'}
usable	{'brukervennlighet', 'brukskvalitet', 'brukervennlig', 'brukbarhet'}
useless	{'useless'}
vacation	{'vacation', 'ferie'}
vomit	{'kaster_opp', 'nauseant', 'oppkast', 'spying', 'brekke_seg', 'brekkmiddel', 'vomitive', 'puking', 'brekker', 'oppstøt', 'elge', 'spy', 'mate_fiskene', 'emesis', 'barf', 'vomitus', 'kastet_opp', 'inndragning', 'kaste_opp'}
walk	{'enkel_graf', 'walking', 'urettet_graf', 'gangvei', 'gå_av_livet', 'walk', 'skritt', 'fare', 'the_walk', 'walk_live_material', 'orden', 'rekkefølgen', 'base_på_baller', 'kant', 'baser_på_baller', 'måte_å_gå', 'walk_cervical', 'walk_biomechanical', 'gå_på_tur_med', 'gå', 'hest_gangart', 'gå_ut_med_hunden', 'reise', 'dra', 'gangveier', 'paseo', 'graf', 'grafnode'}
war	{'vinner_over_erstatning', 'væpnet_konflikt', 'krigstilstand', 'krig', 'militær_konflikt', 'waray-waray_språk', 'all_or_nothing', 'ares', 'om_krig', 'war', 'krigføring', 'hva_er_krig', 'kriger', 'winaray', 'krige', 'angrepskrig', 'waray-waray', 'væpnede_konflikter', 'the_war'}
warm	{'varm', 'varmt', 'varme_opp'}
wash	{'buried', 'luftstrøm', 'vaskeri', 'the_wash', 'vaske', 'unearthed', 'laundress', 'klesvask', 'vaske_tegning', 'arroyo', 'slipstream', 'washables', 'tvette', 'lavation', 'utvasking', 'kinesisk_vaskeri', 'skittentøy', 'scan', 'vask', 'lost_dogs', 'tørke_vask'}
water	{'offentlig_vannforsyning', 'vannforsyningssystem', 'vatn', 'is', 'vannressurser', 'piddle', 'phencyclidine', 'vannforekomst', 'urin', 'c2o', 'vannforekomster', 'h2o', 'vanne', 'vannkilde', 'nitrogenholdig_avfall', 'vannmolekyl', 'vann', 'kropp_av_vann', 'phencyclidine_hydrochloride', 'slipp_gjerdet', 'fensyklidin', 'vassdamp', 'pisse', 'dråpe_gjerde', 'h₂o', 'pcp', 'vannets_smeltepunkt', 'vassressurser', 'late_vannet', 'vannmasse', 'weewee', 'fenycyklidin', 'vannforsyning', 'fencyklidin', 'industrielle_vann', 'vannledningsnett', 'gråte', 'flytende_vann', 'piss', 'vannsystemet', 'tiss', 'water', 'vanndamp', 'tisse', 'felle_tårer', 'blood_red_shoes', 'vannledninger', 'englestøv', 'engel_støv', 'urinere', 'quoin', 'quoins', 'is_høsting'}
we	{'vi', 'shinhwa', 'wé', 'polycephaly', 'we_tv', 'we'}
weak	{'svakhet', 'svake', 'muskelsvakhet', 'svak', 'the_sea'}
wear	{'klesplagg', 'wearable', 'jibb', 'sette_på', 'plagg', 'klær', 'slitasje', 'bekledning', 'herreekvipering', 'påkledning', 'antrekk', 'womenswear', 'slitestyrke', 'jibbe', 'wear', 'habiliment', 'klesindustrien'}
weather	{'værvarsel_værprognose', 'vær_utsikter', 'uvær', 'værvarsel_værprognose_værmelding', 'værforhold', 'værmelding', 'vær', 'atmosfærisk_tilstand', 'værvarsel', 'været'}
wet	{'phencyclidine_hydrochloride', 'fensyklidin', 'vesteuropeisk_tid', 'englestøv', 'fuktighet', 'pcp', 'engel_støv', 'fuktig', 'phencyclidine', 'wet', 'fenycyklidin', 'fencyklidin', 'bløt', 'våt'}
what	set()
when	{'diamonds_for_breakfast', 'lars_pedersen', 'when'}
where	{'where', 'hvor'}
white	{'eggehvite', 'delias', 'latino', 'hudfargen', 'andrew_d._white', 'hispanic', 'planeswalker', 'andre_raser', 'andrew_dickson_white', 'e._b._white', 'ovalbumin', 'pieris', 'hvite_mennesker', 'white', 'kvit', 'elwyn_brooks_hvit', 'offwhite', 'den_hvite_rase', 'hvit', 'blank', 'kvite', 'kaukasiske_rase', 'kaukasoide', 'white_arkitekter', 'eggehviter', 'patrick_victor_martindale_hvit', 'theodore_harold_hvit', 'hvite_rase', 'den_kvite_rase', 'white_motor_company', 'kaukasoid', 'magic:_the_gathering', 'kaukasiere', 'den_kaukasoide_rasen', 'stanford_white', 't._h._white', 'patrick_white', 'edward_white', 'caucasoids', 'eggekvite', 'kålsommerfugl', 'white_river', 'kaukasisk_rase', 'eggehvite_eggekvite', 'albumen', 'hvitt', 'hudfarge', 'blackface', 'hvite', 'den_kvite_rasen', 'den_kaukasoide_rase', 'hvit_person', 'caucasoid_rase', 'asiatisk', 'kvitt', 'svart', 'white_airways', 'kaukasiske', 'caucasoid', 'edward_d._white', 'edward_douglas_hvit_jr', 'eggehviten', 'elfenben'}
who	{'the_who', 'jim_neidhart', 'who', 'som', 'liste_over_generaldirektører_i_verdens_helseorganisasjon', 'verdens_helseorganisasjon', 'world_health_organization'}
wide	{'brede', 'vid', 'bred'}
wife	{'ekteviv', 'koner', 'kone', 'gift_kvinne', 'ektehustru', 'frue', 'hustru', 'viv'}
willingly	set()
wind	{'tomme_ord', 'svingete', 'luftstrøm', 'bryte_vinden', 'malarky', 'bell', 'malarkey', 'konfidensiell_informasjon', 'elektromagnetisk_spole', 'wind', 'fjert', 'vind', 'farting', 'bjelle', 'luft', 'vifte', 'blåseinstrumenter', 'vinne', 'emne', 'kundeemne', 'blåseinstrument', 'akeboshi', 'luftstrømmen', 'vind-assistert', 'medvind', 'flatus', 'vindkast'}
wing	{'spoiler', 'flyhalf', 'fly', 'wing', 'fløy', 'backstage', 'første_fem-åttende', 'luftving', 'hindwing', 'scenen', 'ving_militær', 'fugl_fly', 'insekt_fly', 'flanking', 'coandaeffekten', 'fender', 'vedlegg', 'dummy_halv', 'utenfor_sentrum', 'innsiden_sentrum', 'elfquest', 'ving', 'hjulbrønn', 'swingman', 'vinge', 'alvefolket', 'gone_again', 'veng', 'fly_halv', 'anneks', 'gliders', 'venstre_flanke', 'tighthead_prop', 'vingen', 'flankemanøver', 'fly_halvparten', 'flankerende', 'vakt_fremover'}
wipe	{'tørke', 'tørk'}
with	set()
woman	{'hun', 'kvinnfolk', 'fruentimmer', 'voksen_kvinne', 'vaskehjelp', 'kvinnelig', 'klaatu', 'nancy_benoit', 'kvinner', 'smukke_kjønn', 'kvinnen', 'rengjøring_kvinne', 'kvinne', 'kvinne_dame', 'kvinnelige', 'rengjøringsbetjent', 'cleaning_lady', 'hunkjønn', 'hunnindivider', 'dame', 'kvinnemenneske', 'woman'}
word	{'nyhet', 'passord', 'logoer', 'christian_bibelen', 'formulere', 'løfte', 'microsoft_word', 'lovnad', 'logos', 'hellig_tekst', 'god_bok', 'nyheter', 'ordlengde', 'ord', 'hellige_boken', 'ord_størrelse', 'hellig_skrift', 'bibelen', 'den_hellige_skrift', 'sønn', 'sønner', 'bibelsk', 'bibel', 'biblen', 'ms_word', 'bibler', 'hellige_tekster', 'budskap', 'skriften', 'diskusjon', 'kristne_skrifter', 'bibelske', 'æresord', 'kristne_bibelen', 'religiøse_tekster', 'hellige_bøker', 'hellige_skrift', 'diskusjon_debatt', 'microsoft_office_word', 'word', 'religiøs_tekst'}
worm	{'worm', 'vri_seg', 'orm', 'dataorm', 'vriste', 'mark', 'ormer', 'skitt_ball', 'makk', 'vermes'}
year	{'gregorianske_året', 'anomalistic_år', 'year', 'yr', 'solar_år', 'solår', 'tropisk_år', 'årstall', 'twelvemonth', 'år', 'annus', 'ma', 'alder', 'lenge', 'astronomiske_år', 'equinoctial_år', 'annum', 'lang_tid', 'inntektsåret'}
yellow	{'gulelven', 'blond', 'huangelva', 'gult', 'zebrahead', 'blonde', 'gul', 'guleelven', 'hwang_ho', 'hwang-ho', 'eiko_shimamiya', 'huang_he', 'blondt_hår', 'yellow', 'lys', 'huanghe', 'gulaktig', 'hong_jin-ho', 'den_gule_flod', 'den_gule_elv', 'yellowness', 'yellow_river', 'blondine', 'gule_flod', 'den_gule_floden'}
you	{'amy_lee_hartzler', 'janne_da_arc', 'deg', 'fly', 'no_control', 'pablo_honey', 'the_real_testament', 'monster', 'du', 'you', 'amy_lee'}
