ability	{'capacidad', 'poder', 'habilidad', 'ingenio', 'talento', 'aptitud'}
bone	{'fae_myenne_ng', 'osamenta', 'def_jam_records', 'tonos_de_blanco', 'ósea', 'hueso_humano', 'matiz_de_blanco', 'empollar', 'fajarse_a_estudiar', 'oseo', 'tonalidad_de_blanco', 'funciones_de_los_huesos', 'blanco_marfil', 'tejido_óseo', 'blanco_apagado', 'blanco_roto', 'tonalidades_de_blanco', 'desosar', 'variedad_de_blanco', 'terrañolas', 'color_marfil', 'marfil', 'trabécula', 'hueso', 'def_jam', 'estudiar', 'matices_de_blanco', 'variedades_de_blanco', 'def_jam_recordings', 'tono_de_blanco', 'hueso_compacto', 'os', 'quemarse_las_pestañas', 'perla', 'arnold_boonen', 'huesos', 'blancuzco', 'óseo', 'deshuesar', 'bone', 'def_soul'}
brain	{'la_capacidad_de_aprendizaje', 'funciones_del_cerebro', 'mente', 'daño_cerebral', 'función_cerebral', 'mentales', 'bryan_"brain"_mantia', 'descerebrar', 'romper_la_crisma', 'celebro', 'psique', 'mente_humana', 'razón', 'cerebro_humano', 'lobulo_óptico', 'capacidad_intelectual', 'cerebro', 'capacidad_de_aprendizaje', 'razonabilidad', 'genia', 'genialidad', 'ingenio', 'razón_filosofía', 'brain', 'cabeza', 'cerebral', 'psiquis', 'inteligencia', 'entendimiento', 'razonable', 'pakistanibrain', 'raciocinio', 'agudeza', 'contenido_mental', 'lobulo_optico', 'nous', 'einstein', 'razon', 'sesos', 'pakistani', 'dano_cerebral', 'nipper', 'inspector_gadget', 'poder_mental', 'capacidad_mental', 'brian_mantia', 'virus_brain', 'intelecto', 'cerebrales', 'encéfalo', 'mentalidad', 'psíquico', 'razonables', 'copy', 'lóbulo_óptico', 'razonamiento', 'cerebro_de_los_mamíferos', 'partir_la_cara', 'brainiac', 'c_brain', 'ashar', 'banks', 'genio', 'psiquico', 'psiquismo', '(c)brain', 'bryan_mantia', 'razon_filosofia', 'el_inspector_gadget', 'pakistaní', 'cerebrum', 'crack'}
breast	{'mamma', 'pecho', 'cáncer_al_seno', 'cancer_mamario', 'torso', 'carne_blanca', 'mama_humana', 'the_breast', 'región_torácica', 'mamas', 'cancer_al_seno', 'enfrentarse', 'tórax', 'alcanzar_la_cima', 'titty', 'carcinoma_mamario', 'pectus', 'mama', 'cavidad_toráxica', 'torax', 'teta', 'macoca', 'cavidad_toracica', 'cáncer_mamario', 'cáncer_de_pecho', 'region_torácica', 'pechera', 'cancer_de_pecho', 'región_toracica', 'thorax', 'torácica', 'cáncer_de_mama', 'caja_toracica', 'melón', 'retrato_en_busto', 'cavidad_torácica', 'chichis', 'pechuga', 'cancer_de_seno', 'mamar', 'senos', 'cáncer_de_seno', 'desafiar', 'pechos', 'busto', 'cancer_de_mama', 'cavidad_toraxica', 'caja_torácica', 'afrontar', 'cumbre', 'seno', 'region_toracica', 'tetas'}
breathe	{'i_empire', 'kristof_konrad', 'el_lado_oscuro_de_la_luna', 'hints,_allegations,_and_things_left_unsaid', 'hints_allegations,_and_things_left_unsaid', 'funeral_for_yesterday', 'great_escape', 'respirar', 'evidenciar', 'hints_allegations_&_things_left_unsaid', 'good_bye', 'exhalar', 'time', 'hints_allegations_and_things_left_unsaid', 'i-empire', 'hints,_allegations_&_things_left_unsaid', "i_can't_breathe", 'dar', 'dark_side_of_the_moon', 'one_to_ten', 'inspirar', 'a_class', 'good_bye,_baby', 'dark_side', 'the_dark_side_of_the_moon', 'aspirar', 'breathe', 'music_from_the_body', 'vomitar', '11:59', 'dsotm'}
broken	{'broken', 'arruinado', 'roto', 'echo', 'soft_touch_/_raw_nerve', 'interrumpido', 'alone', 'bajo', 'escarpado', 'incompleto', '12_stones', "winterheart's_guild", 'inexacto', 'the_best_of_bruce_dickinson', 'defectuoso', 'erróneo', 'errónea', 'empobrecido', 'incumplido', 'chapurreado', 'estropeado', 'filudo', 'ms._kelly', 'humillado', 'dañado', 'escabroso', 'the_broken', 'quebrado', 'plastic_beach', 'confuso', 'violado', 'delta_machine'}
building	{'construir', 'edificio_público', 'edificacion', 'obra_de_construcción', 'construcción_de_edificios', 'constructora', 'industria_de_la_construcción', 'edificio_publico', 'técnicas_de_construccion', 'tecnicas_de_construcción', 'casa', 'técnicas_de_construcción', 'edificio', 'anexo:conceptos_de_la_arquitectura_clásica', 'construcciones', 'proyecto_de_construcción', 'edificios_públicos', 'tecnicas_de_construccion', 'técnico_universitario_en_construcciones', 'edificaciones', 'construcción', 'edificación', 'edificios', 'inmueble', 'construccion', 'tecnico_universitario_en_construcciones', 'sector_de_la_construcción'}
burn	{'incendiarse', 'agotar', 'super', 'broncearse', 'corriente', 'morenez', 'quemaduras_de_segundo_grado', 'quemadura', 'football_club_dallas', 'cauterizar', 'hamilton', 'incinerar', 'incendios', 'moreno', 'arroyo', 'quemadura_de_tercer_grado', 'curso_fluvial', 'queimada', 'quemadura_solar', 'pegar_fuerte', 'curso_de_agua', 'incendiar', 'tostado', 'quemazón', 'quemar', 'quemar_marca', 'ardor', 'lumbre', 'dermatitis_solar', 'corriente_intermitente', 'flama', 'abrasarse', 'llamas', 'f.c._dallas', 'fc_dallas', 'quemaduras', 'consumirse', 'arroyos', 'dallas_burn', 'ruisseau', 'llama', 'arder', 'achicharrar', 'quemaduras_solares', 'the_crow', 'arroyo_o_quebrada', 'riacho', 'quemadura_de_sol', 'quemarse', 'abrasar', 'quemada', 'chamuscar', 'brillar', 'eritema_solare', 'burn', 'f_c_dallas', 'fuego', 'fuegos', 'llamarada', 'quemaduras_de_tercer_grado', 'consumir', 'foguear', 'incendio', 'eritema_solar', 'cursos_de_agua', 'llameante', 'bronceado'}
business	{'lob', 'organización_comerical', 'negocio', 'organización_empresarial', 'trabajo', 'cliente', 'negociante', 'caso', 'sector_empresarial', 'empresas', 'línea_de_trabajo', 'empleo', 'parroquia', 'negocios', 'business', 'negocioso', 'profesión', 'bisnes', 'con_fines_de_lucro', 'negocio_de_la_empresa', 'contratistas_independientes', 'ruta_comercial', 'ocupacion', 'patronaje', 'escena_muda', 'sector_de_negocios', 'contratista_independiente', 'asunto', 'negocios_preocupación', 'línea_de_negocio', 'juego_escénico_secundario', 'etapa_empresarial', 'compañía', 'vacante', 'problema', 'organización_de_negocios', 'negozuelo', 'empresa_comercial', 'sistema_de_negocios', 'acción_aparte', 'comercio', 'asunto_de_negocios', 'clientela', 'empresa', 'ocupación'}
camera	{'cámara_de_vídeo_profesional', 'tomavistas', 'cámara_de_televisión', 'committee_for_accuracy_in_middle_east_reporting_in_america', 'camara_de_cine', 'cámara_de_cine', 'cámara_cinematográfica', 'the_back_room', 'camera', 'cámara_fotográfica', 'cámara', 'camara_de_video_profesional', 'camara_cinematografica', 'camara_cinematográfica', 'tv_cámara', 'spegeln', 'películas_en_la_cámara', 'cámara_de_fotos', 'cámara_de_tele', 'cámaras'}
carefully	{'cuidadosamente', 'problema', 'quebradero_de_cabeza', 'preocupación', 'desasosiego', 'atentamente', 'cuita', 'tribulación', 'aflicción', 'quebradero', 'inquietud', 'precavidamente', 'zozobra'}
challenge	{'contestar', 'retar', 'desafio', 'logro', 'desafío', 'cuestionado', 'protocolos_desafío-respuesta', 'recusación', 'recusar', 'protocolos_desafio-respuesta', 'desafío-respuesta', 'cuestionar', 'impugnar', 'desafiar', 'reto', 'hazaña', 'alta', 'refutar', 'dar_el_alto', 'proeza', 'autenticación_desafío-respuesta', 'the_challenge', 'disputar', 'interrogado'}
charity	{'asociación_de_caridad', 'dilbert', 'asociacion_caritativa', 'polemonium_caeruleum', 'charity', 'caritativo', 'estatus_caritativo', 'organizaciones_caritativas', 'asociación_caritativa', 'amor_fraternal', 'benéfica_registrada', 'organización_caritativa', 'beneficiencia', 'polymonium_caeruleum_van-bruntiae', 'melinda_padovano', 'caridad', 'caritativa', 'asociacion_de_caridad', 'polemonium_laxiflorum', 'polemonium_coeruleum', 'polemonium_van-bruntiae', 'organizacion_caritativa', 'organización_caridad', 'compasión', 'organización_benéfica', 'caridad_pública', 'beneficencia', 'comprensión'}
charming	{'encantador', 'atractivo', 'mágico', 'charming', 'seductor'}
child	{'child', 'piberio', 'chavo', 'minoria_de_edad', 'ninas', 'ninos', 'minoridad_legal', 'mozalbete', 'piberío', 'pibe', 'menores', 'chamaco', 'muchacho', 'tike', 'lolo', 'conservación_de_los_derechos_de_los_niños', 'niña', 'hija', 'niños', 'joven', 'niñas', 'crío', 'alevín', 'hijo', 'escolares', 'conservacion_de_los_derechos_de_los_ninos', 'chiquillo', 'elias_childe', 'chango', 'menor_de_edad', 'minoría_de_edad', 'pececillo', 'edad_legal', 'menor', 'chibolo', 'jovenzuelo', 'ninzzo', 'cría', 'cabro', "l'enfant", 'minoridad', 'el_niño', 'chaval', 'chiqüelo', 'piba', 'hijas', 'criatura', 'nene', 'menores_de_edad', 'pre-púberes', 'muchachuelo', 'conservacion_de_los_derechos_de_los_niños', 'chavalo', 'pelado', 'niño', 'chamaca', 'chico', 'conservación_de_los_derechos_de_los_ninos', 'papa_frita'}
clothes	{'uniforme_visitante', 'traje', 'atavío', 'atuendo', 'uniforme_tercero', 'vestuario', 'prendas_de_vestir', 'indumentarias', 'uniforme_titular', 'vestimenta', 'prenda_de_vestir', 'atuendos', 'vestiduras', 'prenda', 'ropa_de_mujer', 'vestir', 'vestido', 'ropas', 'vestidura', 'usable', 'ropa', 'confección_de_prendas_de_vestir', 'vestidos', 'apparel', 'historia_del_vestido', 'indumentaria', 'habiliment', 'vestimentas'}
cloud	{'computacion_en_nube', 'basado_en_la_nube', 'fiebre_del_enjambrazón', 'nube_híbrida', 'cloud_computing', 'nuboso', 'mancillar', 'nube_de_conceptos', 'anieblarse', 'plataforma_como_servicio', 'paas', 'fiebre_del_enjambrazon', 'informática_en_la_nube', 'infraestructura_como_servicio', 'computación_en_nubes', 'formación_de_nubes', 'nublar', 'software_on-line', 'nube', 'cloud_hosting', 'enjambrazón', 'kiba', 'daniel_"cloud"_campos', 'enjambre', 'pervertir', 'computación_en_la_nube', 'enjambrazon', 'infraestructura_en_la_nube', 'computacion_en_la_nube', 'esconder', 'anublar', 'servicio_en_la_nube', 'servicios_en_la_nube', 'afear', 'nubes', 'the_cloud', 'proyecto_cloud', 'velar', 'enturbiar', 'computación_nube', 'informatica_en_nube', 'cloud_strife', 'tapar', 'nube_pública', 'cloud', 'nublarse', 'jimoto', 'cubrir', 'ocultar', 'computacion_nube', 'computación_en_nube', 'informática_en_nube', 'software_en-línea', 'enjambrar'}
cockroach	{'blatodeo', 'cucarachas', 'las_cucarachas', 'bion', 'cockroach', 'blatido', 'cucaracha', 'baratas', 'suborden_blattodea', 'suborden_blattaria', 'blattaria', 'blattodea', 'corredera', 'curiana', 'barata', 'blatodeos', 'blátido'}
code	{'cifrar', 'programar', 'código_legislativo', 'codificacion_juridica', 'codificación', 'clave', 'codigo_legal', 'código_de_la_ley', 'encriptar', 'código_informático', 'movimiento_codificador', 'codificación_jurídica', 'codificar', 'cuerpo_legal', 'codigo', 'código', 'código_legal', 'códigos', 'codificada', 'codificacion_jurídica', 'criptografar', 'codificación_juridica', 'codigo_legislativo', 'codificacion', 'código_de_leyes', 'codigo_de_leyes'}
cold	{'catarro', 'viejo', 'constipacion', 'resfrio_común', 'gripe', 'constipada', 'enfermedad_pulmonar_obstructiva_crónica', 'craig_david', 'frío', 'colitosa', 'pasado', 'rinofaringitis', 'resfrío_común', 'bronquítico', 'enfermedad_pulmonar_obstructiva_cronica', 'resfriado_comun', 'resfrío_comun', 'epoc', 'anticuado', 'nasofaringitis', 'resfriado_común', 'nicole_scherzinger', 'constipado', 'frio', 'bronquitico', 'resfrio_comun', 'despiadado', 'john_gary', 'bronconeumopatía_crónica_obstructiva', 'enfermedad_pulmonar_crónica_obstructiva', 'baja_temperatura', 'frialdad', 'stoney', 'temperatura_baja', 'gripa', 'fria', 'frígido', 'resfriamiento', 'sin_emoción', 'resfriado', 'desalmado', 'nicole_kea', 'distante', 'resfriados', 'a_sangre_fría', 'cold', 'enfermedad_pulmonar_cronica_obstructiva', 'anticatarral', 'resfrio', 'inhumano', 'resfrío', 'fría'}
collection	{'aliaune_thiam', 'cosecha', 'empresa_de_cobros_de_impagados', 'paquetes_de_productos', 'akon', 'mazhar-fuat-özkan', 'solicitud', 'cobro', 'colección_artistica', 'composición_de_objetos', 'colecta', 'the_offspring_collection', 'compania_de_coleccion', 'colección_artística', 'compania_de_colecciones', 'agregación', 'mazhar_fuat_ozkan', 'the_charlatans_uk', 'compañía_de_coleccion', 'empresa_de_cobros_de_morosos', 'joe_sample', 'empresa_de_cobros', 'hawkwind', 'recopilación', 'colección', 'petición', 'colección_de_libros', 'compañía_de_colección', 'hato', 'acumulación', 'mazhar_fuat-özkan', 'acopio', 'ensamblaje', 'conjunto', 'mazhar_fuat_özkan', 'mazhar-fuat-ozkan', 'serie_literaria', 'hatajo', 'mazhar_fuat-ozkan', 'compendio', 'cobro_de_deudas', 'coleccion_artística', 'collection', 'the_charlatans', 'recolección', 'grupo', 'montaje', 'recaudación_en_metálico', 'companía_de_coleccion', 'petitoria', 'compania_de_colección', 'pago_aplazado', 'companía_de_colección', 'compañia_de_colección', 'coleccionista_de_arte', 'cúmulo', 'colección_editorial', 'cobrador_de_deudas', 'relación', 'biblioteca', 'agrupación_de_trabajos', 'serie_de_libros', 'compañia_de_coleccion', 'contenedor', 'compilación', 'coleccion_artistica', 'colecciones_arte', 'mfö', 'recaudación_de_efectivo', 'colección_de_arte', 'compañia_de_colecciones', 'coleccion_de_arte'}
come	{'viajar', 'lefa', 'lograr', 'alcanzar', 'entrar', 'derivar', 'andar', 'leche', 'contactar', 'tener_un_orgasmo', 'plasma_seminal', 'ocurrirse', 'fluido_seminal', 'pegar', 'ocurrir', 'acabar', 'recorrer', 'espermatobioscopia', 'corrida', 'brotar', 'desenvolverse', 'mecos', 'surgir', 'llegado', 'sumar', 'suceder', 'ver', 'semen', 'arreglárselas', 'adicionar', 'come', 'provenir', 'acercarse', 'proceder', 'seguirse', 'venir', 'venirse', 'tincar', 'pertenecer', 'correrse', 'veerya', 'estar', 'resultar', 'esperma', 'encontrarse', 'eyacular', 'descender', 'ir', 'líquido_seminal', 'obtener', 'salir', 'ganar', 'arribar', 'llegar'}
computer	{'calculador', 'computadora_electrónica', 'calculista', 'música_computacional', 'compu', 'computadores', 'música_por_ordenador', 'la_computadora', 'computer', 'equipo_humano', 'computación_máquina', 'ordenador_de_propósito_general', 'computador_de_propósito_general', 'dispositivo_informático', 'clases_de_ordenadores:', 'tasador', 'computare', 'computadora_electronica', 'calculadora', 'computadora', 'sistema_de_procesamiento_de_información', 'informática', 'sistema_de_computación', 'computadora_digital', 'computación_digital', 'computadoras_digitales', 'música_generada_por_ordenador', 'procesador', 'pc', 'estimador', 'figurer', 'ordenadores', 'el_procesador_de_datos', 'ordenador_digital', 'computador_humano', 'sistemas_informáticos', 'tasadora', 'computador', 'equipo', 'computadoras', 'ordenata', 'ordenador', 'ordenadora', 'computador_de_proposito_general', 'sistema_informático', 'estimadora', 'computer_music', 'procesador_de_datos', 'clases_de_ordenadores', 'música_asistida_por_computadora', 'computers', 'calculadora_humana', 'composición_asistida_por_computadora', 'computador_digital'}
construction	{'runecrafting', 'construcción_de_edificios', 'estructura_de_interpretación', 'maqueta', 'construcción_gramatical', 'constructora', 'industria_de_la_construcción', 'tecnicas_de_construcción', 'estructura', 'rune_scape', 'expresión', 'proyecto_de_construcción', 'técnico_universitario_en_construcciones', 'runescape', 'estructura_construida', 'sector_de_la_construcción', 'construir', 'obra_de_construcción', 'técnicas_de_construccion', 'síntesis_mental', 'interpretación_judicial', 'técnicas_de_construcción', 'interpretacion_judicial', 'construcciones', 'tecnicas_de_construccion', 'modelo', 'construcción', 'interpretación_constitucional', 'construccion', 'edificación', 'tecnico_universitario_en_construcciones'}
cook	{'tergiversar', 'capitan_cook', 'hacer_trampa', 'cocinero', 'cook', 'ayudante_de_cocina', 'alec_empire', 'cocinero_poco_tiempo', 'cocineros', 'frederick_albert_cook', 'capitán_cook', 'confeccionar', 'sous-chef', 'bullir', 'hervir', 'formar', 'preparar', 'adulterar', 'uss_donald_cook', 'chef_ejecutivo', 'el_capitán_james_cook', 'cocer', 'james_cook', 'manipular', 'cocinera', 'captain_cook', 'jefe_de_cocina', 'guisar', 'asar', 'frederick_cook', 'chef_puesta', 'cocinar', 'pinche_de_cocina', 'chefs', 'alexander_wilke', 'cocinero_de_comida_rápida', 'falsificar', 'cocinero_profesional', 'cheff', 'desfigurar', 'falsear', 'fingir', 'crear', 'chef'}
correct	{'corregir', 'correcto', 'reprender', 'acertado', 'reñir', 'disciplinar', 'justo', 'exacto', 'exacta', 'bueno', 'razón', 'acertada', 'correcta', 'enmendar', 'increpar', 'ajustar', 'castigar', 'colocar', 'rectificar', 'compensar', 'contrapesar', 'criticar', 'desagraviar', 'adecuar'}
count	{'recuento', 'condal', 'obras_de_alejandro_dumas', 'cuende', 'considerar', 'el_conde', 'el_conde_de_monte-cristo', 'apostar', 'cómputo', 'lenguaje_de_consulta_estructurado', 'countship', 'importa', 'pesar', 'número', 'the_count', 'lista', 'sistema_numérico', 'comite', 'condes', 'conteo', 'escrutinio_definitivo', 'el_conde_de_montecristo', 'tener_en_cuenta', 'enumeracion', 'conde', 'andrea_cavalcanti', 'earl', 'sistema_de_numeracion', 'depender', 'condesa', 'enumerativo', 'sistema_de_numeración', 'escrutinio_provisorio', 'escrutinio', 'jarl', 'cuenta_llena', 'numeración', 'sql', 'edmon_dantes', 'el_conde_de_monte_cristo', 'cálculo', 'condado', 'cómite', 'enumeración', 'cuenta', 'importar', 'contar', 'enumerar', 'calcular', 'sequel', 'celda_activa'}
counting	{'principios_del_conteo', 'sistema_de_numeracion', 'principios_de_gelman_y_gallistel', 'enumerativo', 'sistema_de_numeración', 'numeración', 'cómputo', 'número', 'cálculo', 'enumeración', 'principios_de_conteo', 'cuenta', 'lista', 'sistema_numérico', 'contar', 'enumerar', 'conteo', 'enumeracion'}
crazy	{'the_r_e_d_album', 'my_garden', 'the_r.e.d._album', 'enajenación_mental', 'locuras', 'usher', 'c.r.a.z.y.', 'descabellado', 'locas', 'looney', 'lunatico', 'tipo_raro', 'chalado', 'crazy', 'excéntrico', 'chiflado', 'ido', 'loco', 'desquiciado', 'locos', 'cordura-locura', 'locamente', 'majara', 'desequilibrado', 'loca', 'the_r_e_d._album', 'you_drive_me_crazy', 'insania', 'playing_with_fire', 'c_r_a_z_y', '(you_drive_me)_crazy', 'the_r_e.d._album', 'pirado', 'demencia', 'erika_jayne', 'because_of_you', 'locura', 'majareta', '...famous_last_words...', 'disparatado'}
cut	{'recorte', 'acortar', 'recortado', 'capar', 'supresión', 'perforar', 'segar', 'disolver', 'sala_de_montaje', 'raja', 'simplificar', 'hacer', 'director_de_montaje', 'laceraciones', 'castrar', 'edición_cinematográfica', 'castrado', 'hiriendo', 'pista', 'redactar', 'herida_abierta', 'montaje_cinematográfico', 'central_única_dos_trabalhadores', 'ignorar', 'contraer', 'corte_principal', 'corte_de_carne', 'edicion', 'laceración', 'censura_de_prensa', 'incidir', 'parte', 'censura', 'cortes_de_carne', 'despreciar', 'edición', 'edición_de_películas', 'desdén', 'corte', 'emasculado', 'censores', 'trozo_de_carne', 'rebajado', 'reducir', 'virar', 'emitir', 'acortado', 'puñalada', 'rebajar', 'compendiar', 'montaje', 'hacer_novillos', 'cut', 'desconectar', 'girar', 'escamondar', 'cortadura', 'corte_profundo', 'faltar_a_clases', 'resumir', 'cielo_abierto', 'béisbol_columpio', 'incisión', 'herido', 'capado', 'cortar', 'segado', 'herir', 'edición_de_cine', 'seccionar', 'expender', 'extender', 'tajadura', 'heridas', 'desleír', 'aclarar', 'hendedura', 'montaje_cinematografico', 'encoger', 'apagar', 'saltarse', 'tajada', 'heridos', 'tajo', 'novillo', 'voltear', 'barato', 'confeccionar', 'desairar', 'cortarse', 'provecho', 'cuchillada', 'condensar', 'emascular', 'desaire', 'herida', 'cancelar', 'bajar', 'diluir', 'central_unitaria_de_trabajadores_de_chile', 'abreviar', 'recortar', 'hombro_frío', 'corte_y_relleno', 'cortado'}
damage	{'daños_y_perjuicios', 'perjudicar', 'deteriorarse', 'deformar', 'dañar', 'canon', 'precio_unitario', 'precios', 'daño', 'afear', 'tasa', 'deterioro', 'hecho_dañoso', 'manchar', 'destrozo', 'importe', 'degenerarse', 'estropear', 'daño_legal', 'condiciones', 'damage', 'deteriorar', 'degenerar', 'herida', 'mal', 'equipo_víctima', 'romper', 'marchitar', 'perjuicio', 'precio', 'desfigurar'}
