ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
rub	{'neteja', 'refregar-se', 'impediment', 'fregar', 'rascar', 'unglejar', 'ratllar', 'polir', 'refregar', 'arpar', 'esgarrapar', 'entrebanc', 'complicació', 'gratar', 'pega', 'dificultat', 'garfinyar', 'ruble_rus', 'netejar', 'fregar-se'}
sad	{'consternació', 'sadhe', 'צ', 'ṣād', 'tristor', 'pena', 'tristesa', 'ṣade', 'infelicitat', 'sade', 'dissort', 'lost_dogs', 'deplorable', 'trista', 'desgràcia', 'tsade', 'trist', 'trastorn_afectiu_estacional', 'ﺹ', 'ṣāḏē'}
salt	{'sal', 'salabror', "limitació_d'armes_estratègiques_converses", 'sals_iòniques', 'salt_i', 'sal_fina', 'sals_minerals', 'sal_del_camí', 'al-salt', 'sal_comuna', 'clorur_sòdic', 'cheryl_james', 'strategic_arms_limitation_talks', 'salt_ii', 'clorur_de_sodi', 'sal_de_taula', 'acords_salt', 'sals', 'salt', 'sal_mineral', 'saltenca', 'sal_de_cuina', 'saler', 'sal_de_potassi', 'salinitat', 'salar', 'saltenc', 'sal_negra', 'clna', 'aliment_salat', 'sal_sodi', 'sal_química', 'de_clorur_de_sodi', 'sal_iònica', 'salt-n-pepa', 'nacl', 'henry_salt', 'salat', 'producció_de_sal'}
sand	{'george_sand', 'passar_paper_de_vidre', 'schönenberg-kübelberg', 'ous', 'agalles', 'gra_de_sorra', 'arena', 'sorra', 'sand_am_main', 'aurore_dupin', 'moxie', 'sorres', 'amandine_aurore_lucie_dupin', 'sand', 'escatar', 'collons', 'coratge', 'pebrots', 'baronessa_dudevant'}
say	{'dir', 'declamar', 'osakis', 'parlar', 'articular', 'al·legar', 'manar', 'suposo', 'opinió', 'veu', 'thomas_say', 'say', 'ordenar', 'pronunciar', 'in_blue', 'recitar', 'contar', 'sentenciar', 'declarar', 'jean-baptiste_say', 'suposar', 'afirmar', 'manifestar'}
science	{'coneixement_científic', 'ciència', 'ciències', 'ciència_empírica', 'científiques', 'science', 'disciplina_científica', 'ciencia', 'habilitat', 'científica', 'ciència_convencional'}
scratch	{'cancel·lar', 'esgarrany', 'scratch_line', 'handicap', 'refregar-se', 'línia_de_sortida', 'gargot', 'malalties_de_la_pell', 'rascar', 'unglejar', 'esgarrinxar', 'moolah', 'lucre', 'diners', 'polir', 'esgratinyada', 'dermatosi', 'gravar', 'inscriure', 'scratch', 'sortida', 'crosta', 'gratar', 'lesions_a_la_pell', 'qualificació_de_curs', 'handicap_de_golf', 'incissió', 'cloïsses', 'garfinyar', 'liquenificació', 'peles', 'quartos', 'excoriacion', 'úlceres_a_la_pell', 'cacografía', 'calés', 'arrapada', 'shekels', 'vil_metall', 'peter_gabriel', 'gelt', 'pasta', 'pistrincs', 'raspar', 'kale', 'simoleons', 'escarabat', 'màcules', 'abrasió', 'ratllar', 'arpejar', 'condició_de_la_pell', 'esgarrinxada', 'bony', 'pústules', 'excoriació', 'vesícula', 'guixada', 'arpar', 'esgarrapar', 'trastorn_cutani', 'malaltia_cutània', 'marca', 'rascada', 'esgarrapada', 'dermatosis', 'cuques', 'fregar-se', 'induració'}
sea	{'euga_lunar', 'oceans', 'mars_lunars', 'mar_costanera', 'mar_grossa', 'mare', 'oceànics', 'medi_ambient_marí', 'espai_marítim', 'mar', 'oceà', 'sea', 'mars_de_la_lluna', 'mar_tancada', 'mar_continental', 'mar_costaner', 'mar_interior', 'mar_lunar', 'mar_tancat', 'mare_lunar'}
seafood	{'marisc', 'mariscs', 'peix_de_mar', 'mariscada'}
see	{'visió', 'explorar', 'ensopegar_amb', 'fantasia', 'testificar', 'esbrinar', 'veure', 'considerar', 'districte_de_le_lac', 'imaginar-se', 'estar_promès', "corba_de_sensibilitat_de_l'ull", 'escopolamina', 'burundanga', 'inspeccionar', 'sortir', 'visual', 'see', 'reconèixer', 'assegurar', 'seu_arquebisbal', 'hioscina', 'trobar', 'episcopal', 'sentir', 'visuals', 'vigilar', 'reunir-se', 'tycho', 'interrogar', 'determinar', 'comprendre', 'representar-se', 'entendre', 'examinar', 'testimoniar', 'mirant', 'assabentar', 'capturar', 'aprendre', 'hioscina_hidrobromida', 'conèixer', 'construir', 'mirar', 'figurar-se', 'presenciar', 'experimentar', 'visitar', "hidrobromur_d'hioscina", 'district_de_le_lac', 'estimar', 'assabentar-se', 'descobrir', 'decidir', 'seu', 'seu_episcopal', 'percepció_visual', 'acompanyar', 'vista', 'escortar', 'trobar-se', 'interpretar'}
seed	{'rafe', 'semi-final', 'play_off', 'venir', 'sement', 'eliminació_simple', 'sistema_eliminatori', 'preseleccionar', 'semença', 'llavor_aleatòria', "torneig_d'eliminació_simple", 'santi', 'episperma', 'semifinal', 'play-off', 'granar', 'caps_de_sèrie', 'cap_de_sèrie', 'germen', 'sublime', 'sense_llavors_jugador', 'semifinals', 'final_fantasy_viii', 'escorreguda', 'grana', 'random_seed', 'fluid_seminal', 'llavor', 'quarts_de_final', 'sembrar', 'testa', 'llet', 'sistema_k.o.', 'esperma', 'llavors', 'eliminació_directa', "torneig_d'eliminació_directa", 'quarts_final', 'seed', 'font', 'sistema_knock-out', 'semen', 'ejacular', 'semifinalista', 'torneig_eliminatori'}
sell	{'comerciant', 'comercialització', 'compra', 'venda', 'sell', 'comerç', 'comerciants', "vendre's", 'comercial', 'traficar', 'comerç_marítim', 'vendre', 'comerciar', 'trair'}
sew	{'confeccionar', 'stitchery', 'brodar', 'frunzir', 'cosit', 'costura', 'cosir'}
sexy	{'afrodisíac', 'sexy', 'elephunk'}
shape	{'constituir', 'faccions', 'modelar', 'forjar', 'garnatxa_tintorera', 'monestrell', 'primitiva', 'físic', 'forma_teatral', 'supreme_headquarters_allied_powers_europe', 'bod', 'influenciar', 'material_del_cos', 'primitiu_geomètric', 'anatomia_humana', 'influir', 'comandant_suprem_aliat_a_europa', 'monastrell', 'donar_forma', 'shape', 'cos_humà', 'cos_físic', 'determinar', 'carn', 'cuerpo', 'mourvèdre', 'garnatxa_tintera', 'configuració', 'figura', 'patró', 'cos', 'primitius', 'forma', "comandament_aliat_d'operacions", 'forma_geomètrica', 'forma_musical', '4-3-3', 'regularitzar-se', 'formar-se', 'formar', 'formació_wm', 'fisiologia_humana', 'estructura', 'pigmentació_de_la_pell', 'falsificar', 'fisonomia', 'quarter_general_suprem_de_les_potències_aliades_a_europa', 'soma', 'anatomia'}
sharp	{'fi', 'punxegut', 'adaven', 'brusc', 'skinheads_against_racial_prejudice', 'agut', 'sharp', 'repentí', 'incisiu', 'sagaç', 'astut', 'sostingut', 'sharp_corporation', 'afilat', 'estrident', 'sobtat', 'perspicaç', 'abrupte', 'penetrant'}
ship	{'trametre', 'vaixells', 'vaixell', 'expedir', 'barca', 'transportar', 'embarcar', 'embarcació', 'enviar', 'navili', 'nau', 'bóta_congrenyada'}
short	{'curtmetratges', 'curtcircuit', 'venda_en_descobert', 'venda_curta', "tot_d'una", 'baix', 'de_sobte', 'brusc', 'les_vendes_en_curt', 'curtmetratge', 'curt', 'abreujar', 'dues_reeler', 'abruptament', 'sec', 'precipitadament', 'dos_reeler', 'curt_circuit', 'escàs', 'curt-metratge', 'vendes_curtes', 'posició_curta', 'tema_curt', 'torpederos', 'fer_drecera', 'sobte', 'atallar', 'breu_parada', 'insuficient', 'exigu', 'venda_al_descobert', 'venda_a_crèdit', 'shortstop', 'campocorto', 'interbase', 'sobtadament', 'short'}
show	{'apostes', 'fires_del_comtat', "joc_d'aposta", 'anunciar', 'testificar', 'expressar', 'aparença', 'prestar', 'fira_del_comtat', 'the_show', 'presentar', 'revelar', 'introduir', 'establir', 'declarar', 'assenyalar', 'obsequiar', 'manifestar', 'signe', 'designar', 'jugadors', 'demostrar', 'demostració', 'mostra', 'exhibir', 'ressaltar', 'joc', 'indici', 'mostrar', 'marcar', 'aposta', 'provar', 'espectacle', 'exhibició', 'show_luo', 'show', 'jocs', 'retratar', 'implantar', 'instaurar', 'apuntar', 'guiar', 'instituir', 'ensenyar', 'espectacular', 'reflectir', 'indicar', 'evidenciar', 'registrar', 'xou', 'mostren', 'enregistrar'}
sign	{'signat', 'caràcter', 'senyalització_comercial', 'senyal_clínic', 'planetari_casa', 'polaritat', 'casa', 'casa_planetària', 'electronegativitat', 'electropositivitat', 'senyal_control', 'auguri', 'senyalística', 'signes_clínics', 'brown_eyed_girls', 'presagi', 'electropositiu', 'auspicis', 'assenyalar', 'signe_semiòtic', 'electronegatiu', 'signe_matemàtic', 'gest', 'símbol_gràfic', 'signe', 'no_negatiu', 'nombre_positiu', 'semiologia', 'senyalització', 'preindication', 'grafema', 'signe_astrològic', 'semiòtic', 'senyal', 'grafemes', 'auspici', 'anunci', 'signe_clínic', 'firmar', 'escala_de_mulliken', 'subscriure', 'signe_lingüístic', 'escala_de_pauling', 'marca', 'ratificar', 'rètol', 'semiòleg', 'semiòtica', 'signe_del_zodíac', 'indicar', 'signe_zodiacal', 'signe_de_zodíac', 'signar', 'mostra_mèdica', 'grafia'}
silly	{'ximplet', 'gamarús', 'atordit', 'toix', 'estúpid', 'hokum', 'disbarat', 'idiota', 'pallús', 'inintel·ligent', 'curt', 'cretí', 'ximple', 'imbècil', 'obtús', 'informal', 'aturat', 'esbojarrat', 'estirabot', 'bestiesa', 'atuït', 'silly', 'bajanada', 'babau', 'bèstia', 'sense_sentit', 'despropòsit', 'estamordit', 'ridícul', 'ximpleria_poc_amagada', 'ruc', 'lent', 'eixalabrat', 'beneit'}
sin	{'funció_si', 'pecat', 'aeroport_de_singapur-changi', 'pecar', 'sense', 'pecador', 'pecadors', 'šīn', 'šin', 'aeroport_internacional_de_singapur-changi', 'sinhala', 'pecaminositat', 'sin', 'maldat', 'si', 'cingalès', 'singalès', 'sinus', 'xīn', 'shin', 'perversitat', 'pecats', 'idioma_singalès', 'regne_de_sine', 'nanna'}
sing	{'parlotejar', 'vocalitzant', 'parlar', 'cants', 'leisure', 'sing', 'harmonia_vocal', 'xerrar', 'cantant', 'cant', 'veu', 'divulgar', 'revelar', 'veus_netes', 'cantar', 'vocalista', 'xiular', 'veu_musical', 'cantant_pop', 'cantor', 'cantants', 'veu_femenina', 'murmurar', 'vocalistes'}
sit	{'arraulir-se', 'cavalcar', 'posar', "seure's", 'parar-se', 'assentar', 'muntar', 'agotnar-se', 'assegut', 'asseure', 'seure', 'colcar', "asseure's"}
skin	{'la_pelle', 'manicomi', 'plugins', 'bot', 'ray_of_light', 'almost_human', 'pellofa', 'cutani', 'skin', 'institució_per_a_malalts_mentals', 'targeta_de_circuit', 'plaques_de_circuit_imprès', 'skinnable', 'cutània', 'circuits_impresos', 'la_pell', 'cutis', 'primera_temporada_de_supernatural', 'odre', 'pela', 'targeta_de_circuit_imprès', 'closca', 'targeta_de_circuits', 'pell', 'escorçar', 'tegument', 'plugin', 'pujar', 'decorticar', 'pell_de_gallina', 'circuit_imprès', 'day_for_night', 'complement', 'pelar', 'escorxar', 'placa_de_circuit_imprès', "targeta_d'expansió", 'connector', 'psiquiàtric', 'blender', 'hospital_psiquiàtric', 'cuir', 'avió_poder', 'plug-in', 'r._kelly', 'parentiu_aborigen_australià'}
sky	{'blau_cel', 'team_sky', 'firmament', 'ceruli', 'èter', 'cel', 'safir', 'cerulean', 'atmosfera_terrestre', 'sky_procycling', 'credo', 'sky', 'atmosfera_superior', 'sky_airlines', 'atmosfera_de_la_terra', 'cel_blau', 'british_sky_broadcasting', 'lazuline', 'sky_professional_cycling_team', 'atmosfera_de_terra', 'sky_pro_cycling', 'atzur', 'sky_plc', 'aire', 'heterosphere', 'stacey_king', 'winx_club', 'bskyb', 'thatgamecompany', 'blau', 'anexo:séptima_temporada_de_winx_club'}
sleep	{'son', 'el_descans_etern', 'cop_de_gràcia', 'suport', 'son_en_els_animals', 'the_black_parade', 'fases_dels_somnis', 'adormit', 'sopor', 'espera', 'sleep', 'house_of_wolves', 'dorment', 'aturada_temporal', 'migdiada', 'somni_etern', 'hibernació', 'somni', 'dormisquejar', 'dormir'}
small	{'modest', 'reduït', 'petit', 'empetitit', 'minúscul', 'john_kunkel_small', 'fluix', 'dèbil', 'minúscula', 'lumbar', 'menut', 'diminut', 'humil', 'senzill', 'poc', 'feble', 'small'}
smart	{'llest', 'espavilat', 'desvetllat', 'llestesa', 'picar', 'smart', 'intel·ligent', 'intel_·_ligent', 'intel_·_ligència', 's.m.a.r.t.', 'pruir', 'capacitat_mental', 'inteŀligència', 'descarat', 'insolent', 'despert', 'brillant', 'coïssor', 'intel·lecte', 'fresc', 'viu', 'impertinent', 'intel.ligència', 'impudent', 'intel·ligència', 'elegant', 'picor', 'intel•ligència', 'coure', 'fer_mal'}
smell	{'propietat_olfactiu', "l'_olfacte", 'olfacció', 'esperit', 'to', 'olfacte', 'fer_pudor', 'pudir', 'inodor', 'percepció_olfativa', 'percepció_olfactiva', 'olfactiva', "sentit_de_l'olfacte", 'olor_desagradable', 'empudegar', 'sensació_olfactiva', 'modalitat_olfactiva', 'olor', 'empestar', 'aroma', 'olorant', 'sentiment', 'olfactiu', 'sentir', 'sistema_olfactiu_accessori', 'olorar'}
smiling	{'somrient', 'somrís', 'somriure'}
smoke	{'tabac', 'vapor', 'fumat', 'deessa_verd', 'consum_de_tabac', 'fumada', 'burilla', 'cigarret', 'cigarreta', 'planta_de_tabac', 'mary_jane', 'sens', 'de_plantes_de_tabac', 'sess', 'smoke', 'efecte_kerr_magneto-òptica', 'nicotiana', 'cigarretes', 'fumar', 'rotllo_de_tabac', 'fum', 'recta', 'fumejar', 'bola_ràpida', 'cigaret', 'puros', 'cigarro', 'punta', 'yin_yang_yo!', 'fums', 'cigarrets'}
smooth	{'fluent', 'aplanar', 'llustrar', 'gerald_albright', 'lustrar', 'stypsis', 'raspallar', 'assuavir', 'fruites', 'reparar', 'quiet', 'assossegat', 'sec', 'polir', 'suavitzar', 'assuaujar', 'allisar', 'enllustrar', 'serè', 'llis', 'lleuger', 'astrigència', 'smooth', 'suau', 'mineralitat', 'nombre_llis', 'calmat', 'brunyir', 'tranquil', 'plàcid', 'fluid', 'cos', 'equilibri'}
snake	{'serp', 'proteròglifa', 'solenòglif', 'serp_amb_ullals', 'àglif', 'opistòglif', 'ah-1_cobra', 'codi_gray', "serp_a_l'herba", 'serps', 'snake_indians', 'solid_snake', 'ophidia', 'serpentes', 'snake_river', 'riu_snake', 'ofidi', 'hidra_femella', 'snake', 'opistòglifa', 'àglifa', 'bell_ah-1_cobra', 'constel·lació_hidra_femella', 'hydra', 'proteròglif', 'esquelet_de_la_serp', 'serpent', 'snake_jailbird', 'indis_snake', 'solenoglifa'}
snow	{'nevar', 'baró_snow_de_leicester', 'charles_percy_snow', 'marfil', 'nas_caramel', 'floc_de_neu', 'flocs_de_neu', 'the_warriors', 'c._p._snow', 'vori', 'neu', 'blanquinós', 'coberta_de_neu', 'ffmpeg', 'ivori', 'nevades', 'snow', 'nevada', 'capa_de_neu', 'els_amos_de_la_nit', 'les_nevades'}
solution	{'solucions', 'dissolució_química', 'solució_química', 'solució', 'resolució', 'solucions_sobresaturades', 'disolució', 'resolució_de_problemes', 'solution', 'resultat', 'dissoldre', 'resposta', 'dissolucions', 'soluts', "resolució_d'equacions", 'dissolució', 'dissolucio'}
some	{'una_mica', 'aproximadament', 'més_o_menys'}
soul	{'aiúa', 'soul', 'qualcú', 'ànima_immortal', 'psique', 'soul_music', 'soulfulness', 'individus', 'individual', "sobre_l'ànima", 'de_anima', 'ésser_humà', 'ànimes', 'música_soul', 'ànima', 'humà', 'algú', 'mortal', 'individu', 'persona'}
sound	{'ona_acústica', 'bé', 'raonable', 'canal', 'sonar', 'els_sons_de_la_parla', 'sons', 'fer_sonar', 'ona_de_so', 'so_de_la_parla', 'sò', 'fon', 'fer_fila', 'tecnocumbia', 'telèfon', 'intel·ligent', 'estrets', "sonar_l'alarma", 'estret', 'fer_sorolls', 'bo', 'soroll', 'sensat', 'sa', 'semblar', 'fonema', 'sondar', 'encertat', 'raonat', 'so', 'àudio', 'direccionalitat_del_so', 'sonda', 'ones_sonores', 'sensació_auditiva', 'ona_sonora'}
spit	{'spit', 'esputació', 'enfilar', 'fletxa_litoral', 'llengua_de_sorra', 'saliva', 'plovisquejar', "a_l'ast", "cocció_a_l'ast", 'cordó_litoral', 'escopir', 'esquitxar', 'deixar-la_anar', 'ast', 'ploviscar', 'esputar', 'expectoració', 'llengua_de_terra', 'rostidor', 'enastar', 'salivació'}
split	{'homozygosity', 'divisió', 'repartir', 'birds_of_prey', 'separar', 'rebentar', 'partir', 'separar-se', 'hemizigots', 'esquerdissar', 'desenllaçar', 'dividit', 'discorde', 'heterozigosi', 'desdoblar', 'homocigosidad', 'esquinçada', "divisió_d'accions", 'lema_divisió', 'cisma', 'heterozigot', 'rebentar-se', 'tallar', 'estrip', 'petar', 'esquinçar', 'homozigots', 'cigosidad', 'distanciar-se', 'explotar', 'spalato', 'descosir-se', 'heterozigots', 'escindir', 'esquerdar-se', 'estripada', 'split', 'fendre', 'esberlar-se', 'homozigot', 'dividir', 'dividir-se', 'fendir', 'esquinç'}
spoke	{'comunicació_oral', 'parla', 'parlar', 'llengua_parlada', 'spoke', 'llenguatge', 'radio', 'rundle', 'discurs_de_la_comunicació', 'comunicació_de_veu', 'llenguatge_oral', 'radis', 'llengua', 'idioma', 'llenguatge_humà', 'radi', 'llenguatge_parlat', 'la_comunicació_oral', 'llengua_oral', 'roda_va_parlar'}
squeeze	{'zugzwang_lite', 'comprimir', 'apretar_lleugerament', 'obligar', 'arruïnar', 'crisi_de_liquiditat', 'extorsionar', 'zugzwang', 'compactar', 'encabir', 'esprémer', 'xafar', 'estretir', 'masegada', 'esclafar', 'premsar', 'abraçar', 'sota_pressió', 'entaforar', 'estrènyer', 'emplenar', 'abraçades', 'omplir', 'arrabassar', 'espremuda', 'crisi_de_crèdit', 'pessigar', 'forçar', 'farcir', 'prémer', 'moldre', 'tasconar', 'estrenyent', 'aclaparar', 'contracció_del_crèdit', 'ficar', 'crisi_creditícia', 'embotir', 'falcar', 'extorquir', 'atapeir', 'escórrer', 'the_squeeze', 'squeeze', 'encaixar', 'abraçada', 'aixafar', 'coaccionar'}
stab	{'ganivet_empenta', 'apunyalar', 'punyalada', 'acoltellar', 'coltellejar', 'scream_2', 'picar', 'intent', 'punyalada_botzina', 'ganivetada', 'punxar'}
stand	{'plantació', 'punt_de_vista', 'plantacions_de_sucre', 'punt_de_vista_tècnic', 'paralització', 'estar_dret', 'aixecar-se', 'hort', 'visió', 'òptica', 'quiosc_de_música', 'aguantar', 'paradeta', 'verger', 'quiosc', 'vendes_cabina', 'aixecar', 'agricultura_de_plantació', "jojo's_bizarre_adventure", 'jonathan_joestar', 'base', 'posar-se_dempeus', 'estar_a_peu_dret', 'estar_dempeus', 'prendre', 'susan_ashton', 'sofrir', 'plantació_de_sucre', 'plantacions', 'resistència', 'parada', 'fonament', 'horta', 'horts', 'perspectiva', 'punt', 'peu', 'immobilització', 'suport', 'caseta', 'woodlet', 'postada', 'templet', 'plantacions_de_cautxú', 'associació', 'alçar', 'suportar', 'plantació_cafè', 'llevar', 'posar_dret', "escenari_a_l'aire_lliure", 'pedestal', 'plantació_cotó', 'tolerar', 'stand', 'horticultor'}
star	{'actor_principal', 'crack', 'estrela', 'estrella_cinematogràfica', 'tar.gz', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'the_star', 'celebritats', "topologia_d'estrella", 'hotshot', 'polígons_estrellats', 'estrelles', 'asterisc', 'as', 'xiulet', 'expert', 'maven', "l'estrella_de_cinema", 'mavin', 'xarxa_en_estrella', 'destre', 'protagonista', 'estrella', 'estrelles_de_cinema', 'famós', 'virtuós', 'wiz', 'polígon_estelat', 'ilean_almaguer', 'estel_fix', 'estel', 'topologia_en_estrella', 'tar', 'estelle', 'hotel_de_cinc_estrelles', "gràfic_d'estrella", 'estrella_de_cinema', 'temperatura_de_superfície', 'protagonitzada_per', 'repartiment', 'superestrella', 'polígon_estrellat', 'personalitat_dels_mitjans', 'star', 'estels', 'headliner', 'protagonitzar', 'celebritat', 'estrella_de_cine', 'artista_de_cine', 'categoria', 'personalitat_de_la_televisió', 'persona_famosa', 'estel·lar', 'xerox_star', 'geni', 'adepte', 'polígon_estrella', "forma_d'estrella", 'actriu_principal'}
stick	{'clapstick', 'may', 'aferrar-se', 'vincular', 'romandre', 'picar', 'pal', 'piu', 'canvis', 'enganxar', 'american_standard_code_for_information_interchange', 'ceba', 'adherir', 'canvi_manual', 'lligar', 'synchromesh', 'cigarret_de_marihuana', 'jaqueta', 'punxar', 'aferrar', 'quatre_papers', 'kiki', 'el_control_estic', 'palanca_de_control', 'mangala', 'joysticks', 'hostatjar-se', 'restar', 'flai', 'joint', "codi_estàndard_americà_per_intercanvi_d'informació", 'allotjar-se', 'canut', 'canya', 'irritar', 'palanca_de_comandament', 'ascii', 'canuto', 'maneta', 'transmissió_estàndard', 'porra_de_policia', 'billy_club', 'molestar', 'bastó', 'donar_suport', 'encolar', 'canyeta', 'barra', 'spliff', 'tasconar', 'ele', 'tres_papers', 'palanca', 'transmissió_manual', 'fletxa', 'falcar', 'clavilla', 'incomodar', 'biturb', 'quedar-se', 'billystick', 'articulació', 'garrot', 'joystick', 'cotxe_amb_marxes', 'pegar_canvi', 'codi_ascii', 'adherir-se', 'bastons', 'desconcertar', 'porra', 'peta', 'porret', 'quedar', 'porro', 'punyir', 'encaixar'}
stone	{'harlan_fiske_stone', 'pedra_preciosa', 'roc', 'quer', 'pedres_precioses', 'pedra', 'pedres', 'pedres_semiprecioses', 'gemmes', 'pedra_semipreciosa', 'isidor_feinstein_stone', 'petri', 'joies', 'cicle_de_les_roques', 'pericarpi', 'pell_de_roca', 'pedres_semi-precioses', 'pericarp', 'carreu', 'harlan_fisk_stone', 'semi-precioses', 'lapidar', 'roques', 'harlan_stone', 'i._f._stone', 'pinyol', 'endocarpi', 'roca', 'stone', 'picul', 'gemma', 'edward_durell_stone', 'lucy_stone', 'materials_petris', 'pic_rocós', 'espinyolar', 'oliver_stone', 'harlan_f._stone'}
straight	{'directament', 'hetero', 'seguit', 'dret', 'erecte', 'rígid', 'dreçat', 'heterosexualisme', 'recta_final', 'recte', 'tes', 'escala', 'heterosexual', 'cap', 'immediatament', 'llis', 'persona_heterosexual', 'heterosexualitat', 'recta', 'consecutiu', 'heterosexuals', 'persona_directament'}
student	{'estudianta', 'persona_erudita', 'any', 'alumnes', 'botiga_de_llibres', 'educant', 'llibreter', 'estudiants', 'alumna', 'bookman', 'llibreters', 'christ_church_college', 'erudit', 'pupil', 'alumne', 'llibreria', 'estudiant', 'william_sealy_gosset', 'venda_de_llibres', 'estudiós', 'llibreries', 'william_sealey_gosset', 'alumnat', 'student'}
stupid	{'gamarús', 'estúpid', 'toix', 'idiota', 'pallús', 'inintel·ligent', 'curt', 'cretí', 'obtús', 'imbècil', 'ximple', 'raven-symone', 'pobre_peix', 'aturat', 'babau', 'idiòcia', 'bèstia', 'lent', 'pillock', 'inintel·ligència', 'estabornit', 'pudden_de_cap', 'majareta', 'estupidesa', 'ase'}
successful	{'afortunat', 'exitós', 'reeixit', 'pròsper', 'prosperós', 'successful', 'venturós'}
suck	{'llepar-se', 'xuclar', 'xuclada', 'alletar', 'absorbir', 'llepar', 'succió'}
sugar	{'glícid', 'batman_forever', 'nivells_sucre', 'lucre', 'diners', 'moolah', 'carbohidrat', 'glúcid', 'comerç_de_sucre', 'hidrats_de_carboni', 'glúcids', 'sucre_blanc', 'sucres_en_el_vi', 'glassheart', 'sucre_en_el_vi', 'cloïsses', 'quartos', 'peles', 'ensucrat', 'sacàrid', 'calés', 'shekels', 'vil_metall', 'gelt', 'sucre', 'terròs_de_sucre', 'pasta', 'pistrincs', 'kale', 'ensucrar', 'simoleons', 'hidrat_de_carboni', 'sucres', 'sugar', 'endolcir', 'carbohidrats', 'sacàrids', 'cuques', 'sucre_refinat', 'sacarosa'}
sun	{'seon', 'estel_fix', 'sun_television', 'radiació_solar', 'helios', 'domenge', 'lluna', 'mercuri', 'the_sun', 'dia_dominical', 'mart', 'cun', 'llum_natural', 'sun', 'utug', 'sun_microsystems', 'prendre_el_sol', 'diumenge', 'solntse', 'estrella_fixa', 'il_·_luminació_natural', 'utu', 'dominicus', 'dia_de_missa', 'sol', 'assolellar-se', 'estrelles_fixes', 'espectre_solar', 'dia_del_senyor', 'llum_del_sol', 'llum_solar', 'el_sol', 'venus', 'júpiter', 'sun-hwa_kwon', 'assolellar', 'signe_solar'}
suspect	{'robert_crais', 'afigurar-se', 'desconfiar', 'autor', 'il_sospetto', 'demandat', 'sospitosos', 'suspició', 'acusat', 'desconfiança', 'intuir', 'malfiar-se', 'recelar', 'dubtós', 'acusada', 'estrany', 'recel', 'sospitós', 'sospitar', 'acusats', 'la_sospita', 'sospita', 'rar'}
swell	{'dilatar-se', 'bestial', 'marejol', 'gomós', 'gran', 'bufanúvols', 'enorme', 'marejada', 'onatge', 'botir', 'swell', 'augmentar', 'inflar', 'fantàstic', 'onada_crestless', 'guai', 'pujar', 'petimetre', 'genial', 'súper', 'excel·lent', 'inflar-se', 'rajar', 'galà', 'brutal', 'brollar', 'fenomenal', 'estenedor', 'dandi'}
swim	{'estils_natacio', 'ray_of_light', 'natació_competitiva', 'papallona', 'natació', 'flotar', 'esquena', 'estils_de_la_natació', 'braça', 'nedador', 'surar', 'nedadora', 'estil_papallona', 'locomoció_aquàtica', 'nedar'}
table	{'cuina', 'lookup_table', 'taula_harmònica', 'recerca', 'matriu_tabular', 'element_html', 'taula_indexada', 'muntanya_tabular', 'ajornar', 'altiplà', 'posposar', 'caixa', 'relació', 'lut_(look_up_table),', 'demorar', 'placa_de_so', 'cerca', 'taula', 'iframe', 'tabular', 'taula_de_base_dades', 'caixa_de_ressonància', 'tapa_harmònica', 'endarrerir', 'mesa', 'altiplans', 'soundboard', 'lut', 'taula_de_consulta'}
tail	{'dorsoventral', 'mirall_de_popa', 'aboral', 'seguir_la_pista', 'ventrolateral', 'distal', 'cabal', 'ipsilateral', 'plantar', 'pastes', 'paner', 'pandero', 'apical', 'ordre_de_batuda', 'regió_glútia', 'empenaje', 'termes_anatòmics_de_localització', 'seguir', 'ordre_mitjà', 'cua', 'contralateral', 'keister', 'cul', 'alineació', 'lateral', 'dorsolateral', 'termes_per_a_la_localització_anatòmica', 'basal', 'perseguir', 'pla_anatòmic', 'tail', 'tush', 'cranial', 'extrem_posterior', 'després_que_part', 'natges', 'imbècil', 'proximal', 'línia_mitjana_clavicular', 'remedador', 'derrière', 'formació', 'tafanari', 'darrere', 'tooshie', 'ventral', 'la_cua_de_muntatge', 'posteriorment', 'restes', 'rastrejar', 'caudalment', 'col_·_ender', 'nates', 'popa', 'col_·_end', "batedor_d'obertura", 'postura_corporal', 'natja', 'empaitar', 'tailender', 'anatomia_descriptiva', 'posterior', 'caudal'}
taste	{'gustació', 'percepció_del_gust', 'tastar', 'degustació', 'sabor_bàsic', 'preferències', 'gustar', 'mal_gust', 'predilecció', 'sabor', 'gust_estètic', 'insípid', 'sentit_del_gust', 'provar', 'gust_sensació', 'taste', 'tast', 'percepció_gustativa', 'preferència', 'apreciació', 'gustos_bàsics', 'assaborir', 'gustation', 'el_gust', 'inclinació', 'sabors_naturals', 'modalitat_gustativa', 'tast_a_cegues', 'tast_de_vins', 'degustar', 'gustatiu', 'gust_artístic', 'gust', 'nowhere', 'sensació_gustativa', 'bon_gust', 'potenciador_del_sabor', 'discerniment', 'saboritzants_artificials'}
