ability	{'yetenek', 'yeteneği'}
white	{'caucasoid', 'üç_renk:_beyaz', 'ten_rengi', 'latino', 'aklık', 'beyaz', 'ak', 'edward_douglas_beyaz_jr', 'kafkas_ırkı', 'white_river', 'ovalbumin', 'magic:_the_gathering', 'beyazlık', 'patrick_victor_martindale_beyaz', 'stanford_white', 'fildişi', 'patrick_white', 'andrew_dickson_beyaz', 'pieris', 't._h._white', 'yumurta_akı', 'andrew_d._beyaz', 'andrew_dickson_white', 'kirli_beyaz', 'elwyn_brooks_beyaz', 'kafkas_ırkları', 'edward_white', 'theodore_harold_beyaz', 'kafkas', 'edward_d._beyaz', 'beyaz_ırk', 'cilt_rengi', 'e.b._white', 'e._b._white', 'siyah', 'beyazlar', 'blackface', 'white_airways', 'e._b._beyaz', 'caucasoid_yarışı', 'beyaz_insanlar', 'white', 'caucasoids', 'direnişçi', 'beyaz_kişi', 'hispanik'}
who	{'dünya_sağlık_örgütü', 'zayn_jawaad_malik', 'zayn_javaad_malik', 'world_health_organization', 'pete_townshend', 'zayn_malik', 'who', 'the_who', 'dünya_sağlık_teşkilatı', 'jim_neidhart', 'dsö'}
wide	{'geniş', 'vasi'}
wife	{'evli_kadın', 'karı', 'eş', 'zevce', 'kadın_eş', 'refika'}
willingly	set()
wind	{'flatus', 'müşteri_adayı', 'aday_müşteri', 'üflemeliler', 'destekçi_adayı', 'wind', 'elektromanyetik_bobin', 'wiatr', 'ruzgar', 'hava_akımı', 'yel', 'rüzgar', 'farting', 'rüzgar_yardımı', 'gizli_bilgi', 'boşta_sözler', 'rüzgar_kırma', 'nefesli_çalgılar', 'nefesli_çalgı', 'rüzgarlar', 'aer', 'malarky', 'osuruk', 'rüzgar_bora', 'hava', 'akeboshi', 'satış_fırsatı', 'rüzgâr', 'potansiyel_müşteri', 'sarma', 'rüzgar_destekli', 'üflemeli_çalgılar', 'saçmalık', 'rüzgar_hızı', 'çan', 'üflemeli_çalgı'}
wing	{'kulis', 'wing', 'guard_ileri', 'böcek_uçuşu', 'uçak_kanadı', 'ek', 'gitmek', 'uçmak', 'kol', 'tighthead_pervane', 'kanat', 'filo', 'swingman', 'sinek_yarısı', 'ek_bina', 'spoyler', 'kuş_uçuşu', 'gone_again', 'de_tekerlek_edilir', 'hindwing', 'sol_kanat', 'spoiler', 'air', 'flyhalf', 'seyahat_etmek', 'kuliste', 'sınırdaş', 'çamurluk'}
wipe	{'ovalama', 'silmek', 'ovma', 'silme'}
with	set()
woman	{'nancy_benoit', 'gacı', 'cıvır', 'erişkin_kadın', 'woman', 'kadın', 'bayan', 'kadın_temizlik', 'hatun', 'dişi', 'temizlikçi_kadın', 'bayan_temizlik', 'gündelikçi', 'klaatu', 'a_woman', 'kadınlar', 'harry_styles'}
word	{'şeref_sözü', 'mukaddes_kitap', 'dini_metin', 'kutsal_kitaplar', 'hıristiyan_kutsal', 'incil', 'logos', 'sözcük', 'i̇lahi_kitap', 'kitab-ı_mukaddes', 'i̇ncil', 'kutsal_kitap', 'kelime_uzunluğu', 'ms-word', 'tartışma', 'deyi', 'inciller', 'geçiş_kodu', 'kutsal_kitaplar_listesi', 'bağış_sözü', 'oğlu', 'oğul', 'parola', 'kutsal', 'microsoft_word', 'kelime_boyutu', 'word', 'kelime', 'kutsal_metin', 'veri_kelimesi', 'şifre', 'kutsal_metin_listesi', 'ahit_yazarları', 'münakaşa', 'kitabı_mukaddes', 'bahıs', 'hıristiyan_incil', 'dini_metinleri', 'logolar', 'haber', 'kutsal_metinler'}
worm	{'bilgisayar_solucanı', 'solucanı', 'avrupa_ejderha', 'solucan_yazılım', 'kir_topu', 'kurt', 'worm', 'toprak_solucanları', 'solucanlar', 'solucan'}
year	{'güneş_yılı', 'kozmik_yıl', 'ma', 'yıllık', 'yr', 'mevsim_yılı', 'astronomik_yıl', 'yılın_kaynaklanmaktadır', 'göksel_yıl', 'uzun_süre', 'megaannum', 'yıldız_yılı', 'çağ', 'tropikal_yıl', 'ayrıksı_yıl', 'ay_yılı', 'oniki_ay', 'yıl', 'sene'}
yellow	{'huang_nehri', 'huang_he', 'altın_nehir', 'hong_jin-ho', 'eiko_shimamiya', 'sarı_irmak', 'sarı', 'sarı_saçları', 'sarı_ırmak', 'huangho', 'sarı_nehir', 'hwang_ho', 'korkak', 'yellow', 'zebrahead', 'sarı_ışık', 'sarışın', 'sarılık', 'huang_ho'}
you	{'siz', 'pablo_honey', 'janne_da_arc', 'you', 'monster', 'the_real_testament', 'amy_lynn_lee', 'amy_lee', 'the_mail_on_sunday', 'fly', 'amy_lynn_lee_hartzler', 'no_control', 'sen'}
