ability	{'aptitude', 'schopnost', 'talent'}
star	{'vznik_hvězdy', 'hvězdy', 'superstar', 'filmových_hvězd', 'star', 'ilean_almaguer', 'zběhlý', 'headliner', 'hvězdiček', 'kouzelník', 'hvězda_graf', 'hrát', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'mediální_osobnost', 'the_lamb', 'vznik_hvězd', 'tar', 'herec_v_hlavní_roli', 'herečka_v_hlavní_roli', 'filmová_hvězda', 'estelle_swaray', 'slavná_osoba', 'hvězd', 'bcg_matice', 'estelle_fanta_swaray', 'svištět', 'adept', 'the_star', 'steroidů_akutní_regulační_protein', 'celebrita', 'mág', 'parmice', 'maven', 'xerox_star', 'vedoucí_herec', 'tar.gz', 'hvězdicová_topologie', 'pěti-hvězdičkový_hotel', 'celebrity', 'odborník', 'eso', 'zánik_hvězd', 'hvězdy_polygonu', 'hvězda', 'hvězdička', 'wiz', 'mavin', 'expert', 'popstar', 'pětihvězdičkový_hotel', 'asterisk', 'estelle', 'druhy_hvězd', 'zánik_hvězdy', '*', 'televizní_osobnost', 'odbornice', 'hlavní_role'}
stick	{'sukovice', 'ascii_kód', 'americký_standardní_kód_pro_výměnu_informací', 'joint', 'krátký_posunovač', 'krátké_páky', 'billy_club', 'křížový_ovladač', 'klacek', 'řídící_páky', 'manuální_převodovkou', 'hůlka', 'svázat', 'obušek', 'pendrek', 'billy_klub', 'clapstick', 'spliff', 'obušky', 'špek', 'joystick', 'zůstat', 'hůl', 'manuální_převodovka', 'pákový_ovladač', 'stick_shift', 'standard_ascii', 'billystick', 'standardní_přenos', 'joysticky', 'policejní_obušek', 'marihuana_cigareta', 'synchronizovaná', 'obušku', 'marihuanová_cigareta', 'ascii', 'vycházkových_holí'}
stone	{'pecka', 'hornina', 'endocarp', 'harlan_fiske_kámen', 'lucy_stone', 'bikoru', 'oplodí', 'perikarp', 'oliver_stone', 'vypeckovat', 'semi-drahých', 'harlan_f._stone', 'harlan_kámen', 'polodrahokam', 'exokarp', 'kámen', 'mezokarp', 'horniny', 'picul', 'drahokam', 'drahokamy', 'i._f._stone', 'harlan_fisk_kámen', 'kameny', 'klenot', 'šperky', 'edward_durell_kámen', 'endokarp', 'kamene', 'lucy_kámen', 'drahých_kamenů', 'stone', 'drahé_kameny', 'semi-drahých_kamenů', 'past', 'harlan_fiske_stone', 'drahý_kámen', 'isidor_feinstein_kámen'}
straight	{'rovnou', 'heterosexuálové', 'kříž', 'rovný_člověk', 'hned', 'cílové', 'rovně', 'heterosexualita', 'heterosexuality', 'heterosexuální', 'heterosexuální_orientace', 'cílová_rovinka', 'heterosexuální_založení', 'heterosexuálů', 'postupka', 'přímo', 'heterosexuál', 'nudný', 'rovné', 'hetero', 'heterosexuální_osoba', 'heterosexualism', 'heterosexuální_preference', 'heterosexuální_zaměření'}
student	{'študák', 'učený_člověk', 'studentka', 'knihkupců', 'christ_church_cathedral', 'študent', 'william_sealy_gosset', 'educatee', 'knihkupec', 'učenec', 'bookman', 'studenti', 'student', 'knižního', 'prvního_ročníku', 'studující', 'knihkupectví', 'christ_church'}
stupid	{'hloupý', 'stupidita', 'pillock', 'hloupost', 'hloupý_člověk', 'blbost', 'špatná_ryby', 'raven-symone', 'hlupák', 'pudden_hlava', 'hlouposti', 'stupe', 'pudink_hlava'}
successful	{'successful'}
suck	{'sání', 'sát', 'sací_reflex', 'kojit'}
sugar	{'sugar', 'kostky_cukru', 'uhlovodan', 'glycidy', 'sacharidů', 'cukr', 'stolní_cukr', 'uhlohydráty', 'lotů', 'sacharidy', 'glassheart', 'batman_forever', 'simoleons', 'sacharid', 'gelt', 'batman_navždy', 'moolah', 'cukru', 'cukrů', 'dinero', 'glycid', 'karbohydrát', 'uhlovodany', 'hladiny_cukru', 'sugar!', 'rafinovaný_cukr', 'škeble', 'bílý_cukr', 'moučkový_cukr', 'mamon', 'uhlohydrát', 'karbohydráty', 'cukrů_ve_víně', 'cukry'}
sun	{'sonne', 'znamení_slunce', 'den_páně', 'mars', 'neděli', 'sun', 'utu', 'do_světla', 'sun-hwa_kwon', 'šamšu', 'sunmicrosystems', 'slunit', 'merkur', 'cun', 'dominicus', 'měsíce', 'jupiter', 'the_sun', 'stálice', 'šamaš', '☼', 'sun_television', 'sluneční_světlo', 'neděle', 'slunečního_spektra', 'utug', 'sol', 'sun-hwa_kwonová', 'seon', '☉', 'sun_microsystems', 'venuše', 'měsíc', 'stálici', 'slunce', 'záření_sluneční', '孫'}
suspect	{'žalovaná', 'robert_crais', 'podezření', 'pachatel', 'nedůvěra', 'podezřelých', 'odpůrce', 'podezírat', 'podezřelého', 'obžalovaný', 'podezřelý', 'žalovaný', 'podezřívat'}
swell	{'crestless_vlna', 'vlny_mořské', 'sušák_na_prádlo', 'vole', 'šviháci', 'swell', 'světák', 'fop', 'dandy'}
swim	{'ray_of_light', 'plavecké_sporty', 'pohyb_ve_vodě', 'plavání', 'koupání', 'sportovní_plavání', 'vodního_pohybu', 'plavat', 'plout', 'plavecký_sport', 'závodní_plavání'}
table	{'tabulka', 'tabulka_v_databázi', 'element_xhtml', 'databázová_tabulka', 'značka_xml', 'element_html', 'náhorní', 'atribut_tagu', 'tabulová_hora', 'tabulkové', 'html_značka', 'soundboard', 'mesa', 'xml_značka', 'tabulce', 'tag', 'html_atribut', 'databázové_tabulky', 'sgml_element', 'rezonanční_desky', 'xml_element', 'atribut_značky', 'atribut_prvku', 'prvek_xthml', 'prvek_xml', 'href', 'html_element', 'značka', 'html_prvek', 'značka_html', 'tabulkové_pole', 'vyhledávací_tabulky', 'odložit', 'xml_prvek', 'lookup_table', 'lut', 'prvek_html', 'stolová_hora', 'datový_list', 'html_elementu', 'vyhledávání', 'tabulky', 'značka_xhtml', 'xhtml_značka', 'guyota', 'náhorní_plošiny', 'element_xml', 'look-up_tabulky', 'pozdržet', 'sgml_prvek', 'iframe', 'vztah', 'stůl'}
tail	{'anatomické_podmínky_umístění', 'zadní_část', 'chvost', 'za', 'aboral', 'hyždě', 'sledovat', 'tooshie', 'kaudálně', 'tail-ender', 'posteriorly', 'tail_assembly', 'záď', 'apikální', 'plantární', 'ohon', 'tush', 'prdel', 'buchty', 'shadower', 'ocasní', 'ventrální', 'kontralaterální', 'dorsoventral', 'ventrolaterálně', 'proximální', 'tail-end', 'distální', 'tailender', 'pořadí_odpalování', 'hnát', 'tail', 'honit', 'gluteální_oblasti', 'konec_laně', 'ocas', 'boční', 'po_straně', 'hýždě', 'oháňka', 'ipsilaterální', 'zadeček', 'stopovat', 'pronásledovat', 'zadnice', 'ocas-ender', 'bazální', 'vená', 'empennage', 'dorzolaterální', 'rub', 'zadní', 'zádi', 'ocasní_plochy', 'keister'}
taste	{'preferencí', 'umělé_aroma', 'chuťový_vjem', 'vášeň', 'cítit', 'vkus', 'chuťové_modalita', 'ochutnat', 'půvab', 'taste', 'sklon', 'chuťové', 'chuť', 'chuťové_senzace', 'chuti', 'látka_zvýrazňující_chuť', 'nowhere', 'degustace', 'vychutnat', 'chutnat', 'základní_chuť', 'preference', 'přírodní_aroma', 'agent_příchuti', 'umělé_látky_určené_k_aromatizaci', 'chuťové_vnímání'}
team	{'hudební_těleso', 'team', 'tým', 'kolektivní_sport', 'pracovní_buňka', 'instrumentální_soubor', 'rockových_kapel', 'sportovní_tým', 'hudební_soubor', 'týmový', 'rockové_skupiny', 'hudební_skupina', 'kapela', 'skupina', 'kolektivní_hra', 'rocková_skupina', 'bar_kapely', 'kolektivní_sporty', 'týmu', 'rocková_kapela', 'týmový_sport', 'sólový_umělec', 'pop_rocková_kapela', 'sólový_projekt'}
texture	{'texturování', 'mapu_textury', 'textura', 'pocit_úst', 'strukturu', 'textury', 'mapování_textur', 'makrostruktury', 'mouthfeel'}
that	{'that', 'thaat'}
there	{'tam'}
they	{'xe', 'atomové_číslo_54', 'they', 'genderové_zájmeno', 'xenon'}
thick	{'tlustý', 'střed', 'hustý'}
thin	{'tenký', 'útlý', 'štíhlý', 'řídký'}
think	{'myšlenky', 'myslím', 'myšlenkový_proces', 'porozumění', 'vádění', 'myslet', 'úmyslu', 'přemýšlení', 'přemýšlet', 'think', 'představit', 'zvažovat', 'nechci', 'myšlení', 'think_global', 'funkce_mozku', 'myslitel', 'zamýšlet', 'pamatovat'}
this	{'mne', 'cenej', 'mnou', 'to', 'this', 'mě', 'thinis'}
three	{'succeeder', 'trojka', 'eneagram', 'three', 'trojice', 'iii', 'ternion', 'santana_iii', '➂', 'prong', 'enneagram', '❸', 'tři', '3', 'tercet', 'terzetto', 'ⅲ', 'bob_sinclair', '③', '➌', 'dvojka-ace', 'trigon', 'něčeho_dosáhl', 'bob_sinclar', 'seventeen_seconds'}
throw	{'žesťové_nástroje', 'žestě', 'zdvih', 'nátrubkový_nástroj', 'mají', 'by', 'žesťový_nástroj', 'výfukového_zdvihu', 'dechové_nástroje', 'cam_zdvih', 'dechový_nástroj', 'hodit', 'vrhnout', 'mosazi', 'throw', 'přehazovat_žonglování', 'plechový_nástroj', 'nátrubkové_nástroje', 'vrhat', 'zdvih_pístu', 'nage_waza', 'dechových_nástrojů', 'kompresního_zdvihu'}
tie	{'železnice_tie', 'vázanka', 'kravaty', 'pražce', 'železniční_kravatu', 'kravatu', 'přivázat', 'crosstie', 'pražec', 'pevnou_jízdní_dráhu', 'připojit', 'krku_kravatu', 'linkup', 'přidružit', 'kravata', 'propojit', 'zavázat', 'spárovat', 'tie_paprsek', 'železniční_pražec', 'v_tie-'}
time	{'taktu', 'slovesný_čas', 'taktovací_frekvence', 'krmných_čase', '2/4_čas', 'lhůtě', 'time', 'systémový_čas', 'čas', 'hodinové_cykly', 'hodinovém_cyklu', 'žárovka', 'napjatý', 'timeless', 'časy', 'čas_minulý', 'minulý_čas', 'anastacia', 'time_magazine', 'pacific_ocean_blue', 'časopis_time', 'krát', 'taktování', 'hudební_metrum', 'hudební_taktu', 'duple', 'čtvrtý_rozměr', 'y_not', 'časový_rámec', 'časovač', 'doba', 'vznik_a_vývoj_vesmíru', '12/8_taktu', 'době', '4/4_taktu', 'sled_událostí', 'čas_t', 'časový_interval', 'smartstop', 'futurum', 'vznik_vesmíru', 'trestu_odnětí_svobody', '4/4', 'hodinový_signál', 'time_inc.', 'budoucí_čas', 'vývoj_vesmíru', 'metr', '6/8_taktu', 'metrum', 'hodiny_hraní', 'místo_v_čase', 'takt_procesoru', 'time.com', 'hodinových_cyklů', 'raném_vesmíru', 'hypnotica', 'bulb', 'xkcd_1190', 'časů', "scatman's_world", 'polymeter', 'jednoduchém_čase', 'in_my_own_words', 'systémové_hodiny', 'rozpínání_vesmíru'}
tongue	{'jazyka', 'jazykové_svaly', 'přirozených_jazyků', 'jazyk', 'dar_jazyků', 'tongue', 'glosolálie', 'srdce_zvonu', 'přirozeného_jazyka', 'glossa', 'přirozený_jazyk', 'glossolalia', 'srdce', 'hovězí_jazyk', 'mluvení_v_jazycích', 'lingua', 'svaly_jazyka', 'lengua'}
tool	{'nástroj', 'nádobíčko', 'pták', 'ocas', 'lofas', 'softwarový_vývojový_nástroj', 'tool', 'softwarový_nástroj', 'chuj', 'šulin', 'loutka', 'programátorský_nástroj', 'kokot', 'softwarových_nástrojů', 'nástrojů_pro_vývoj_softwaru', 'programovací_nástroj', 'péro', 'čurák', 'nástroje', 'vývojářský_nástroj', 'kláda'}
tooth	{'druhy_zubů', 'zubu', 'zub', 'zubní_pahýl', 'zuby'}
toy	{'psík', 'měňavý', 'dětská_hračka', 'hrát_si', 'toyline', 'erotická_pomůcka', 'chatoyancy', 'plyšový_pejsek', 'erotické_pomůcky', 'toy', 'hračka', 'hračky', 'dětské_hračky', 'dřevěné_hračky_-_historie', 'yello', 'hračička'}
tree	{'stromů', 'charlotte_brontéová', 'podstrom', 'strom_diagram', 'sir_herbert_beerbohm_tree', 'posvátný_strom', 'charlotte_brontëová', 'stromy', 'nadřazený_uzel', 'vnitřní_uzel', 'stromek', 'stromu_uctívání', 'zakořeněný_strom', 'podstromu', 'kořenový_uzel', 'herbert_beerbohm_tree', 'uzel_typu_list', 'tree', 'nadřazeného_uzlu', 'kořenový_strom', 'stromová_struktura', 'strom_datová_struktura', 'koncový_uzel', 'les', 'charlotte_brontë', 'strom', 'kult_stromů', 'charlotte_bronte'}
trial	{'proces', 'správní_žaloba', 'kausalita', 'trojné_číslo', 'číslo_dohoda', 'gyrátor', 'triál', 'soudní_spor', '③', '➌', 'civilní_soudní_řízení', 'trigon', 'právního_sporu', 'soudní_řízení', 'actio', 'soudní_proces', 'přelíčení', 'trojice', 'žaloba', 'příčiny', 'občanské_soudní_řízení', 'soudní_řízení_o_věcech_občanskoprávních', 'civilní_proces', '➂', 'litigace', 'civilní_řízení', 'žaloval', 'kauzální', 'tercet', 'zkouška', 'ⅲ', 'soudní_pře', 'zkušební_provoz', 'trojka', 'experimentu', 'strany_sporu', 'soud', 'sporu', 'paucal', '❸', 'gramatické_číslo', 'zkušební', 'tři', 'trojí', 'dvojka-ace', 'číslo', 'iii', 'příčinnost', 'soužení', 'fyzikální_kauzalita', 'čísla', 'případ', 'právní_spor', 'causa', 'ternion', 'snažil', 'kauzalita', 'ústavní_žaloba', 'testu', '3', 'terzetto', 'proces_soudní', 'mluvnické_číslo', 'vyšetřovací', 'test', 'občanskoprávní_věci', 'občanskoprávní_řízení', 'transformátor'}
tried	{'snažil', 'soudní_řízení', 'proces_soudní', 'přelíčení', 'soudní_proces', 'litigace', 'soud'}
turn	{'acciaccatura', 'zase_akcí', 'pirueta', 'volta', 'piruetu', 'milost_poznámka', 'obrat', 'seznam_pokerových_výrazů', 'vítězný_bod', 'ornament', 'otočit', 'herní_mód', 'perigon', 'zahnout', 'ozdoba', 'kolo_úhel', 'vrátit_zpět', 'dobrý_skutek', 'točit', 'pokerové_výrazy', 'převrátit', 'appoggiatura', 'dekorace'}
two	{'➋', 'succeeder', 'eneagram', '❷', 'ii', 'ⅱ', 'něčeho_dosáhl', 'dva', '2', '➁', 'two', 'dvojka', 'enneagram', 'dvě', '②'}
typical	{'typické'}
unaware	{'nevědomý'}
usable	{'uživatelsky_přívětivé', 'funkční', 'uživatelská_přítulnost', 'použitelný', 'snadnost_použití', 'použitelnost', 'snadné_použití'}
useless	{'useless'}
vacation	{'dovolenou', 'prázdniny', 'dovolená'}
vomit	{'vomitive', 'vomitus', 'zvracet', 'dávicí_prostředek', 'blití', 'blít', 'barf', 'zvrací', 'emeze', 'zvratky', 'disgorgement', 'nauseant', 'dávidlo', 'regurgitace', 'zvracení'}
walk	{'jechat', 'seznam_sousedů', 'podgraf', 'uzel', 'řídký_graf', 'base_on_balls', 'chůze', 'základna_na_míče', 'jezdit', 'graf', 'neorientovaný_graf', 'mimochod', 'chodníky', 'grafu', 'krok', 'meta_zdarma', 'muž_na_laně', 'jet', 'způsob_chůze', 'the_walk', 'hustý_graf', 'řád', 'jednoduchý_graf', 'jít', 'chodit', 'walk', 'chůzi', 'kontrakce_hrany', 'paseo', 'chůze_od_života', 'uzel_grafu', 'chodník'}
war	{'ozbrojeného_konfliktu', 'war', 'ares', 'vojna', 'belligerence', 'válečný_stav', 'ozbrojených_konfliktů', 'strom_snů', 'válečný_konflikt', 'válek', 'válčení', 'ozbrojené_konflikty', 'válka', 'all_or_nothing', 'ozbrojený_konflikt', 'vojenský_konflikt', 'války', 'waray-waray_jazyk', 'warajština', 'boj', 'the_war'}
warm	{'teplé', 'teple', 'milující'}
wash	{'lost_dogs', 'vymývání', 'scan', 'washables', 'pradlena', 'lavírovaná_kresba', 'prát', 'závětří', 'mýt', 'mytí', 'the_wash', 'arroyo', 'unearthed', 'praní', 'čínské_prádelny', 'zahrnování', 'prádelna', 'suché_mytí', 'lavírování', 'navlhčit', 'buried', 'lavation'}
water	{'led', 'zásobování_vodou', 'vodní_zdroje', 'dusíkatých_odpadů', 'water', 'fencyklidin', 'piddle', 'vodovodní_sítě', 'moči', 'blood_red_shoes', 'dihydrogenmonooxid', 'užitkové_vody', 'vodní_pára', 'vodovod', 'vody', 'vodní_plocha', 'h2o', 'zavlažovat', 'dihydrogen_monoxid', 'vodovodů', 'quoins', 'moč', 'průmyslové_vody', 'kyselina_hydroxylová', 'nároží', 'weewee', 'pokles_plot', 'tělo_vody', 'zdroj_vody', 'uklidňující_hydrochlorid', 'vodní_led', 'superionický_led', 'vodárna', 'superionická_voda', 'vodstvo', 'oxidan', 'voda', 'angel_dust', 'síť_vodovodní', 'dhmo', 'kapalné_vody', 'uklidňující', 'chcanky', 'vodních_útvarů', 'molekuly_vody', 'h₂o', 'pára', 'napájet', 'obecní_vodovodní_systém', 'vodní_páry', 'ledu'}
we	{'my', 'polycephaly', 'we_tv', 'shinhwa', 'wé', 'wej', 'ԝ', 'w'}
weak	{'the_sea', 'slabý', 'svalové_slabosti', 'slabost'}
wear	{'mechanické_opotřebení', 'wear', 'šat', 'oblečení', 'oblek', 'článek_oblečení', 'odívání', 'oděv', 'nosit', 'oblékání', 'dámskou', 'ucházející', 'ošacení', 'oděvy', 'odolnost_proti_opotřebení', 'přehození', 'šaty', 'opotřebení'}
weather	{'atmosférické_podmínky', 'předpověď_počasí', 'povětrnostní_podmínky', 'počasí_výhled', 'povětrnost', 'weather', 'počasí'}
wet	{'mokré', 'uklidňující_hydrochlorid', 'uklidňující', 'fencyklidin', 'vlhkost', 'vlhkosti', 'mokrý', 'vlhký', 'západoevropský_čas', 'angel_dust', 'wet'}
what	{'jaký'}
when	{'diamonds_for_breakfast'}
where	{'kde', 'where'}
white	{'barva_kůže', 'běloši', 'europoidní_plemeno', 'bílé_rasy', 'slonovinu', 'bělouš', 'white_river', 'magic:the_gathering', 'bílí_lidé', 'off-white', 'magic:_the_gathering', 'vaječný_bílek', 'patrick_victor_martindale_white', 'white', 'caucasoid_závod', 'edward_white', 'černý', 'barva_pleti', 'jiných_závodů', 'andrew_d._white', 'edward_d._white', 'ovalbumin', 'blackface', 'bílý', 'bílá_rasa', 'bílek', 'andrew_dickson_white', 'theodore_harold_white', 'stanford_white', 'bílé', 'patrick_white', 'white_osoba', 'běloška', 'pleti', 'vaječný_albumin', 'mtg', 'white_airways', 'europoidní_rasa', 'běloch', 't._h._white', 'pigmentace_kůže', 'elwyn_brooks_white', 'bílé_světlo', 'latino', 'pieris', 'lidské_pleti', 'magic_the_gathering', 'tři_barvy:_bílá', 'bílá_barva', 'edward_douglas_white_jr.', 'hispánský', 'caucasoid', 'bílá', 'kavkazský_závod', 'planeswalker', 'bílý_a_černý_v_šachu', 'caucasoids', 'e._b._white', 'vaječných_bílků'}
who	{'the_high_numbers', 'jim_neidhart', 'the_who', 'kterého', 'zain_javadd_malik', 'world_health_organization', 'jehož', 'zayn_malik', 'koho', 'kdo', 'the_detours', 'komu', 'světové_zdravotnické_organizace', 'jemuž', 'world_health_organisation', 'světová_zdravotnická_organizace', 'szo', 'zain_malik', 'who'}
wide	{'široké', 'široký'}
wife	{'vdaná_žena', 'žena', 'manželka', 'choť', 'manželky'}
willingly	set()
wind	{'dechu', 'malarky', 'wiatr', 'wind', 'vítr', 'prdění', 'nečinnosti_slova', 'akeboshi', 'potenciální_zákazník_', 'navíjení', 'dechový_nástroj', 'potenciální_zákazník', 'dechové_nástroje', 'důvěrné_informace', 'nárazy_větru', 'aerofony', 'prd', 'malarkey', 'wind:_a_breath_of_heart', 'vzduch', 'větry', 'proud_vzduchu', 'lámání_vítr', 'vinutí', 'potenciální_dárce', 'proudu_vzduchu', 'závan'}
wing	{'fly-polovina', 'spojler', 'lemovat_manévr', 'příloha', 'wing', 'blatník', 'mimo_centrum_města', 'křídlo', 'gone_again', 'zákulisí', 'pomocí_levé_lemovat', 'létat', 'hindwing', 'letu_hmyzu', 'stráž-forward', 'křídlo_letadla', 'flyhalf', 'kola_stejně', 'tighthead_prop', 'na_centra', 'obchvatný_manévr', 'doprovodných', 'dummy-polovina', 'v_zákulisí', 'přístavba', 'obchvat', 'swingman', 'spoiler', 'křídle', 'kluzáky'}
wipe	{'utírat', 'otřete', 'wipe'}
with	set()
woman	{'žen', 'uklízečka', 'ženské_pohlaví', '♀', 'nancy_benoit', 'žena', 'ženy', 'woman', 'dospělá_žena', 'klaatu', 'harry_styles', 'samice', 'ženská', 'spravedlivé_sex'}
word	{'heslo', 'scriptura_sacra', 'datové_slovo', 'svatá_kniha', 'slib', 'dobrý_book', 'posvátný_text', 'slovo', 'loga', 'password', 'posvátných_textů', 'logos', 'diskuse', '.doc', 'poselství', 'syna', 'boží_slovo', 'christian_bible', 'svatá_písma', 'diskuze', 'bible', 'biblí', 'bibli', 'ms_word', 'příslib', 'náboženského_textu', 'word_pro_windows', 'syn', 'kniha_knih', 'scriptura_sancta', 'náboženský_text', 'biblia_sancta', 'word', 'slov', 'písmo_svaté', 'biblia', 'čestné_slovo', 'hesla', 'biblické', 'křesťanské_bible', 'winword', 'křesťanských_písmech', 'microsoft_word', 'řetězec'}
worm	{'helminti', 'worm', 'špína_koule', 'internetový_červ', 'červ', 'helmint', 'červi', 'závit', 'počítačový_červ'}
year	{'letech', 'per_annum', 'věk', 'yr', 'roky', 'dlouhá_doba', 'rovnodenní_rok', 'p.a.', 'dvanáct_měsíc', 'období', 'ma', 'tropický_rok', 'annum', 'doba', 'sluneční_rok', 'rok_gregoriánského', 'anomalistic_rok', 'dlouhou_dobu', 'rok', 'ročně', 'astronomický_rok', 'let'}
yellow	{'yellow', 'zbabělý', 'žlutá_řeka', 'hwang_ho', 'hong_jin-ho', 'eiko_shimamiya', 'žluť', 'žlutavý', 'blondýna', 'huang_he', 'blonďák', 'žlutá_barva', 'zebrahead', 'blond', 'žluté', 'blondýnka', 'žlutý', 'chuang-che', 'žlutá', 'blond_vlasy'}
you	{'the_s.o.s._band', 'janne_da_arc', 'the_real_testament', 'no_control', 'the_sos_band', 'vykat', 'ty', 'amy_lee', 'dodie_clark', 'pablo_honey', 'monster', 'tvůj', 'you', 'fly'}
