ability	{'kapacitet', 'evne', 'aptitude'}
tree	{'blad_node', 'træarter_i_verden', 'rodfæstet_træ', 'herbert_beerbohm_tree', 'skov', 'sir_herbert_beerbohm_tree', 'træ_datastruktur', 'tree', 'charlotte_brontë', 'trædiagram', 'roden_node', 'bladnode', 'kruskal_s_træ_sætning', 'kruskal_s_træ_teorem', 'barneknudepunkt', 'træer', 'træ', 'overordnet_node', 'trævækst', 'helligt_træ', 'forælder_node', 'hellige_træ', 'undertræ', 'charlotte_bronte', 'træstamme', 'interiør_node', 'træ_tilbedelse', 'ungt_træ'}
trial	{'ternære', 'civil_retssag', 'numerus', 'causa', 'deuce-ace', 'pluralis_auctoris', 'test', 'prøvekørsel', 'singularis', 'kriminel_sag', 'trængsel', 'pluralis', 'ternion', '3', 'kausal', 'grammatisk_tal', 'eksperiment', 'retssag', 'kausalitet', 'nummer_aftale', 'tre', 'sagsøges', 'kausalisme', 'prøvelse', 'civil_domstol', 'pluralis_majestatis', 'paucal', 'terzetto', 'forud_for_retssagen', 'undersøgelse', 'tri', 'tal', 'årsag', 'tercet', 'dualis', 'prøve', 'kausale', 'retssager', 'iii', 'civil_sag', 'trine', 'årsag_og_virkning', 'prøvet', 'tredeling', 'sag', 'forsøg'}
tried	{'kriminel_sag', 'undersøgelse', 'prøvet', 'prøve'}
turn	{'vokse', 'piruet', 'appoggiatura', 'blive_t+', 'dekorationselementer', 'spilmekanik', 'nåde_note', 'rund_tur', 'ornament', 'tur', 'drejning', 'udsmykning', 'ornamentik', 'forsiring', 'swinge', 'blive', 'pirouette', 'rund_vinkel', 'bøje', 'annullere', 'dreje', 'turn', 'vende', 'perigon', 'rationel_trigonometri', 'spil_mekaniker', 'vending', 'sejr_point', 'spejlvende', 'game_mode', 'bøjning', 'acciaccatura', 'gruppetto', 'god_tur', 'tørn', 'volta', 'dobbeltslag'}
two	{'to', 'ii', 'succeeder', 'enneagram', 'ennagram', 'skinne', '2', 'achiever', 'two'}
typical	{'typisk'}
unaware	{'uvidende'}
usable	{'brugbar', 'brugervenlig', 'usability', 'brugervenlighed', 'anvendelig'}
useless	{'useless'}
vacation	{'ferieår', 'tage', 'holde', 'fars_sygt_fede_bilferie', 'ferieform', 'ferie'}
vomit	{'vomitive', 'emesis', 'opkastning', 'puking', 'regurgitation', 'kaster_op', 'brække_sig', 'bræk', 'barf', 'kaste_op', 'nauseant', 'brækmiddel', 'opkast', 'disgorgement'}
walk	{'valka', 'gangart', 'gå_tur_med', 'walk', 'the_walk', 'graf', 'simpel_graf', 'gang', 'gå', 'skridt', 'gangbro', 'ambulation', 'gående', 'måde_walking', 'grafnode', 'ikke-orienteret_graf', 'gå_af_livet', 'pasgang', 'paseo', 'orienteret_graf', 'kant', 'hest_gangart', 'walking', 'netværk', 'baser_på_bolde', 'gangbroer', 'base_på_bolde'}
war	{'krige', 'waray-waray_sprog', 'the_war', 'war', 'militær_konflikt', 'væbnede_konflikter', 'krigstid', 'ares', 'krigsførelse', 'bekrige', 'krigstilstand', 'krigen', 'all_or_nothing', 'krig', 'væbnet_konflikt', 'vinder_over_udskiftning'}
warm	{'kærlig', 'varme', 'opvarme', 'varm', 'øm'}
wash	{'tørre_vask', 'snavsetøj', 'vasketøj', 'washables', 'vaskekonen', 'lavation', 'slipstreame', 'vaskeri', 'vask', 'the_wash', 'slipstrøm', 'lost_dogs', 'unearthed', 'buried', 'lavering', 'scan', 'kinesisk_vaskeri', 'udvaskning', 'vaske', 'arroyo', 'vask_tegning'}
water	{'ajle', 'tisse', 'quoins', 'fencyklidin', 'drop_hegn', 'is_høst', 'vandforsyningsnettet', 'nitrogenholdigt_affald', 'smeltevand', 'vand', 'dihydrogenmonooxid', 'quoin', 'polyuri', 'h2o', 'vande', 'vandforsyning', 'industriel_vand', 'vandområde', 'blood_red_shoes', 'piddle', 'vandfordelingssystem', 'vandkilde', 'pisse', 'is', 'urinere', 'lade_vandet', 'damp', 'drikkevand', 'vandrensning', 'tis', 'weewee', 'water', 'vandis', 'vandområder', 'vandmolekyle', 'vassdrag', 'deioniseret_vand', 'vandsystem', 'vandledninger', 'vandmasse', 'urin', 'brugsvand', 'vanddråbe', 'farvande', 'phencyclidin', 'vandressourcer', 'havvand', 'phencyclidin_hydrochlorid', 'vandladning', 'flydende_vand', 'pcp', 'offentlig_vandforsyning', 'vanddamp', 'h₂o', 'anuri', 'englestøv'}
we	{'rae_sremmurd', 'wé', 'polycephaly', 'vi', 'shinhwa', 'western_electric', 'we', 'we_tv'}
weak	{'muskelsvaghed', 'the_sea', 'svag', 'svaghed', 'svage'}
wear	{'dametøj', 'tøj', 'beklædningsgenstand', 'wear', 'bære', 'bomning', "gå_''til", 'beklædning', 'artikel_i_tøj', 'habiliment', 'beklædningsindustrien', 'påklædning', 'slid', 'wearable', 'klædedragt', 'sætte_på'}
weather	{'vejr', 'vejrudsigt', 'top', 'atmosfærisk_tilstand', 'vejr_udsigter', 'vejret', 'vejrforhold'}
wet	{'phencyclidin', 'våd', 'fugt', 'phencyclidin_hydrochlorid', 'fencyklidin', 'vesteuropæisk_tid', 'våde', 'pcp', 'wet', 'englestøv'}
what	{'hvilket', 'hvilke', 'hvilken'}
when	{'diamonds_for_breakfast'}
where	{'hvor'}
white	{'hvid', 'magic:_the_gathering', 'black', 'elfenben', 'ovalbumin', 'pieris', 'kaukasiske', 'e._b._white', 'edward_d._white', 'asiatisk', 'white_river', 't._h._white', 'stanford_white', 'kaukasiske_race', 'caucasoid_løb', 'off-white', 'theodore_h._white', 'patrick_white', 'caucasoids', 'andrew_d._white', 'hispanic', 'caucasoid', 'europære', 'latino', 'blackface', 'hvide', 'magic_the_gathering', 'æggehvide', 'steven_pelé', 'æggehvider', 'sort', 'hudens_pigmentering', 'white', 'menneskelige_hudfarve', 'patrick_victor_martindale_white', 'planeswalker', 'elwyn_brooks_white', 'hvide_race', 'hvid_person', 'white_airways', 'hudfarve', 'ninjutsu_i_magic_the_gathering', 'theodore_harold_white', 'hvid_og_sort_i_skak', 'hvide_mennesker', 'edward_douglas_white_jr.', 'white_people', 'blank', 'edward_white', 'europid', 'andre_racer', 'white_løb', 'andrew_dickson_white'}
who	{'world_health_organization', 'who', 'jim_neidhart', 'verdenssundhedsorganisationen', 'zain_javadd_malik', 'hvem', 'the_world_health_organization', 'zayn', 'zayn_malik', 'the_who', 'world_health_organisation', 'hvilken', 'verdensundhedsorganisationen'}
wide	{'bred', 'vid', 'brede'}
wife	{'viv', 'hustru', 'koner', 'frue', 'gift_kvinde', 'kone', 'ægteviv', 'ægtehustru'}
willingly	set()
wind	{'blæser', 'flatus', 'luft', 'wiatr', 'vind-assisteret', 'blæst', 'emne', 'fortrolige_oplysninger', 'vikling', 'luftstrømmen', 'potentielt_emne', 'luftstrøm', 'vindstød', 'farting', 'vinde', 'wind', 'prut', 'blæseinstrumenter', 'vind', 'tomme_ord', 'mod_vinden', 'akeboshi', 'pruttet', 'kundeemne', 'blæseinstrument', 'blæserinstrument', 'klokke', 'malarky', 'elektromagnetisk_spole', 'vind_assistance', 'bryde_vind', 'malarkey', 'strøm_af_luft'}
wing	{'dummy-halv', 'bilag', 'fly-halvdel', 'prop_fremad', 'vingefang', 'hjulet_godt', 'wing', 'flanke', 'flyhalf', 'offstage', 'fugl_flyvning', 'flankerende_manøvre', 'fender', 'backstage', 'elfquest', 'vinger', 'indersiden_center', 'gliders', 'vingen', 'første_fem_ottendedel', 'flankerende', 'fløj', 'elverfolket', 'vagt-forward', 'swingman', 'flyvinge', 'vinge', 'venstre_flankerende', 'hindwing', 'tighthead_prop', 'insekt_flyvning', 'flyve', 'annexe', 'udenfor_centrum', 'spoiler', 'bagskærm', 'gone_again'}
wipe	{'tør', 'tørre'}
with	set()
woman	{'rengøring_lady', 'hunkøn', 'rengøring_kvinde', 'feminin', 'kvinden', 'voksne_kvindelige', 'kvindelige', 'kvinder', 'dame', 'charlady', 'retfærdig_sex', 'hun', 'klaatu', 'nancy_benoit', 'harry_styles', 'det_svage_køn', 'kvindemenneske', 'rengøringskone', 'damemenneske', 'kvinde', 'fruentimmer', 'woman'}
word	{'søn', 'diskussion', 'passwords', 'sønner', 'hellige_bog', 'the_word', 'good_book', 'nyhed', 'hellige_tekster', 'bibelsk', 'løfte', 'tidender', 'bibelske', 'ordlængde', 'hellig_tekst', 'formulere', 'æresord', 'pasord', 'bibel', 'den_hellige_skrift', 'dataord', 'hellig_skrift', 'religiøs_tekst', 'adgangskode', 'bibelen', 'de_skrifter', 'ordstørrelse', 'bibler', 'kristne_skrifter', 'kristne_bibel', 'password', 'ordet', 'logos', 'word', 'kodeord', 'tilsagn', 'religiøse_tekster', 'skriften', 'ord', 'microsoft_word', 'hellige_skrift', 'logoer', 'biblen'}
worm	{'worm', 'willie_mccarter', 'vride_sig', 'vriste', 'computer_orm', 'orm', 'snavs_bold', 'eventyrdrage', 'orme'}
year	{'ga', 'alder', 'lang_tid', 'tidsalder', 'tropisk_år', 'kiloannum', 'anomalistic_år', 'ma', 'tropiske_år', 'tolv_måneder', 'annum', 'gennemsnitlige_tropiske_år', 'gigaannum', 'året', 'år', 'gregorianske_år', 'equinoctial_år', 'megaannum', 'skatteår', 'solår', 'solåret', 'yr', 'astronomiske_år', 'pa'}
yellow	{'blonde_hår', 'zebrahead', 'huang_he', 'hwang_ho', 'gulhed', 'yellow_river', 'hong_jin-ho', 'blondine', 'blond', 'gule_flod', 'blond_hår', 'eiko_shimamiya', 'yellow', 'huang_ho', 'gul', 'den_gule_flod'}
you	{'amy_lynn_lee', 'du', 'janne_da_arc', 'pablo_honey', 'fly', 'dig', 'monster', 'no_control', 'the_real_testament', 'you', 'amy_hartzler', 'amy_lee'}
